RK,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
50,Endre Botka,DF,Hungary,29,1994,1.0,3,1,2,1,0,1,1,100.0,0,0,0,0,1,4,3,0
51,Jarrod Bowen,FW,England,27,1996,0.4,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0
52,Róbert Boženík,FW,Slovakia,24,1999,2.3,3,3,0,3,0,0,1,0.0,1,1,0,1,0,3,3,0
53,Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,8,5,5,3,0,1,1,100.0,0,2,1,1,5,13,4,0
54,David Brekalo,MF,Slovenia,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
55,Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
56,Armando Broja,FW,Albania,22,2001,1.2,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
57,Marcelo Brozović,MF,Croatia,31,1992,2.5,1,0,1,0,0,0,2,0.0,2,3,1,2,4,5,4,0
58,Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
59,Ante Budimir,FW,Croatia,32,1991,1.4,2,2,0,1,1,1,1,100.0,0,3,1,2,0,2,2,0
60,Adam Buksa,FW,Poland,27,1996,1.7,0,0,0,0,0,0,0,,0,4,0,4,0,0,3,0
61,Andrei Burcă,DF,Romania,30,1993,4.0,4,2,3,1,0,3,4,75.0,1,7,4,3,1,5,23,0
62,Riccardo Calafiori,DF,Italy,21,2002,3.0,3,1,3,0,0,2,6,33.3,4,2,1,1,6,9,9,0
63,Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,5,4,3,2,0,3,6,50.0,3,3,1,2,1,6,6,0
64,Eduardo Camavinga,MF,France,21,2002,1.9,5,2,3,1,1,2,5,40.0,3,9,1,8,1,6,5,0
65,Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,4,4,4,0,0,3,4,75.0,1,1,1,0,0,4,0,0
66,Emre Can,MF,Germany,30,1994,1.1,4,3,2,2,0,2,2,100.0,0,2,2,0,1,5,2,0
67,João Cancelo,"DF,MF",Portugal,29,1994,3.8,6,4,2,2,2,4,8,50.0,4,2,0,2,4,10,8,1
68,Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,4,2,0,4,0,3,7,42.9,4,0,0,0,0,4,3,0
69,Dani Carvajal,DF,Spain,32,1992,5.2,9,5,4,3,2,3,8,37.5,5,7,3,4,6,15,6,2
70,Timothy Castagne,DF,Belgium,28,1995,4.0,1,1,0,1,0,0,2,0.0,2,5,2,3,2,3,14,0
71,Koen Casteels,GK,Belgium,31,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
72,Žan Celar,"FW,MF",Slovenia,24,1999,0.7,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0
73,Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,3,0,2,1,0,3,4,75.0,1,1,0,1,0,3,0,0
