Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
64,Eduardo Camavinga,MF,France,21,2002,1.9,86,86,0,0,0,0,0,0,0,0,0,0,74,0,2
65,Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,48,46,2,0,0,0,5,1,1,1,0,0,38,0,1
66,Emre Can,MF,Germany,30,1994,1.1,70,68,2,2,0,0,0,0,0,0,0,0,65,0,1
67,João Cancelo,"DF,MF",Portugal,29,1994,3.8,259,230,27,1,2,4,9,26,0,0,0,0,224,2,7
68,Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,98,93,5,1,1,0,3,4,0,0,0,0,84,0,1
69,Dani Carvajal,DF,Spain,32,1992,5.2,325,286,39,5,0,1,10,34,0,0,0,0,291,0,5
70,Timothy Castagne,DF,Belgium,28,1995,4.0,221,187,34,3,0,0,5,31,0,0,0,0,187,0,4
71,Koen Casteels,GK,Belgium,31,1992,4.0,143,103,39,4,0,0,0,0,0,0,0,0,119,1,0
72,Žan Celar,"FW,MF",Slovenia,24,1999,0.7,18,17,1,0,0,0,0,0,0,0,0,0,15,0,0
73,Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,55,46,9,2,0,0,6,7,0,0,0,0,44,0,5
74,Václav Černý,MF,Czechia,26,1997,0.6,33,29,4,0,0,1,5,0,4,1,3,0,26,0,1
75,Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,93,88,5,0,0,1,4,1,4,3,1,0,79,0,1
76,Federico Chiesa,"FW,MF",Italy,26,1997,2.9,104,100,3,1,1,1,17,0,2,1,1,0,69,1,9
77,Tomáš Chorý,MF,Czechia,29,1995,0.4,6,6,0,0,0,0,0,0,0,0,0,0,2,0,1
78,Andreas Christensen,DF,Denmark,27,1996,3.9,231,228,3,3,0,0,0,0,0,0,0,0,218,0,1
79,Ryan Christie,"MF,FW",Scotland,28,1995,1.1,20,17,3,0,0,0,1,1,0,0,0,0,15,0,1
80,Mojmir Chytil,FW,Czechia,24,1999,1.2,15,14,1,0,0,0,2,0,0,0,0,0,6,0,3
81,Alexandru Cicâldău,MF,Romania,26,1997,0.2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0
82,Florinel Coman,MF,Romania,25,1998,1.3,28,26,2,0,0,0,1,2,0,0,0,0,20,0,2
83,Kingsley Coman,MF,France,27,1996,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
84,Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,129,127,2,0,0,0,16,2,0,0,0,0,101,0,5
85,Diogo Costa,GK,Portugal,24,1999,5.7,155,122,33,6,0,0,0,1,0,0,0,0,140,0,0
86,Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,149,110,39,2,0,0,22,30,7,1,5,0,103,0,5
87,Bryan Cristante,MF,Italy,28,1995,1.5,114,113,1,1,0,1,3,0,0,0,0,0,101,0,0
88,Kevin Csoboth,DF,Hungary,23,2000,0.1,8,6,2,2,0,0,0,0,0,0,0,0,6,0,0
89,Marc Cucurella,DF,Spain,25,1998,6.1,367,326,41,3,1,0,5,38,0,0,0,0,330,0,9
90,Mirlind Daku,FW,Albania,26,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
91,Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,100,94,6,0,0,0,3,6,0,0,0,0,91,0,2
92,Mikkel Damsgaard,FW,Denmark,23,2000,0.4,14,14,0,0,0,0,1,0,0,0,0,0,10,0,0
93,Kevin Danso,DF,Austria,25,1998,2.4,169,163,6,5,1,1,0,0,0,0,0,0,147,0,2
