right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,left href 3,right 25,right 26
16,Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-357,1996,0.4,28,0,5,18,7,3,1,14,0,0,28,,17,73,40,0,,0,,0,,0,https://fbref.com/en/players/5e66fa06/matchlogs/2024/possession/Waldemar-Anton-Match-Logs,0,0
17,Stuart Armstrong,https://fbref.com/en/players/97333cf5/Stuart-Armstrong,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-103,1992,0.2,15,0,4,3,8,2,15,1,0,0.0,1,100.0,8,63,25,1,2,0,1,1,9,,https://fbref.com/en/players/97333cf5/matchlogs/2024/possession/Stuart-Armstrong-Match-Logs,,0
18,Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,35-083,1989,3.1,69,0,2,4,21,45,8,1,0,0.0,68,100.0,47,1,201,72,1,,3,5,52,3,https://fbref.com/en/players/00459419/matchlogs/2024/possession/Marko-Arnautovic-Match-Logs,16,
19,Jasir Asani,https://fbref.com/en/players/6354ac8c/Jasir-Asani,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-053,1995,2.3,63,0,3,17,28,20,2,8,9,1,63,,44,2,25.0,5,62.5,,328,183,41,4,https://fbref.com/en/players/6354ac8c/matchlogs/2024/possession/Jasir-Asani-Match-Logs,1,4
20,Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-124,2002,3.0,211,0,9,56,112,44,1,3,0,3,211,,129,2,66.7,1,33.3,,515,280,156,3,https://fbref.com/en/players/0fdcef0e/matchlogs/2024/possession/Kristjan-Asllani-Match-Logs,1,3
21,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-244,1994,4.0,225,0,24,77,114,34,3,1,0,0.0,225,100.0,113,1,605,318,1,,2,3,157,1,https://fbref.com/en/players/2200181e/matchlogs/2024/possession/Kaan-Ayhan-Match-Logs,4,
22,Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,22-357,2001,0.3,16,0,6,7,3,16,1,1,0,0.0,48,100.0,9,30,1,1,1,0,1,4,13,,https://fbref.com/en/players/518f2234/matchlogs/2024/possession/Alex-Baena-Match-Logs,,0
23,Alexander Bah,https://fbref.com/en/players/78f21137/Alexander-Bah,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-215,1997,3.1,184,0,6,37,91,56,5,1,,0.0,184,100.0,115,1,398,168,5,,2,1,118,2,https://fbref.com/en/players/78f21137/matchlogs/2024/possession/Alexander-Bah-Match-Logs,1,9
24,Nedim Bajrami,https://fbref.com/en/players/f42d6c13/Nedim-Bajrami,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-134,1999,2.7,100,0,18,60,25,4,100,7,14,3,2,,72,28.6,5,71.4,521,,180,7,76,6,https://fbref.com/en/players/f42d6c13/matchlogs/2024/possession/Nedim-Bajrami-Match-Logs,2,3
25,Johan Bakayoko,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,21-082,2003,0.5,27,0,1,10,3,14,2,16,0,0,27,,17,71,36,1,,0,,0,,0,https://fbref.com/en/players/0caa2fd4/matchlogs/2024/possession/Johan-Bakayoko-Match-Logs,0,0
26,Jure Balkovec,https://fbref.com/en/players/1a787ee8/Jure-Balkovec,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-306,1994,1.3,59,0,6,25,27,7,59,8,0,0,35,,17,15,1,0,,0,,0,,0,https://fbref.com/en/players/1a787ee8/matchlogs/2024/possession/Jure-Balkovec-Match-Logs,0,0
27,Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,32-192,1992,1.0,49,0,4,19,25,5,49,25,0,0,102,,30,58,1,1,,0,,0,,0,https://fbref.com/en/players/cee88597/matchlogs/2024/possession/Ivan-Balliu-Match-Logs,0,0
28,Nicușor Bancu,https://fbref.com/en/players/99847dc0/Nicusor-Bancu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-297,1992,3.0,165,0,13,62,59,44,165,3,0,,2,,59,66.7,366,255,7,0.0,4,2,82,1,https://fbref.com/en/players/99847dc0/matchlogs/2024/possession/Nicusor-Bancu-Match-Logs,4,0
29,Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-221,1994,0.5,28,0,4,6,18,1,28,2,0,,1,50.0,20,1,123,17,1,0,1,3,21,4,https://fbref.com/en/players/01efac19/matchlogs/2024/possession/Antonin-Barak-Match-Logs,,
30,Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-313,2002,1.1,54,0,3,15,38,10,54,12,20,1,7,,41,58.3,3,25.0,423,,338,9,42,3,https://fbref.com/en/players/a0d55a09/matchlogs/2024/possession/Bradley-Barcola-Match-Logs,7,2
31,Abdülkerim Bardakcı,https://fbref.com/en/players/5d9cff53/Abdulkerim-Bardakci,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-308,1994,4.0,246,0,35,119,111,17,4,1,0,0.0,246,100.0,140,1,736,453,6,,6,2,172,2,https://fbref.com/en/players/5d9cff53/matchlogs/2024/possession/Abdulkerim-Bardakci-Match-Logs,1,
32,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-155,1997,3.7,286,0,5,48,184,57,286,3,0,,2,,244,66.7,1084,483,8,0.0,7,4,242,7,https://fbref.com/en/players/6928979a/matchlogs/2024/possession/Nicolo-Barella-Match-Logs,7,0
33,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-089,1999,4.0,366,0,51,138,202,26,3,285,0,0,366,,274,1348,846,5,9,0,1,6,,,https://fbref.com/en/players/75b86fb3/matchlogs/2024/possession/Alessandro-Bastoni-Match-Logs,,0
34,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-146,2003,0.1,5,0,1,1,2,3,1,3,0.0,,5,,3,3,100.0,24,15,0,1,1,2,0,https://fbref.com/en/players/d1eda5f0/matchlogs/2024/possession/Martin-Baturina-Match-Logs,0,0
35,Christoph Baumgartner,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-345,1999,3.2,160,17,2,18,59,85,22,16,6,9,160,,108,8,50.0,7,43.8,,739,448,114,17,https://fbref.com/en/players/437f2b00/matchlogs/2024/possession/Christoph-Baumgartner-Match-Logs,13,7
36,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1.0,36,0,31,36,36,190,105,29,0,0,0,,23,0,0,0,,0,,0,,0,https://fbref.com/en/players/072e68ed/matchlogs/2024/possession/Altay-Bayindir-Match-Logs,0,0
37,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,28-090,1996,3.0,135,0,26,88,45,2,1,1,0,0.0,135,100.0,52,1,256,139,,0,,0,70,0,https://fbref.com/en/players/4115ce4e/matchlogs/2024/possession/Jan-Bednarek-Match-Logs,0,0
38,Maximilian Beier,https://fbref.com/en/players/5db45ee5/Maximilian-Beier,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-268,2002,0.3,9,0,1,2,6,2,9,1,0,0.0,1,100.0,4,11,1,2,1,0,3,,7,,https://fbref.com/en/players/5db45ee5/matchlogs/2024/possession/Maximilian-Beier-Match-Logs,0,0
