right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,left href 3,right 25,right 26
71,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4.0,150,0,125,149,1,150,355,85,0,0,183,,76,0,0,0,,0,,0,,0,https://fbref.com/en/players/db401046/matchlogs/2024/possession/Koen-Casteels-Match-Logs,0,0
72,Žan Celar,https://fbref.com/en/players/868c6958/Zan-Celar,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-119,1999,0.7,23,0,2,3,13,7,23,10,0,0,48,,15,14,1,1,1,0,2,2,,,https://fbref.com/en/players/868c6958/matchlogs/2024/possession/Zan-Celar-Match-Logs,,0
73,Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-145,1997,1.2,61,0,13,22,26,2,61,32,0,0,133,,37,60,1,2,11,0,,,,0,https://fbref.com/en/players/31a62dc7/matchlogs/2024/possession/Zeki-Celik-Match-Logs,0,0
74,Václav Černý,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-268,1997,0.6,38,0,4,14,20,2,38,1,0,0.0,1,100.0,22,117,47,1,2,0,2,,23,,https://fbref.com/en/players/bb1cf301/matchlogs/2024/possession/Vaclav-Cerny-Match-Logs,0,0
75,Giorgi Chakvetadze,https://fbref.com/en/players/76864df8/Giorgi-Chakvetadze,"MF,FW",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,24-317,1999,2.7,126,7,4,38,61,30,4,3,5,5,126,,71,2,66.7,1,33.3,,499,370,81,8,https://fbref.com/en/players/76864df8/matchlogs/2024/possession/Giorgi-Chakvetadze-Match-Logs,4,1
76,Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-260,1997,2.9,138,32,2,14,46,78,14,15,4,8,138,,106,8,53.3,6,40.0,,768,361,100,14,https://fbref.com/en/players/b0f7e36c/matchlogs/2024/possession/Federico-Chiesa-Match-Logs,2,6
77,Tomáš Chorý,https://fbref.com/en/players/163bbd4a/Tomas-Chory,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-167,1995,0.4,11,0,3,8,5,11,1,1,0,0.0,33,100.0,8,3,2,1,1,0,,,10,0,https://fbref.com/en/players/163bbd4a/matchlogs/2024/possession/Tomas-Chory-Match-Logs,0,0
78,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-092,1996,3.9,261,0,15,92,160,9,4,192,0,0,261,,201,728,325,1,1,0,,,,0,https://fbref.com/en/players/1cb49278/matchlogs/2024/possession/Andreas-Christensen-Match-Logs,0,0
79,Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-140,1995,1.1,32,0,6,13,14,1,32,2,0,,1,50.0,17,1,73,13,2,0,4,3,19,4,https://fbref.com/en/players/26ce2263/matchlogs/2024/possession/Ryan-Christie-Match-Logs,,
80,Mojmir Chytil,https://fbref.com/en/players/01a08323/Mojmir-Chytil,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-073,1999,1.2,29,0,2,5,11,14,4,3,0,,29,,19,1,33.3,1,33.3,0,77,40,23,5,https://fbref.com/en/players/01a08323/matchlogs/2024/possession/Mojmir-Chytil-Match-Logs,2,0
81,Alexandru Cicâldău,https://fbref.com/en/players/cdafb19d/Alexandru-Cicaldau,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,27-003,1997,0.2,10,0,3,5,2,10,10,3,0,0,5,,5,2,0,0,,0,,0,,0,https://fbref.com/en/players/cdafb19d/matchlogs/2024/possession/Alexandru-Cicaldau-Match-Logs,0,0
82,Florinel Coman,https://fbref.com/en/players/a9440c25/Florinel-Coman,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-092,1998,1.3,43,0,2,12,12,19,3,3,0,4,43,,20,2,66.7,1,33.3,,98,71,26,3,https://fbref.com/en/players/a9440c25/matchlogs/2024/possession/Florinel-Coman-Match-Logs,1,3
83,Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,28-028,1996,0.2,10,0,1,9,10,73,29,11,0,0,1,,11,3,0,0,,0,,0,,0,https://fbref.com/en/players/042e8a49/matchlogs/2024/possession/Kingsley-Coman-Match-Logs,0,0
84,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,21-210,2002,2.0,156,0,7,40,111,14,156,16,34,2,7,,124,43.8,7,43.8,890,,433,15,130,3,https://fbref.com/en/players/5ef3d210/matchlogs/2024/possession/Francisco-Conceicao-Match-Logs,8,5
85,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,GK,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5.7,161,0,131,161,161,444,273,101,0,0,0,,85,0,0,0,,0,,0,,0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/possession/Diogo-Costa-Match-Logs,0,0
86,Vladimír Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,"DF,FW",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-324,1992,3.0,187,0,17,52,64,74,3,8,0.0,,187,,82,7,87.5,464,234,0,10,5,88,2,https://fbref.com/en/players/fdf3cb77/matchlogs/2024/possession/Vladimir-Coufal-Match-Logs,5,12
87,Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-130,1995,1.5,126,0,4,28,74,24,3,1,0,0.0,126,100.0,106,1,524,254,4,,4,1,105,1,https://fbref.com/en/players/16657b95/matchlogs/2024/possession/Bryan-Cristante-Match-Logs,2,
88,Kevin Csoboth,https://fbref.com/en/players/cf6fc95d/Kevin-Csoboth,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-021,2000,0.1,14,0,3,8,3,2,14,1,0,0.0,68,0.0,10,42,1,1,,0,,0,9,0,https://fbref.com/en/players/cf6fc95d/matchlogs/2024/possession/Kevin-Csoboth-Match-Logs,0,0
89,Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,25-355,1998,5.1,376,0,17,78,159,140,7,1,,0.0,376,100.0,225,1,1091,575,16,,14,1,248,3,https://fbref.com/en/players/1daec722/matchlogs/2024/possession/Marc-Cucurella-Match-Logs,1,30
90,Mirlind Daku,https://fbref.com/en/players/a04adf33/Mirlind-Daku,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,26-192,1998,0.1,8,0,3,5,3,8,32,6,0,0,22,,7,1,1,1,2,0,,,,0,https://fbref.com/en/players/a04adf33/matchlogs/2024/possession/Mirlind-Daku-Match-Logs,0,0
91,Diogo Dalot,https://fbref.com/en/players/d9565625/Diogo-Dalot,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-115,1999,1.7,110,0,4,12,51,49,2,4,13,1,110,,68,3,75.0,1,25.0,,302,176,82,2,https://fbref.com/en/players/d9565625/matchlogs/2024/possession/Diogo-Dalot-Match-Logs,3,2
92,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-008,2000,0.4,20,0,4,10,7,1,20,1,0,0.0,1,100.0,13,37,13,2,,0,,0,15,0,https://fbref.com/en/players/215f3907/matchlogs/2024/possession/Mikkel-Damsgaard-Match-Logs,0,0
93,Kevin Danso,https://fbref.com/en/players/6e33125f/Kevin-Danso,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,25-296,1998,2.4,191,0,22,74,95,22,3,134,0,0,191,,128,742,525,4,5,0,1,1,,,https://fbref.com/en/players/6e33125f/matchlogs/2024/possession/Kevin-Danso-Match-Logs,,0
94,Márton Dárdai,https://fbref.com/en/players/41bff4fa/Marton-Dardai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-150,2002,1.9,107,0,11,70,31,6,1,1,0,0.0,107,100.0,72,1,314,128,,0,,0,73,0,https://fbref.com/en/players/41bff4fa/matchlogs/2024/possession/Marton-Dardai-Match-Logs,0,0
95,Matteo Darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,34-222,1989,1.8,122,0,9,33,61,28,3,2,0,0.0,122,100.0,85,2,260,102,1,0,1,5,84,,https://fbref.com/en/players/96e0490d/matchlogs/2024/possession/Matteo-Darmian-Match-Logs,,0
96,Zuriko Davitashvili,https://fbref.com/en/players/88b4d2e3/Zuriko-Davitashvili,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-147,2001,1.3,56,0,7,22,27,6,56,5,0,,5,,33,100.0,238,98,3,0.0,2,1,41,3,https://fbref.com/en/players/88b4d2e3/matchlogs/2024/possession/Zuriko-Davitashvili-Match-Logs,4,11
97,Paweł Dawidowicz,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-052,1995,2.0,96,0,23,70,23,3,1,48,0,0,96,,65,267,151,0,,0,,0,,0,https://fbref.com/en/players/16bb656a/matchlogs/2024/possession/Pawel-Dawidowicz-Match-Logs,0,0
98,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,33-013,1991,4.0,271,21,3,26,115,132,12,13,5,5,271,,160,6,46.2,5,38.5,,654,402,187,7,https://fbref.com/en/players/e46012d4/matchlogs/2024/possession/Kevin-De-Bruyne-Match-Logs,10,2
99,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,23-123,2001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,https://fbref.com/en/players/2ef7c612/matchlogs/2024/possession/Charles-De-Ketelaere-Match-Logs,0,0
100,Zeno Debast,https://fbref.com/en/players/064461b7/Zeno-Debast,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,20-261,2003,1.2,124,0,13,61,59,4,1,85,0,0,124,,87,302,181,1,,0,,0,,0,https://fbref.com/en/players/064461b7/matchlogs/2024/possession/Zeno-Debast-Match-Logs,0,0
101,Thomas Delaney,https://fbref.com/en/players/fe641c1a/Thomas-Delaney,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-312,1991,0.9,43,0,1,15,21,7,1,19,0,0,43,,21,61,30,2,2,0,1,4,,,https://fbref.com/en/players/fe641c1a/matchlogs/2024/possession/Thomas-Delaney-Match-Logs,,0
102,Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,27-057,1997,4.0,228,0,2,13,72,147,25,32,46,8,228,,160,15,46.9,11,34.4,,1451,880,161,32,https://fbref.com/en/players/b19db005/matchlogs/2024/possession/Ousmane-Dembele-Match-Logs,18,12
103,Merih Demiral,https://fbref.com/en/players/e3cceee6/Merih-Demiral,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-128,1998,2.3,140,0,34,86,44,10,3,51,0,0,140,,75,271,139,1,,0,,0,,0,https://fbref.com/en/players/e3cceee6/matchlogs/2024/possession/Merih-Demiral-Match-Logs,0,0
104,Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,30-342,1993,4.0,353,0,9,84,196,74,5,1,0,0.0,353,100.0,259,1,910,410,4,,7,3,261,1,https://fbref.com/en/players/230a2fac/matchlogs/2024/possession/Giovanni-Di-Lorenzo-Match-Logs,9,
105,Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-058,1997,4.7,443,0,38,160,255,30,4,1,0,0.0,443,100.0,316,1,1633,874,6,,6,1,357,1,https://fbref.com/en/players/31c69ef1/matchlogs/2024/possession/Ruben-Dias-Match-Logs,4,
106,Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-244,1997,2.5,145,13,5,34,56,56,5,3,4,1,145,,94,1,33.3,2,66.7,,413,215,96,6,https://fbref.com/en/players/970b8574/matchlogs/2024/possession/Federico-Dimarco-Match-Logs,3,2
107,Berat Djimsiti,https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,31-143,1993,3.0,171,0,34,107,58,6,3,1,0,0.0,171,100.0,87,1,286,157,1,0,,,118,0,https://fbref.com/en/players/6eee05f1/matchlogs/2024/possession/Berat-Djimsiti-Match-Logs,0,0
108,Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,"FW,MF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,22-045,2002,3.6,166,31,2,16,63,90,28,36,10,10,166,,121,16,44.4,16,44.4,,1150,669,134,30,https://fbref.com/en/players/fffea3e5/matchlogs/2024/possession/Jeremy-Doku-Match-Logs,12,20
109,Kasper Dolberg,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-279,1997,0.4,12,0,1,5,7,12,10,4,0,0,3,,9,0,0,0,,0,,0,,0,https://fbref.com/en/players/cc83b74d/matchlogs/2024/possession/Kasper-Dolberg-Match-Logs,0,0
110,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,GK,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4.0,117,0,102,116,1,117,410,75,0,0,177,,57,0,0,0,,0,,0,,0,https://fbref.com/en/players/08f5afaa/matchlogs/2024/possession/Gianluigi-Donnarumma-Match-Logs,0,0
111,David Doudera,https://fbref.com/en/players/e95b4604/David-Doudera,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-041,1998,1.0,38,0,3,23,13,3,38,3,0,,2,,24,66.7,1,33.3,185,0,101,3,23,1,https://fbref.com/en/players/e95b4604/matchlogs/2024/possession/David-Doudera-Match-Logs,3,1
112,Artem Dovbyk,https://fbref.com/en/players/5b847bb0/Artem-Dovbyk,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-020,1997,2.7,52,0,2,3,16,34,16,2,,0.0,52,100.0,33,2,132,58,2,,1,2,36,6,https://fbref.com/en/players/5b847bb0/matchlogs/2024/possession/Artem-Dovbyk-Match-Logs,3,12
113,Denis Drăguș,https://fbref.com/en/players/0e490f6e/Denis-Dragus,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-005,1999,3.2,94,13,8,21,37,39,9,10,6,8,94,,46,6,60.0,2,20.0,,260,115,61,2,https://fbref.com/en/players/0e490f6e/matchlogs/2024/possession/Denis-Dragus-Match-Logs,3,1
114,Radu Drăgușin,https://fbref.com/en/players/620922ed/Radu-Dragusin,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,22-159,2002,4.0,157,0,40,106,48,4,2,79,0,0,157,,79,440,218,1,1,0,1,,,,https://fbref.com/en/players/620922ed/matchlogs/2024/possession/Radu-Dragusin-Match-Logs,0,0
115,Vanja Drkušič,https://fbref.com/en/players/e2e816b9/Vanja-Drkusic,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-255,1999,4.3,146,0,26,83,62,2,1,1,0,0.0,146,100.0,67,1,368,168,1,0,1,,75,,https://fbref.com/en/players/e2e816b9/matchlogs/2024/possession/Vanja-Drkusic-Match-Logs,0,0
116,Kwadwo Duah,https://fbref.com/en/players/66089708/Kwadwo-Duah,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-138,1997,1.2,34,0,1,19,14,5,34,17,0,0,98,,28,39,1,1,5,0,5,,,,https://fbref.com/en/players/66089708/matchlogs/2024/possession/Kwadwo-Duah-Match-Logs,0,0
117,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,GK,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4.3,173,0,142,171,2,173,558,108,0,0,251,,92,0,0,0,,0,,0,,0,https://fbref.com/en/players/3a949a25/matchlogs/2024/possession/Martin-Dubravka-Match-Logs,0,0
118,Ondrej Duda,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-219,1994,3.5,205,0,8,46,125,35,1,3,0.0,,205,,115,3,100.0,559,148,0,2,3,145,1,https://fbref.com/en/players/79ca3e23/matchlogs/2024/possession/Ondrej-Duda-Match-Logs,7,9
119,Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,28-084,1996,5.0,303,42,10,59,134,110,14,7,4,3,303,,181,2,28.6,4,57.1,,568,231,204,7,https://fbref.com/en/players/481c9ece/matchlogs/2024/possession/Denzel-Dumfries-Match-Logs,2,3
120,Dávid Ďuriš,https://fbref.com/en/players/5e0a43de/David-Duris,"FW,MF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,25-111,1999,0.3,4,0,1,3,4,25,1,3,0,0,1,,3,1,0,0,,0,,0,,0,https://fbref.com/en/players/5e0a43de/matchlogs/2024/possession/David-Duris-Match-Logs,0,0
121,Lasha Dvali,https://fbref.com/en/players/303636d2/Lasha-Dvali,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-058,1995,4.0,172,0,33,120,49,3,172,1,0,0.0,1,100.0,81,386,204,2,1,0,1,,105,,https://fbref.com/en/players/303636d2/matchlogs/2024/possession/Lasha-Dvali-Match-Logs,0,0
122,Timi Elšnik,https://fbref.com/en/players/66f040ff/Timi-Elsnik,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,26-073,1998,4.0,156,3,7,41,87,29,6,9,1,2,156,,73,3,33.3,5,55.6,,582,278,77,12,https://fbref.com/en/players/66f040ff/matchlogs/2024/possession/Timi-Elsnik-Match-Logs,4,3
123,Breel Embolo,https://fbref.com/en/players/0b4f388a/Breel-Embolo,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-148,1997,3.3,90,13,3,6,39,47,17,8,14,12,90,,71,3,37.5,4,50.0,,349,130,80,4,https://fbref.com/en/players/0b4f388a/matchlogs/2024/possession/Breel-Embolo-Match-Logs,2,5
124,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-148,1992,3.9,255,14,3,20,107,132,15,4,2,6,255,,156,2,50.0,1,25.0,,541,277,173,5,https://fbref.com/en/players/980522ec/matchlogs/2024/possession/Christian-Eriksen-Match-Logs,3,2
125,Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,"DF,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-012,1998,1.1,51,0,2,7,20,24,3,6,7,1,51,,33,3,50.0,1,16.7,,216,101,36,6,https://fbref.com/en/players/ae4fc6a4/matchlogs/2024/possession/Eberechi-Eze-Match-Logs,2,1
126,Wout Faes,https://fbref.com/en/players/9c221d14/Wout-Faes,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-099,1998,4.0,322,0,44,168,153,3,322,1,0,0.0,1,100.0,210,869,544,3,1,0,1,,243,,https://fbref.com/en/players/9c221d14/matchlogs/2024/possession/Wout-Faes-Match-Logs,0,0
127,Nicolò Fagioli,https://fbref.com/en/players/366be751/Nicolo-Fagioli,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,23-150,2001,1.1,111,0,1,15,63,33,111,2,0,,1,50.0,92,1,495,244,3,0,9,2,90,,https://fbref.com/en/players/366be751/matchlogs/2024/possession/Nicolo-Fagioli-Match-Logs,,0
128,João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix,"MF,FW",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-244,1999,1.2,88,0,3,19,66,4,88,6,0,,2,,62,33.3,4,66.7,363,0,150,2,76,7,https://fbref.com/en/players/8aafd64f/matchlogs/2024/possession/Joao-Felix-Match-Logs,15,0
129,Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-307,1994,4.2,337,33,4,47,171,120,11,6,8,4,337,,208,1,16.7,4,66.7,,1165,672,252,17,https://fbref.com/en/players/507c7bdf/matchlogs/2024/possession/Bruno-Fernandes-Match-Logs,11,5
130,Attila Fiola,https://fbref.com/en/players/bb17ccd0/Attila-Fiola,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-145,1990,2.0,88,0,11,47,31,10,88,1,0,0.0,1,100.0,61,321,135,2,1,0,2,3,59,,https://fbref.com/en/players/bb17ccd0/matchlogs/2024/possession/Attila-Fiola-Match-Logs,,0
131,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,"FW,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-044,2000,5.9,393,41,2,27,200,169,8,17,5,13,393,,262,9,52.9,7,41.2,,1227,467,331,6,https://fbref.com/en/players/ed1e53f3/matchlogs/2024/possession/Phil-Foden-Match-Logs,15,1
132,Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-183,1999,0.5,35,0,1,6,18,11,1,23,0,0,35,,28,132,63,1,2,0,1,,,,https://fbref.com/en/players/822d51d7/matchlogs/2024/possession/Youssouf-Fofana-Match-Logs,0,0
133,Michael Folorunsho,https://fbref.com/en/players/c391a179/Michael-Folorunsho,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-155,1998,1,2,0.0,1,2,2,0,0,1,0,0,0,,1,0,0,0,,0,,0,,0,https://fbref.com/en/players/c391a179/matchlogs/2024/possession/Michael-Folorunsho-Match-Logs,0,0
134,Przemysław Frankowski,https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-090,1995,3.0,152,9,18,50,67,39,1,7,3,1,152,,78,2,28.6,2,28.6,,530,336,99,6,https://fbref.com/en/players/00a8d210/matchlogs/2024/possession/Przemyslaw-Frankowski-Match-Logs,6,1
135,Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-263,1999,2.1,74,0,1,13,30,31,11,3,13,2,74,,60,1,33.3,2,66.7,,221,87,63,2,https://fbref.com/en/players/2a7d27c1/matchlogs/2024/possession/Davide-Frattesi-Match-Logs,2,3
136,Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-087,1992,5.1,276,0,10,48,164,65,9,1,0,0.0,276,0.0,148,607,310,7,5,0,7,3,189,17,https://fbref.com/en/players/98d2c2c4/matchlogs/2024/possession/Remo-Freuler-Match-Logs,,
137,Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-214,2000,1.0,32,0,4,15,15,2,32,1,0,0.0,1,100.0,27,189,95,3,2,,2,1,27,3,https://fbref.com/en/players/74f2e748/matchlogs/2024/possession/Jeremie-Frimpong-Match-Logs,10,
138,Chris Führich,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,26-184,1998,0.2,17,0,8,10,1,17,1,1,0,0.0,94,100.0,13,38,3,2,1,0,3,,13,,https://fbref.com/en/players/0cf778df/matchlogs/2024/possession/Chris-Fuhrich-Match-Logs,0,0
139,Niclas Füllkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,31-153,1993,1.8,58,0,3,4,21,33,14,1,0,0.0,58,100.0,29,1,99,48,2,,1,6,49,1,https://fbref.com/en/players/4f16405e/matchlogs/2024/possession/Niclas-Fullkrug-Match-Logs,12,
140,Mijat Gaćinović,https://fbref.com/en/players/16daec92/Mijat-Gacinovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-154,1995,0.5,30,0,1,7,9,14,2,1,0,0.0,30,100.0,17,1,75,19,3,0,1,1,18,4,https://fbref.com/en/players/16daec92/matchlogs/2024/possession/Mijat-Gacinovic-Match-Logs,,
141,Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-065,1999,5.8,188,55,3,24,45,122,32,16,4,9,188,,126,9,56.3,3,18.8,,902,611,133,22,https://fbref.com/en/players/1971591f/matchlogs/2024/possession/Cody-Gakpo-Match-Logs,8,11
142,Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-156,2000,1.3,66,0,4,11,47,8,66,3,0,,1,,37,33.3,1,33.3,175,0,61,1,48,2,https://fbref.com/en/players/c2731c10/matchlogs/2024/possession/Conor-Gallagher-Match-Logs,1,0
143,Dániel Gazdag,https://fbref.com/en/players/527d0e31/Daniel-Gazdag,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,28-131,1996,1,3,0.0,1,1,1,1,3,1,0,0,0,0,,0,0,0,,0,,0,,0,https://fbref.com/en/players/527d0e31/matchlogs/2024/possession/Daniel-Gazdag-Match-Logs,0,0
