right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
22,Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,22-357,2001,0.3,1,1,1,3,0,1,2,33.3,0,0,0,1,0,,0,0,https://fbref.com/en/players/518f2234/matchlogs/2024/defense/Alex-Baena-Match-Logs,0
23,Alexander Bah,https://fbref.com/en/players/78f21137/Alexander-Bah,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-215,1997,3.1,4,4,2,1,0,4,1,,0,1,5,8,5,50.0,9,1,https://fbref.com/en/players/78f21137/matchlogs/2024/defense/Alexander-Bah-Match-Logs,4
24,Nedim Bajrami,https://fbref.com/en/players/f42d6c13/Nedim-Bajrami,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-134,1999,2.7,3,1,2,1,0,1,2,0.0,0,0,0,2,0,1,,1,https://fbref.com/en/players/f42d6c13/matchlogs/2024/defense/Nedim-Bajrami-Match-Logs,3
25,Johan Bakayoko,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,21-082,2003,0.5,2,1,1,1,0,0,3,0.0,0,0,0,3,0,2,0,0,https://fbref.com/en/players/0caa2fd4/matchlogs/2024/defense/Johan-Bakayoko-Match-Logs,
26,Jure Balkovec,https://fbref.com/en/players/1a787ee8/Jure-Balkovec,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-306,1994,1.3,6,3,2,3,0,2,1,,0,2,8,5,2,40.0,8,2,https://fbref.com/en/players/1a787ee8/matchlogs/2024/defense/Jure-Balkovec-Match-Logs,3
27,Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,32-192,1992,1.0,1,1,2,2,0,2,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/cee88597/matchlogs/2024/defense/Ivan-Balliu-Match-Logs,0
28,Nicușor Bancu,https://fbref.com/en/players/99847dc0/Nicusor-Bancu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-297,1992,3.0,2,2,2,1,0,1,2,100.0,0,6,0,4,0,2,0,,https://fbref.com/en/players/99847dc0/matchlogs/2024/defense/Nicusor-Bancu-Match-Logs,11
29,Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-221,1994,0.5,1,1,1,1,0,0,1,0.0,0,0,0,1,0,,0,0,https://fbref.com/en/players/01efac19/matchlogs/2024/defense/Antonin-Barak-Match-Logs,0
30,Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-313,2002,1.1,4,4,1,1,0,1,2,,0,6,0,4,0,25.0,4,6,https://fbref.com/en/players/a0d55a09/matchlogs/2024/defense/Bradley-Barcola-Match-Logs,3
31,Abdülkerim Bardakcı,https://fbref.com/en/players/5d9cff53/Abdulkerim-Bardakci,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-308,1994,4.0,4,2,4,6,0,3,50.0,,0,5,0,3,2,3,20,6,https://fbref.com/en/players/5d9cff53/matchlogs/2024/defense/Abdulkerim-Bardakci-Match-Logs,2
32,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-155,1997,3.7,10,5,3,7,0,5,8,,0,3,1,62.5,3,3,2,13,https://fbref.com/en/players/6928979a/matchlogs/2024/defense/Nicolo-Barella-Match-Logs,3
33,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-089,1999,4.0,5,2,2,3,0,2,3,66.7,0,4,,1,1,2,17,6,https://fbref.com/en/players/75b86fb3/matchlogs/2024/defense/Alessandro-Bastoni-Match-Logs,2
34,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-146,2003,0.1,1,1,1,1,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/d1eda5f0/matchlogs/2024/defense/Martin-Baturina-Match-Logs,0
35,Christoph Baumgartner,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-345,1999,3.2,4,1,2,1,0,1,1,50.0,0,1,,2,1,1,3,5,https://fbref.com/en/players/437f2b00/matchlogs/2024/defense/Christoph-Baumgartner-Match-Logs,1
36,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1.0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/072e68ed/matchlogs/2024/defense/Altay-Bayindir-Match-Logs,0
37,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,28-090,1996,3.0,2,1,2,6,0,2,33.3,,0,8,0,4,3,7,13,5,https://fbref.com/en/players/4115ce4e/matchlogs/2024/defense/Jan-Bednarek-Match-Logs,1
38,Maximilian Beier,https://fbref.com/en/players/5db45ee5/Maximilian-Beier,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-268,2002,0.3,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/5db45ee5/matchlogs/2024/defense/Maximilian-Beier-Match-Logs,0
39,Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,21-012,2003,6.4,9,6,1,4,1,1,4,4,,5,12,5,3,20.0,4,1,https://fbref.com/en/players/57d88cf9/matchlogs/2024/defense/Jude-Bellingham-Match-Logs,4
40,László Bénes,https://fbref.com/en/players/fe888e39/Laszlo-Benes,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-306,1997,0.8,1,1,1,1,0,1,1,100.0,0,0,0,1,0,,0,0,https://fbref.com/en/players/fe888e39/matchlogs/2024/defense/Laszlo-Benes-Match-Logs,0
41,Bartosz Bereszyński,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,31-365,1992,0.1,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/61b3978f/matchlogs/2024/defense/Bartosz-Bereszynski-Match-Logs,0
42,Steven Bergwijn,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,26-277,1997,1.0,1,1,1,1,0,0,1,0.0,0,0,0,0,0,,0,0,https://fbref.com/en/players/a29b1131/matchlogs/2024/defense/Steven-Bergwijn-Match-Logs,0
43,Medon Berisha,https://fbref.com/en/players/9d376bef/Medon-Berisha,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-264,2003,0.2,1,1,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/9d376bef/matchlogs/2024/defense/Medon-Berisha-Match-Logs,0
44,Victor Bernth Kristiansen,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-208,2002,1.7,4,3,3,1,0,1,2,50.0,0,2,,1,0,2,1,4,https://fbref.com/en/players/505486d6/matchlogs/2024/defense/Victor-Bernth-Kristiansen-Match-Logs,4
45,Matúš Bero,https://fbref.com/en/players/b5e0af76/Matus-Bero,"MF,DF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-309,1995,0.5,1,1,1,2,0,1,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/b5e0af76/matchlogs/2024/defense/Matus-Bero-Match-Logs,0
46,Jaka Bijol,https://fbref.com/en/players/6fdac234/Jaka-Bijol,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-157,1999,4.3,11,6,10,1,0,5,6,,0,10,38,83.3,6,1,17,3,https://fbref.com/en/players/6fdac234/matchlogs/2024/defense/Jaka-Bijol-Match-Logs,7
47,Veljko Birmančević,https://fbref.com/en/players/636247ca/Veljko-Birmancevic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-128,1998,0.3,2,2,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/636247ca/matchlogs/2024/defense/Veljko-Birmancevic-Match-Logs,0
48,Daley Blind,https://fbref.com/en/players/691bef82/Daley-Blind,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,34-124,1990,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/691bef82/matchlogs/2024/defense/Daley-Blind-Match-Logs,0
49,Bendegúz Bolla,https://fbref.com/en/players/b6ca3ab3/Bendeguz-Bolla,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-232,1999,2.3,4,3,3,1,0,2,4,,0,3,9,50.0,1,2,5,2,https://fbref.com/en/players/b6ca3ab3/matchlogs/2024/defense/Bendeguz-Bolla-Match-Logs,1
50,Endre Botka,https://fbref.com/en/players/2cb77ec6/Endre-Botka,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-321,1994,1.0,3,1,2,1,0,1,1,100.0,0,1,0,4,0,3,0,0,https://fbref.com/en/players/2cb77ec6/matchlogs/2024/defense/Endre-Botka-Match-Logs,
51,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-204,1996,0.4,1,1,1,1,0,1,1,0.0,0,1,0,1,0,2,0,,https://fbref.com/en/players/79c84d1c/matchlogs/2024/defense/Jarrod-Bowen-Match-Logs,1
52,Róbert Boženík,https://fbref.com/en/players/ba6cf633/Robert-Bozenik,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,24-236,1999,2.3,3,3,3,1,0,1,1,0.0,0,0,0,1,0,3,0,,https://fbref.com/en/players/ba6cf633/matchlogs/2024/defense/Robert-Bozenik-Match-Logs,3
53,Volodymyr Brazhko,https://fbref.com/en/players/696197fb/Volodymyr-Brazhko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-170,2002,2.0,8,5,5,3,0,1,1,100.0,0,2,0,1,5,1,,4,https://fbref.com/en/players/696197fb/matchlogs/2024/defense/Volodymyr-Brazhko-Match-Logs,13
54,David Brekalo,https://fbref.com/en/players/fd594b15/David-Brekalo,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-221,1998,2,0,0,,0,0.0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/fd594b15/matchlogs/2024/defense/David-Brekalo-Match-Logs,0
55,Brian Brobbey,https://fbref.com/en/players/4c184730/Brian-Brobbey,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-161,2002,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/4c184730/matchlogs/2024/defense/Brian-Brobbey-Match-Logs,0
56,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-305,2001,1.2,1,1,1,1,0,0,1,,0,0,0,0,0,,0,0,https://fbref.com/en/players/97220da2/matchlogs/2024/defense/Armando-Broja-Match-Logs,0
57,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,31-238,1992,2.5,1,1,2,2,0,3,1,0.0,0,4,0,2,0,5,0,,https://fbref.com/en/players/33b8d077/matchlogs/2024/defense/Marcelo-Brozovic-Match-Logs,4
58,Jacob Bruun Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-296,1998,0.1,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/4e204552/matchlogs/2024/defense/Jacob-Bruun-Larsen-Match-Logs,0
59,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,32-355,1991,1.4,2,2,1,1,0,1,1,100.0,0,3,0,1,0,2,,2,https://fbref.com/en/players/8f3565b3/matchlogs/2024/defense/Ante-Budimir-Match-Logs,2
60,Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-365,1996,1.7,4,4,3,0,0,0,0,,0,0,0,0,0,,0,0,https://fbref.com/en/players/3b676989/matchlogs/2024/defense/Adam-Buksa-Match-Logs,0
61,Andrei Burcă,https://fbref.com/en/players/c83623e2/Andrei-Burca,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-087,1993,4.0,4,2,3,1,0,3,4,,0,7,23,75.0,1,1,5,3,https://fbref.com/en/players/c83623e2/matchlogs/2024/defense/Andrei-Burca-Match-Logs,4
62,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,22-053,2002,3.0,3,1,3,6,0,2,33.3,,0,2,0,4,6,1,9,9,https://fbref.com/en/players/aded8e6f/matchlogs/2024/defense/Riccardo-Calafiori-Match-Logs,1
63,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-154,1994,3.9,5,4,3,2,0,3,6,,0,3,6,50.0,1,3,6,2,https://fbref.com/en/players/cd0fa27b/matchlogs/2024/defense/Hakan-Calhanoglu-Match-Logs,1
64,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-244,2002,1.9,5,2,3,1,0,2,1,5,,9,6,5,1,40.0,8,1,https://fbref.com/en/players/7b9c2d84/matchlogs/2024/defense/Eduardo-Camavinga-Match-Logs,3
65,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,"FW,DF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-142,2000,0.8,4,4,4,4,0,3,75.0,,0,1,0,1,0,1,0,0,https://fbref.com/en/players/247ed022/matchlogs/2024/defense/Andrea-Cambiaso-Match-Logs,4
66,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,30-181,1994,1.1,4,3,2,2,0,2,2,100.0,0,2,0,2,1,5,0,,https://fbref.com/en/players/a65ce836/matchlogs/2024/defense/Emre-Can-Match-Logs,2
67,João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-045,1994,3.8,6,4,2,2,0,4,2,1,,2,8,8,4,50.0,10,2,https://fbref.com/en/players/bd6351cd/matchlogs/2024/defense/Joao-Cancelo-Match-Logs,4
68,Yannick Carrasco,https://fbref.com/en/players/de39485a/Yannick-Carrasco,"DF,FW",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,30-311,1993,2.4,4,2,4,7,0,3,42.9,,0,0,0,4,0,4,0,0,https://fbref.com/en/players/de39485a/matchlogs/2024/defense/Yannick-Carrasco-Match-Logs,3
69,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,32-182,1992,4.2,5,2,3,2,0,2,6,,0,5,5,33.3,6,4,11,3,https://fbref.com/en/players/4958bfb2/matchlogs/2024/defense/Dani-Carvajal-Match-Logs,2
70,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,28-219,1995,4.0,1,1,1,2,0,5,2,0.0,0,2,0,2,0,3,,14,https://fbref.com/en/players/197640fd/matchlogs/2024/defense/Timothy-Castagne-Match-Logs,3
71,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4.0,0,2,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/db401046/matchlogs/2024/defense/Koen-Casteels-Match-Logs,0
72,Žan Celar,https://fbref.com/en/players/868c6958/Zan-Celar,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-119,1999,0.7,1,1,1,1,0,1,2,100.0,0,1,0,2,0,,0,0,https://fbref.com/en/players/868c6958/matchlogs/2024/defense/Zan-Celar-Match-Logs,0
73,Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-145,1997,1.2,3,2,1,4,0,3,75.0,,0,1,0,1,0,1,0,0,https://fbref.com/en/players/31a62dc7/matchlogs/2024/defense/Zeki-Celik-Match-Logs,3
74,Václav Černý,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-268,1997,0.6,1,1,1,3,0,1,2,33.3,0,1,0,1,0,1,0,,https://fbref.com/en/players/bb1cf301/matchlogs/2024/defense/Vaclav-Cerny-Match-Logs,1
75,Giorgi Chakvetadze,https://fbref.com/en/players/76864df8/Giorgi-Chakvetadze,"MF,FW",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,24-317,1999,2.7,10,5,7,2,0,6,1,3,,7,11,9,1,66.7,5,2,https://fbref.com/en/players/76864df8/matchlogs/2024/defense/Giorgi-Chakvetadze-Match-Logs,3
76,Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-260,1997,2.9,6,4,4,1,0,3,1,,0,3,0,5,0,60.0,2,9,https://fbref.com/en/players/b0f7e36c/matchlogs/2024/defense/Federico-Chiesa-Match-Logs,2
77,Tomáš Chorý,https://fbref.com/en/players/163bbd4a/Tomas-Chory,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-167,1995,0.4,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/163bbd4a/matchlogs/2024/defense/Tomas-Chory-Match-Logs,0
