right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 6,right 7,right 8,right 9,right 10,right 11,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
74,Václav Černý,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-268,1997,0.6,0,0,1,1,5,1,2,,0,0,0,0,0,https://fbref.com/en/players/bb1cf301/matchlogs/2024/misc/Vaclav-Cerny-Match-Logs,
75,Giorgi Chakvetadze,https://fbref.com/en/players/76864df8/Giorgi-Chakvetadze,"MF,FW",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,24-317,1999,2.7,0,0,4,1,4,1,5,10,0,3,3,50.0,0,https://fbref.com/en/players/76864df8/matchlogs/2024/misc/Giorgi-Chakvetadze-Match-Logs,
76,Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-260,1997,2.9,0,0,3,1,17,3,4,9,0,1,0,,0,https://fbref.com/en/players/b0f7e36c/matchlogs/2024/misc/Federico-Chiesa-Match-Logs,0.0
77,Tomáš Chorý,https://fbref.com/en/players/163bbd4a/Tomas-Chory,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-167,1995,0.4,0,0,1,2,1,6,25.0,0,0,0,2,0,0,https://fbref.com/en/players/163bbd4a/matchlogs/2024/misc/Tomas-Chory-Match-Logs,
78,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-092,1996,3.9,0,0,2,3,6,2,10,3,0,75.0,9,0,0,https://fbref.com/en/players/1cb49278/matchlogs/2024/misc/Andreas-Christensen-Match-Logs,
79,Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-140,1995,1.1,0,0,3,4,1,4,2,66.7,0,0,4,0,0,https://fbref.com/en/players/26ce2263/matchlogs/2024/misc/Ryan-Christie-Match-Logs,
80,Mojmir Chytil,https://fbref.com/en/players/01a08323/Mojmir-Chytil,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-073,1999,1.2,0,0,2,3,2,3,5,37.5,0,0,3,0,0,https://fbref.com/en/players/01a08323/matchlogs/2024/misc/Mojmir-Chytil-Match-Logs,
81,Alexandru Cicâldău,https://fbref.com/en/players/cdafb19d/Alexandru-Cicaldau,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,27-003,1997,0.2,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/cdafb19d/matchlogs/2024/misc/Alexandru-Cicaldau-Match-Logs,
82,Florinel Coman,https://fbref.com/en/players/a9440c25/Florinel-Coman,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-092,1998,1.3,0,0,1,1,1,1,2,,0,0,1,0,0,https://fbref.com/en/players/a9440c25/matchlogs/2024/misc/Florinel-Coman-Match-Logs,100.0
83,Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,28-028,1996,0.2,0,0,1,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/042e8a49/matchlogs/2024/misc/Kingsley-Coman-Match-Logs,
84,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,21-210,2002,2.0,0,0,2,3,16,1,9,1,0,,1,0,0,https://fbref.com/en/players/5ef3d210/matchlogs/2024/misc/Francisco-Conceicao-Match-Logs,0.0
85,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,GK,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5.7,0,0,5,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/misc/Diogo-Costa-Match-Logs,
86,Vladimír Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,"DF,FW",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-324,1992,3.0,3,0,1,1,22,2,4,12,0,5,1,37.5,0,https://fbref.com/en/players/fdf3cb77/matchlogs/2024/misc/Vladimir-Coufal-Match-Logs,
87,Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-130,1995,1.5,3,0,3,1,3,2,4,1,0,,1,0,0,https://fbref.com/en/players/16657b95/matchlogs/2024/misc/Bryan-Cristante-Match-Logs,75.0
88,Kevin Csoboth,https://fbref.com/en/players/cf6fc95d/Kevin-Csoboth,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-021,2000,0.1,0,0,2,2,2,,0,0,0,0,2,0,0,https://fbref.com/en/players/cf6fc95d/matchlogs/2024/misc/Kevin-Csoboth-Match-Logs,
89,Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,25-355,1998,5.1,0,0,6,11,4,6,9,21,0,6,8,57.1,0,https://fbref.com/en/players/1daec722/matchlogs/2024/misc/Marc-Cucurella-Match-Logs,
90,Mirlind Daku,https://fbref.com/en/players/a04adf33/Mirlind-Daku,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,26-192,1998,0.1,1,0,1,1,1,,0,0,0,0,1,0,0,https://fbref.com/en/players/a04adf33/matchlogs/2024/misc/Mirlind-Daku-Match-Logs,100.0
91,Diogo Dalot,https://fbref.com/en/players/d9565625/Diogo-Dalot,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-115,1999,1.7,0,0,2,3,1,1,10,,0,0,2,0,0,https://fbref.com/en/players/d9565625/matchlogs/2024/misc/Diogo-Dalot-Match-Logs,100.0
92,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-008,2000,0.4,0,0,1,1,1,2,1,,0,0,1,0,0,https://fbref.com/en/players/215f3907/matchlogs/2024/misc/Mikkel-Damsgaard-Match-Logs,50.0
93,Kevin Danso,https://fbref.com/en/players/6e33125f/Kevin-Danso,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,25-296,1998,2.4,6,0,4,5,11,8,42.9,0,0,0,1,0,0,https://fbref.com/en/players/6e33125f/matchlogs/2024/misc/Kevin-Danso-Match-Logs,
94,Márton Dárdai,https://fbref.com/en/players/41bff4fa/Marton-Dardai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-150,2002,1.9,0,0,3,3,1,,0,0,0,0,4,0,0,https://fbref.com/en/players/41bff4fa/matchlogs/2024/misc/Marton-Dardai-Match-Logs,100.0
95,Matteo Darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,34-222,1989,1.8,0,0,4,1,1,1,1,1,0,8,1,,0,https://fbref.com/en/players/96e0490d/matchlogs/2024/misc/Matteo-Darmian-Match-Logs,100.0
96,Zuriko Davitashvili,https://fbref.com/en/players/88b4d2e3/Zuriko-Davitashvili,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-147,2001,1.3,1,0,1,4,1,3,1,2,0,,1,0,0,https://fbref.com/en/players/88b4d2e3/matchlogs/2024/misc/Zuriko-Davitashvili-Match-Logs,33.3
97,Paweł Dawidowicz,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-052,1995,2.0,2,0,5,5,1,,0,0,0,0,1,0,0,https://fbref.com/en/players/16bb656a/matchlogs/2024/misc/Pawel-Dawidowicz-Match-Logs,66.7
98,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,33-013,1991,4.0,0,0,5,6,2,21,1,16,0,1,7,87.5,0,https://fbref.com/en/players/e46012d4/matchlogs/2024/misc/Kevin-De-Bruyne-Match-Logs,
99,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,23-123,2001,1,0,0.0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/2ef7c612/matchlogs/2024/misc/Charles-De-Ketelaere-Match-Logs,
100,Zeno Debast,https://fbref.com/en/players/064461b7/Zeno-Debast,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,20-261,2003,1.2,0,0,3,1,7,1,,0,0,0,1,0,0,https://fbref.com/en/players/064461b7/matchlogs/2024/misc/Zeno-Debast-Match-Logs,50.0
101,Thomas Delaney,https://fbref.com/en/players/fe641c1a/Thomas-Delaney,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-312,1991,0.9,0,0,3,1,1,1,2,4,0,3,2,40.0,0,https://fbref.com/en/players/fe641c1a/matchlogs/2024/misc/Thomas-Delaney-Match-Logs,
102,Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,27-057,1997,4.0,3,0,7,7,1,36,1,5,60.0,1,1,12,2,https://fbref.com/en/players/b19db005/matchlogs/2024/misc/Ousmane-Dembele-Match-Logs,
103,Merih Demiral,https://fbref.com/en/players/e3cceee6/Merih-Demiral,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-128,1998,2.3,0,0,2,2,2,4,2,5,0,4,14,77.8,0,https://fbref.com/en/players/e3cceee6/matchlogs/2024/misc/Merih-Demiral-Match-Logs,
104,Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,30-342,1993,4.0,0,0,4,6,1,2,6,9,0,11,6,3,66.7,https://fbref.com/en/players/230a2fac/matchlogs/2024/misc/Giovanni-Di-Lorenzo-Match-Logs,
105,Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-058,1997,4.7,0,0,2,1,3,3,1,8,0,7,11,61.1,0,https://fbref.com/en/players/31c69ef1/matchlogs/2024/misc/Ruben-Dias-Match-Logs,
106,Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-244,1997,2.5,0,0,2,12,2,2,7,1,0,,1,0,0,https://fbref.com/en/players/970b8574/matchlogs/2024/misc/Federico-Dimarco-Match-Logs,50.0
107,Berat Djimsiti,https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,31-143,1993,3.0,0,0,1,2,2,5,2,75.0,0,0,6,0,0,https://fbref.com/en/players/6eee05f1/matchlogs/2024/misc/Berat-Djimsiti-Match-Logs,
108,Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,"FW,MF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,22-045,2002,3.6,0,0,5,8,8,1,2,12,0,2,1,,0,https://fbref.com/en/players/fffea3e5/matchlogs/2024/misc/Jeremy-Doku-Match-Logs,33.3
109,Kasper Dolberg,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-279,1997,0.4,0,0,1,1,1,,0,0,0,0,1,0,0,https://fbref.com/en/players/cc83b74d/matchlogs/2024/misc/Kasper-Dolberg-Match-Logs,100.0
110,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,GK,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4.0,1,0,1,4,,0,0,0,0,0,1,0,0,https://fbref.com/en/players/08f5afaa/matchlogs/2024/misc/Gianluigi-Donnarumma-Match-Logs,100.0
111,David Doudera,https://fbref.com/en/players/e95b4604/David-Doudera,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-041,1998,1.0,0,0,1,2,4,,0,0,0,0,0,0,0,https://fbref.com/en/players/e95b4604/matchlogs/2024/misc/David-Doudera-Match-Logs,
112,Artem Dovbyk,https://fbref.com/en/players/5b847bb0/Artem-Dovbyk,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-020,1997,2.7,7,0,3,2,3,1,2,6,0,2,1,77.8,0,https://fbref.com/en/players/5b847bb0/matchlogs/2024/misc/Artem-Dovbyk-Match-Logs,
113,Denis Drăguș,https://fbref.com/en/players/0e490f6e/Denis-Dragus,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-005,1999,3.2,0,0,8,3,1,1,1,1,0,8,2,12,14.3,https://fbref.com/en/players/0e490f6e/matchlogs/2024/misc/Denis-Dragus-Match-Logs,
114,Radu Drăgușin,https://fbref.com/en/players/620922ed/Radu-Dragusin,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,22-159,2002,4.0,0,0,1,5,6,1,13,3,0,62.5,5,0,0,https://fbref.com/en/players/620922ed/matchlogs/2024/misc/Radu-Dragusin-Match-Logs,
115,Vanja Drkušič,https://fbref.com/en/players/e2e816b9/Vanja-Drkusic,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-255,1999,4.3,6,0,7,1,1,1,7,1,0,13,1,4,60.0,https://fbref.com/en/players/e2e816b9/matchlogs/2024/misc/Vanja-Drkusic-Match-Logs,
116,Kwadwo Duah,https://fbref.com/en/players/66089708/Kwadwo-Duah,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-138,1997,1.2,0,0,1,1,1,1,1,1,0,2,5,2,71.4,https://fbref.com/en/players/66089708/matchlogs/2024/misc/Kwadwo-Duah-Match-Logs,
117,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,GK,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4.3,0,0,1,1,1,100.0,0,0,0,0,5,0,0,https://fbref.com/en/players/3a949a25/matchlogs/2024/misc/Martin-Dubravka-Match-Logs,
118,Ondrej Duda,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-219,1994,3.5,3,0,9,6,9,3,3,11,0,3,1,50.0,0,https://fbref.com/en/players/79ca3e23/matchlogs/2024/misc/Ondrej-Duda-Match-Logs,
119,Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,28-084,1996,5.0,7,0,9,4,1,18,3,5,58.3,1,2,15,5,https://fbref.com/en/players/481c9ece/matchlogs/2024/misc/Denzel-Dumfries-Match-Logs,
120,Dávid Ďuriš,https://fbref.com/en/players/5e0a43de/David-Duris,"FW,MF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,25-111,1999,0.3,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5e0a43de/matchlogs/2024/misc/David-Duris-Match-Logs,
121,Lasha Dvali,https://fbref.com/en/players/303636d2/Lasha-Dvali,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-058,1995,4.0,0,0,2,1,3,7,9,40.0,0,0,6,0,0,https://fbref.com/en/players/303636d2/matchlogs/2024/misc/Lasha-Dvali-Match-Logs,
122,Timi Elšnik,https://fbref.com/en/players/66f040ff/Timi-Elsnik,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,26-073,1998,4.0,0,0,4,3,4,4,7,22,0,2,4,66.7,0,https://fbref.com/en/players/66f040ff/matchlogs/2024/misc/Timi-Elsnik-Match-Logs,
123,Breel Embolo,https://fbref.com/en/players/0b4f388a/Breel-Embolo,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-148,1997,3.3,0,0,4,9,1,1,1,3,0,7,2,9,18.2,https://fbref.com/en/players/0b4f388a/matchlogs/2024/misc/Breel-Embolo-Match-Logs,
124,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-148,1992,3.9,0,0,4,1,32,2,2,22,0,2,0,,0,https://fbref.com/en/players/980522ec/matchlogs/2024/misc/Christian-Eriksen-Match-Logs,0.0
125,Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,"DF,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-012,1998,1.1,0,0,1,5,5,4,5,16.7,0,0,1,0,0,https://fbref.com/en/players/ae4fc6a4/matchlogs/2024/misc/Eberechi-Eze-Match-Logs,
126,Wout Faes,https://fbref.com/en/players/9c221d14/Wout-Faes,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-099,1998,4.0,3,0,4,2,4,7,14,9,0,25.0,1,0,0,https://fbref.com/en/players/9c221d14/matchlogs/2024/misc/Wout-Faes-Match-Logs,
127,Nicolò Fagioli,https://fbref.com/en/players/366be751/Nicolo-Fagioli,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,23-150,2001,1.1,0,0,1,4,1,5,,0,0,0,1,0,0,https://fbref.com/en/players/366be751/matchlogs/2024/misc/Nicolo-Fagioli-Match-Logs,
128,João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix,"MF,FW",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-244,1999,1.2,0,0,1,7,5,,0,0,0,0,0,0,0,https://fbref.com/en/players/8aafd64f/matchlogs/2024/misc/Joao-Felix-Match-Logs,
129,Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-307,1994,4.2,0,0,5,6,2,32,2,5,0,22,2,5,28.6,https://fbref.com/en/players/507c7bdf/matchlogs/2024/misc/Bruno-Fernandes-Match-Logs,
130,Attila Fiola,https://fbref.com/en/players/bb17ccd0/Attila-Fiola,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-145,1990,2.0,0,0,5,3,1,1,2,2,0,,1,0,0,https://fbref.com/en/players/bb17ccd0/matchlogs/2024/misc/Attila-Fiola-Match-Logs,33.3
131,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,"FW,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-044,2000,5.9,2,0,1,5,4,25,1,3,0,17,1,3,40.0,https://fbref.com/en/players/ed1e53f3/matchlogs/2024/misc/Phil-Foden-Match-Logs,
132,Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-183,1999,0.5,0,0,1,1,1,2,,0,0,0,1,0,0,https://fbref.com/en/players/822d51d7/matchlogs/2024/misc/Youssouf-Fofana-Match-Logs,100.0
133,Michael Folorunsho,https://fbref.com/en/players/c391a179/Michael-Folorunsho,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-155,1998,1,0,0.0,1,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/c391a179/matchlogs/2024/misc/Michael-Folorunsho-Match-Logs,0.0
134,Przemysław Frankowski,https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-090,1995,3.0,0,0,5,1,7,1,5,13,0,3,1,,0,https://fbref.com/en/players/00a8d210/matchlogs/2024/misc/Przemyslaw-Frankowski-Match-Logs,25.0
135,Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-263,1999,2.1,0,0,4,6,1,2,1,1,0,4,1,2,,https://fbref.com/en/players/2a7d27c1/matchlogs/2024/misc/Davide-Frattesi-Match-Logs,33.3
136,Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-087,1992,5.1,6,0,10,1,4,5,11,1,0,85.7,1,0,0,https://fbref.com/en/players/98d2c2c4/matchlogs/2024/misc/Remo-Freuler-Match-Logs,
137,Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-214,2000,1.0,0,0,1,4,1,,0,0,0,0,0,0,0,https://fbref.com/en/players/74f2e748/matchlogs/2024/misc/Jeremie-Frimpong-Match-Logs,0.0
138,Chris Führich,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,26-184,1998,0.2,0,0,1,2,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/0cf778df/matchlogs/2024/misc/Chris-Fuhrich-Match-Logs,
139,Niclas Füllkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,31-153,1993,1.8,0,0,1,2,4,1,2,80.0,0,0,8,0,0,https://fbref.com/en/players/4f16405e/matchlogs/2024/misc/Niclas-Fullkrug-Match-Logs,
140,Mijat Gaćinović,https://fbref.com/en/players/16daec92/Mijat-Gacinovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-154,1995,0.5,2,0,1,3,1,2,2,,0,0,1,0,0,https://fbref.com/en/players/16daec92/matchlogs/2024/misc/Mijat-Gacinovic-Match-Logs,50.0
141,Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-065,1999,5.8,0,0,6,8,6,22,4,8,0,18,6,4,60.0,https://fbref.com/en/players/1971591f/matchlogs/2024/misc/Cody-Gakpo-Match-Logs,
142,Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-156,2000,1.3,2,0,5,5,1,2,2,,0,0,1,0,0,https://fbref.com/en/players/c2731c10/matchlogs/2024/misc/Conor-Gallagher-Match-Logs,50.0
143,Dániel Gazdag,https://fbref.com/en/players/527d0e31/Daniel-Gazdag,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,28-131,1996,1,0,0.0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/527d0e31/matchlogs/2024/misc/Daniel-Gazdag-Match-Logs,
144,Lutsharel Geertruida,https://fbref.com/en/players/242e1043/Lutsharel-Geertruida,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-359,2000,1.2,0,0,2,2,1,3,1,1,0,,0,0,0,https://fbref.com/en/players/242e1043/matchlogs/2024/misc/Lutsharel-Geertruida-Match-Logs,0.0
145,Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,23-030,2001,2.0,0,0,1,4,1,8,1,80.0,0,0,4,0,0,https://fbref.com/en/players/df10e27c/matchlogs/2024/misc/Billy-Gilmour-Match-Logs,
146,Olivier Giroud,https://fbref.com/en/players/16ceb862/Olivier-Giroud,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,37-285,1986,0.7,0,0,1,2,1,,0,0,0,0,3,0,0,https://fbref.com/en/players/16ceb862/matchlogs/2024/misc/Olivier-Giroud-Match-Logs,75.0
147,Klaus Gjasula,https://fbref.com/en/players/431c837b/Klaus-Gjasula,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,34-210,1989,0.2,1,0,1,1,2,1,,0,0,0,1,0,0,https://fbref.com/en/players/431c837b/matchlogs/2024/misc/Klaus-Gjasula-Match-Logs,50.0
148,Adam Gnezda Čerin,https://fbref.com/en/players/fe192f45/Adam-Gnezda-Cerin,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-361,1999,4.3,0,0,10,4,10,5,5,16,0,2,5,71.4,0,https://fbref.com/en/players/fe192f45/matchlogs/2024/misc/Adam-Gnezda-Cerin-Match-Logs,
149,Anthony Gordon,https://fbref.com/en/players/2bd83368/Anthony-Gordon,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-138,2001,0,0,0.0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/2bd83368/matchlogs/2024/misc/Anthony-Gordon-Match-Logs,
150,Jon Gorenc Stanković,https://fbref.com/en/players/9c74fa25/Jon-Gorenc-Stankovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,28-179,1996,1.0,0,0,1,1,1,1,1,,0,0,1,0,0,https://fbref.com/en/players/9c74fa25/matchlogs/2024/misc/Jon-Gorenc-Stankovic-Match-Logs,0.0
151,Michael Gregoritsch,https://fbref.com/en/players/8e235926/Michael-Gregoritsch,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,30-084,1994,1.4,0,0,4,1,1,3,4,42.9,0,0,3,0,0,https://fbref.com/en/players/8e235926/matchlogs/2024/misc/Michael-Gregoritsch-Match-Logs,
152,Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann,"MF,FW",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,33-112,1991,4.4,1,0,2,6,27,1,3,11,0,3,1,,0,https://fbref.com/en/players/df69b544/matchlogs/2024/misc/Antoine-Griezmann-Match-Logs,25.0
153,Florian Grillitsch,https://fbref.com/en/players/ffbbc83b/Florian-Grillitsch,MF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,28-339,1995,2.2,0,0,2,3,2,6,1,11,0,1,1,,0,https://fbref.com/en/players/ffbbc83b/matchlogs/2024/misc/Florian-Grillitsch-Match-Logs,50.0
154,Álex Grimaldo,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-295,1995,1.3,0,0,16,3,1,3,,0,0,0,1,0,0,https://fbref.com/en/players/b1f4086c/matchlogs/2024/misc/Alex-Grimaldo-Match-Logs,100.0
