right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 6,right 7,right 8,right 9,right 10,right 11,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
19,Jasir Asani,https://fbref.com/en/players/6354ac8c/Jasir-Asani,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-053,1995,2.3,0,0,2,5,1,4,4,1,0,8,0,2,,https://fbref.com/en/players/6354ac8c/matchlogs/2024/misc/Jasir-Asani-Match-Logs,0.0
20,Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-124,2002,3.0,0,0,2,4,1,13,3,1,0,8,0,2,,https://fbref.com/en/players/0fdcef0e/matchlogs/2024/misc/Kristjan-Asllani-Match-Logs,0.0
21,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-244,1994,4.0,7,0,3,4,1,2,3,6,0,3,1,70.0,0,https://fbref.com/en/players/2200181e/matchlogs/2024/misc/Kaan-Ayhan-Match-Logs,
22,Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,22-357,2001,0.3,0,0,1,1,1,1,,0,0,0,0,0,0,https://fbref.com/en/players/518f2234/matchlogs/2024/misc/Alex-Baena-Match-Logs,0.0
23,Alexander Bah,https://fbref.com/en/players/78f21137/Alexander-Bah,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-215,1997,3.1,0,0,3,2,6,5,4,9,0,3,7,70.0,0,https://fbref.com/en/players/78f21137/matchlogs/2024/misc/Alexander-Bah-Match-Logs,
24,Nedim Bajrami,https://fbref.com/en/players/f42d6c13/Nedim-Bajrami,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-134,1999,2.7,1,0,2,2,4,1,10,1,0,,1,0,0,https://fbref.com/en/players/f42d6c13/matchlogs/2024/misc/Nedim-Bajrami-Match-Logs,50.0
25,Johan Bakayoko,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,21-082,2003,0.5,0,0,1,1,2,,0,0,0,0,0,0,0,https://fbref.com/en/players/0caa2fd4/matchlogs/2024/misc/Johan-Bakayoko-Match-Logs,
26,Jure Balkovec,https://fbref.com/en/players/1a787ee8/Jure-Balkovec,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-306,1994,1.3,1,0,1,1,2,3,1,2,0,,1,0,0,https://fbref.com/en/players/1a787ee8/matchlogs/2024/misc/Jure-Balkovec-Match-Logs,33.3
27,Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,32-192,1992,1.0,0,0,1,2,2,,0,0,0,0,0,0,0,https://fbref.com/en/players/cee88597/matchlogs/2024/misc/Ivan-Balliu-Match-Logs,
28,Nicușor Bancu,https://fbref.com/en/players/99847dc0/Nicusor-Bancu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-297,1992,3.0,1,0,4,2,5,2,10,1,0,,2,0,0,https://fbref.com/en/players/99847dc0/matchlogs/2024/misc/Nicusor-Bancu-Match-Logs,50.0
29,Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-221,1994,0.5,0,0,1,1,3,1,1,1,0,4,2,2,,https://fbref.com/en/players/01efac19/matchlogs/2024/misc/Antonin-Barak-Match-Logs,0.0
30,Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-313,2002,1.1,0,0,1,3,1,4,4,,0,0,0,0,0,https://fbref.com/en/players/a0d55a09/matchlogs/2024/misc/Bradley-Barcola-Match-Logs,
31,Abdülkerim Bardakcı,https://fbref.com/en/players/5d9cff53/Abdulkerim-Bardakci,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-308,1994,4.0,7,0,3,1,1,2,2,17,0,7,2,50.0,0,https://fbref.com/en/players/5d9cff53/matchlogs/2024/misc/Abdulkerim-Bardakci-Match-Logs,
32,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-155,1997,3.7,1,0,5,2,1,2,3,5,0,14,1,1,,https://fbref.com/en/players/6928979a/matchlogs/2024/misc/Nicolo-Barella-Match-Logs,50.0
33,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-089,1999,4.0,0,0,3,6,1,1,2,24,0,5,4,44.4,0,https://fbref.com/en/players/75b86fb3/matchlogs/2024/misc/Alessandro-Bastoni-Match-Logs,
34,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-146,2003,0.1,0,0,1,1,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d1eda5f0/matchlogs/2024/misc/Martin-Baturina-Match-Logs,
35,Christoph Baumgartner,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-345,1999,3.2,5,0,4,8,1,6,1,1,0,14,1,9,35.7,https://fbref.com/en/players/437f2b00/matchlogs/2024/misc/Christoph-Baumgartner-Match-Logs,
36,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1.0,0,0,3,0,,0,0,0,0,0,1,0,0,https://fbref.com/en/players/072e68ed/matchlogs/2024/misc/Altay-Bayindir-Match-Logs,100.0
37,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,28-090,1996,3.0,0,0,2,4,3,1,8,5,0,28.6,2,0,0,https://fbref.com/en/players/4115ce4e/matchlogs/2024/misc/Jan-Bednarek-Match-Logs,
38,Maximilian Beier,https://fbref.com/en/players/5db45ee5/Maximilian-Beier,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-268,2002,0.3,0,0,1,0,,0,0,0,0,0,1,0,0,https://fbref.com/en/players/5db45ee5/matchlogs/2024/misc/Maximilian-Beier-Match-Logs,100.0
39,Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,21-012,2003,6.4,4,0,6,14,8,3,6,19,0,10,2,28.6,0,https://fbref.com/en/players/57d88cf9/matchlogs/2024/misc/Jude-Bellingham-Match-Logs,
40,László Bénes,https://fbref.com/en/players/fe888e39/Laszlo-Benes,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-306,1997,0.8,0,0,6,1,5,,0,0,0,0,0,0,0,https://fbref.com/en/players/fe888e39/matchlogs/2024/misc/Laszlo-Benes-Match-Logs,
