right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28,right 29,right 30,left href 3,right 31,right 32,right 33,right 34,right 35,right 36,right 37,right 38,right 39
51,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-204,1996,2,37,0.4,0.2,0,0,0,0,0,0,0,1,0.2,3,,0.00,,,0.0,0,0.0,0,,,0.00,,,,https://fbref.com/en/players/79c84d1c/matchlogs/2024/summary/Jarrod-Bowen-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.49,0.49,0.49,
52,Róbert Boženík,https://fbref.com/en/players/ba6cf633/Robert-Bozenik,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,24-236,1999,4,2,208,2.3,0,0,0,0,0,0,0,0.1,0.1,0.1,1,1,10,0.02,0.00,0.0,0.00,0.00,0.00,0.06,0.07,0.06,0.07,0.00,https://fbref.com/en/players/ba6cf633/matchlogs/2024/summary/Robert-Bozenik-Match-Logs,,,,,,,,,
53,Volodymyr Brazhko,https://fbref.com/en/players/696197fb/Volodymyr-Brazhko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-170,2002,3,2,182,2.0,0,0,0,0,0,0,0,0.02,0.1,3,1,0.00,0.02,0.04,0.0,0.0,0.0,0.00,0.00,0,0.02,0.04,0.00,0.00,https://fbref.com/en/players/696197fb/matchlogs/2024/summary/Volodymyr-Brazhko-Match-Logs,,,,,,,,,
54,David Brekalo,https://fbref.com/en/players/fd594b15/David-Brekalo,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-221,1998,2,2,,,0,0.0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0,0.0,0.0,0,0.00,0,0,0.0,https://fbref.com/en/players/fd594b15/matchlogs/2024/summary/David-Brekalo-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
55,Brian Brobbey,https://fbref.com/en/players/4c184730/Brian-Brobbey,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-161,2002,1,1,,,0,0.0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0,0.0,0.0,0,0.00,0,0,0.0,https://fbref.com/en/players/4c184730/matchlogs/2024/summary/Brian-Brobbey-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
56,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-305,2001,2,1,108,1.2,0,0,0,0,0,0,,0.2,1,0.2,0.1,2,0.3,1,,,,,0.23,,4,,,,https://fbref.com/en/players/97220da2/matchlogs/2024/summary/Armando-Broja-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.06,0.23,0.18,0.18
57,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,31-238,1992,3,3,225,2.5,0,0,0,0,0,0,0.00,0.1,1,0.1,0.1,2,0.2,13,0.00,0.00,0.00,0.00,0.09,0.06,6,0.03,0.09,0.06,https://fbref.com/en/players/33b8d077/matchlogs/2024/summary/Marcelo-Brozovic-Match-Logs,,,,,,,,,
58,Jacob Bruun Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-296,1998,1,10,0.1,1,0,0,0,0,0,0,0,1,4,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,,0.00,,,,https://fbref.com/en/players/4e204552/matchlogs/2024/summary/Jacob-Bruun-Larsen-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
59,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,32-355,1991,3,1,122,1.4,0,0,0,0,0,,,0.8,1,1,0.5,1,1.2,1.7,,1.25,1.48,0.38,0.87,,2,5,,,https://fbref.com/en/players/8f3565b3/matchlogs/2024/summary/Ante-Budimir-Match-Logs,0.00,0.00,,,,0.74,0.74,0.74,0.60
60,Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-365,1996,2,2,149,1.7,,0,0,0,0,,,1,1,1,0.2,0.2,0.2,0.3,0.10,0.21,0.21,0.10,0.11,1,1,6,,,https://fbref.com/en/players/3b676989/matchlogs/2024/summary/Adam-Buksa-Match-Logs,,0.00,,,,0.60,0.60,0.60,0.60
61,Andrei Burcă,https://fbref.com/en/players/c83623e2/Andrei-Burca,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-087,1993,4,4,360,4.0,0,0,0,0,0,0,0.0,0.1,1,0.1,0.1,2,6,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.00,https://fbref.com/en/players/c83623e2/matchlogs/2024/summary/Andrei-Burca-Match-Logs,,,,,,,,,
62,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,22-053,2002,3,3,270,3.0,0,0,0,0,0.00,0.17,0.10,0.3,1,1,2,7,0.3,0.2,0.00,0.17,0.33,0.08,0.33,0.10,0.5,11,1,0.33,https://fbref.com/en/players/aded8e6f/matchlogs/2024/summary/Riccardo-Calafiori-Match-Logs,,,,,,,,,
63,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-154,1994,4,4,355,3.9,0.09,0,0,0,0.00,0.14,0.09,1,1,1,2,0.4,0.4,0.2,0.25,0.14,0.25,0.05,0.25,5,0.6,18,12,0.25,https://fbref.com/en/players/cd0fa27b/matchlogs/2024/summary/Hakan-Calhanoglu-Match-Logs,,,,,,,,,
64,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-244,2002,4,1,169,1.9,0,0,0,0,0,0,0.00,0.3,1,0.3,0.1,2,0.4,12,0.00,0.00,0.00,0.00,0.20,0.15,5,0.04,0.20,0.15,https://fbref.com/en/players/7b9c2d84/matchlogs/2024/summary/Eduardo-Camavinga-Match-Logs,,,,,,,,,
65,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,"FW,DF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-142,2000,3,76,0.8,1,0,0,0,0,0,0,0,1,7,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,,0.00,,,,https://fbref.com/en/players/247ed022/matchlogs/2024/summary/Andrea-Cambiaso-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
66,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,30-181,1994,4,1,102,1.1,0.0,0,0,0,0,0.0,0.0,1,1,1,0.1,1,4,1,0.03,0.06,0.06,0.03,0.03,,,,,,https://fbref.com/en/players/a65ce836/matchlogs/2024/summary/Emre-Can-Match-Logs,,0.00,,,,0.88,0.88,0.88,0.88
67,João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-045,1994,4,4,345,3.8,0,0,0,0,0,0,0.00,0.1,1,0.1,0.4,14,0.4,36,0.00,0.00,0.00,0.00,0.11,0.02,26,0.09,0.11,0.02,https://fbref.com/en/players/bd6351cd/matchlogs/2024/summary/Joao-Cancelo-Match-Logs,,,,,,,,,
68,Yannick Carrasco,https://fbref.com/en/players/de39485a/Yannick-Carrasco,"DF,FW",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,30-311,1993,4,2,218,2.4,0,0,0,0,0,0,0,0.3,0.3,0.3,10,5,12,0.14,0.00,0.0,0.00,0.00,0.00,0.14,0.14,0.14,0.00,0.00,https://fbref.com/en/players/de39485a/matchlogs/2024/summary/Yannick-Carrasco-Match-Logs,,,,,,,,,
69,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,32-182,1992,4,4,379,4.2,0.12,0,0,0.00,0.22,0.12,0.22,1,1,1,3,0.5,1,0.5,0.24,0.10,0.24,0.24,0.24,9,0.4,0.9,18,12,https://fbref.com/en/players/4958bfb2/matchlogs/2024/summary/Dani-Carvajal-Match-Logs,,,,,,,,,
70,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,28-219,1995,4,4,357,4.0,0,0,0,0,0,0,0,4,11,16,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/197640fd/matchlogs/2024/summary/Timothy-Castagne-Match-Logs,,,,,,,,,
71,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0,https://fbref.com/en/players/db401046/matchlogs/2024/summary/Koen-Casteels-Match-Logs,,,,,,,,,
72,Žan Celar,https://fbref.com/en/players/868c6958/Zan-Celar,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-119,1999,3,67,0.7,1,0,0,0,0,0,0,0,1,1,2,,,,,0.0,0.0,0.0,0.0,,,0.00,,,,https://fbref.com/en/players/868c6958/matchlogs/2024/summary/Zan-Celar-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07
73,Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-145,1997,3,1,105,1.2,0,0,0,0,0,0,,0.2,1,0.2,0.5,1,0.7,3,,,,,0.63,,11,,,,https://fbref.com/en/players/31a62dc7/matchlogs/2024/summary/Zeki-Celik-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.46,0.63,0.17,0.17
74,Václav Černý,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-268,1997,1,1,54,0.6,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,1,1,2,,,,,0.99,,,,,,https://fbref.com/en/players/bb1cf301/matchlogs/2024/summary/Vaclav-Cerny-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.17,0.99,0.81,0.81
75,Giorgi Chakvetadze,https://fbref.com/en/players/76864df8/Giorgi-Chakvetadze,"MF,FW",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,24-317,1999,4,3,244,2.7,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,11,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.14,0.02,0.14,https://fbref.com/en/players/76864df8/matchlogs/2024/summary/Giorgi-Chakvetadze-Match-Logs,,,,,,,,,
76,Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-260,1997,4,3,263,2.9,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,14,5,32,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,https://fbref.com/en/players/b0f7e36c/matchlogs/2024/summary/Federico-Chiesa-Match-Logs,,,,,,,,,
77,Tomáš Chorý,https://fbref.com/en/players/163bbd4a/Tomas-Chory,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-167,1995,2,36,0.4,1,0,0,0,0,0,0,0,0.4,0.4,0.4,1,,,,0,0.0,0,,,,0.00,,,,https://fbref.com/en/players/163bbd4a/matchlogs/2024/summary/Tomas-Chory-Match-Logs,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00
78,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-092,1996,4,4,350,3.9,0,0,0,0,0,0,0,0.5,0.5,0.5,9,1,0.12,0.12,0.00,0.0,0,0.00,0.00,0.12,0.12,0.00,0.00,0.00,https://fbref.com/en/players/1cb49278/matchlogs/2024/summary/Andreas-Christensen-Match-Logs,,,,,,,,,
79,Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-140,1995,3,1,99,1.1,0,0,0,0,0,0,0,,4,,,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,,,,https://fbref.com/en/players/26ce2263/matchlogs/2024/summary/Ryan-Christie-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
80,Mojmir Chytil,https://fbref.com/en/players/01a08323/Mojmir-Chytil,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-073,1999,3,1,107,1.2,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,,1,2,0,,,,0.26,,,,,,https://fbref.com/en/players/01a08323/matchlogs/2024/summary/Mojmir-Chytil-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.10,0.26,0.16,0.16
81,Alexandru Cicâldău,https://fbref.com/en/players/cdafb19d/Alexandru-Cicaldau,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,27-003,1997,1,19,0.2,,0,0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.00,,0,0,https://fbref.com/en/players/cdafb19d/matchlogs/2024/summary/Alexandru-Cicaldau-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
82,Florinel Coman,https://fbref.com/en/players/a9440c25/Florinel-Coman,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-092,1998,2,2,118,1.3,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,1,4,,,,,0.10,,,,,,https://fbref.com/en/players/a9440c25/matchlogs/2024/summary/Florinel-Coman-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.05,0.05
83,Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,28-028,1996,1,16,0.2,1,0,0,0,0,0,0,0,,3,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.00,,,,https://fbref.com/en/players/042e8a49/matchlogs/2024/summary/Kingsley-Coman-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
84,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,21-210,2002,4,1,182,2.0,0.66,0,0,0,0.00,1.88,0.66,1,1,1,1,0.9,0.9,1.6,0.49,1.88,0.49,1.21,0.49,15,2.5,9,34,0.49,https://fbref.com/en/players/5ef3d210/matchlogs/2024/summary/Francisco-Conceicao-Match-Logs,,,,,,,,,
85,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,GK,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5,5,510,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/summary/Diogo-Costa-Match-Logs,,,,,,,,,
86,Vladimír Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,"DF,FW",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-324,1992,3,3,270,3.0,0,0,0,0,0.0,0.00,0.00,10,1,1,1,0.00,0.6,0.6,0.0,0.19,0.19,0.19,0.33,0.00,11,12,0.33,0.33,https://fbref.com/en/players/fdf3cb77/matchlogs/2024/summary/Vladimir-Coufal-Match-Logs,,,,,,,,,
87,Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-130,1995,3,1,133,1.5,0,0,0,0,0,0,,0.1,1,0.1,0.2,4,0.3,5,,,,,0.18,,2,,,,https://fbref.com/en/players/16657b95/matchlogs/2024/summary/Bryan-Cristante-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.13,0.18,0.05,0.05
88,Kevin Csoboth,https://fbref.com/en/players/cf6fc95d/Kevin-Csoboth,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-021,2000,2,9,0.1,1,,0,0,0,0,0.0,,1,1,2,0.6,0.6,0.6,2,6.22,,6.22,6.22,6.22,1,1,,,,https://fbref.com/en/players/cf6fc95d/matchlogs/2024/summary/Kevin-Csoboth-Match-Logs,,0.00,0.00,,,10.00,10.00,10.00,10.00
89,Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,25-355,1998,5,5,455,5.1,0,0,0,0,0,0,0,16,0.6,0.6,25,0.00,30,0.13,0.0,0.0,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,https://fbref.com/en/players/1daec722/matchlogs/2024/summary/Marc-Cucurella-Match-Logs,,,,,,,,,
90,Mirlind Daku,https://fbref.com/en/players/a04adf33/Mirlind-Daku,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,26-192,1998,1,6,0.1,1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,2,,,,,3.70,,,,,,https://fbref.com/en/players/a04adf33/matchlogs/2024/summary/Mirlind-Daku-Match-Logs,0.00,0.00,0.00,0.00,0.00,1.99,3.70,1.71,1.71
91,Diogo Dalot,https://fbref.com/en/players/d9565625/Diogo-Dalot,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-115,1999,2,2,152,1.7,0,0,0,0,0,0,0,0.1,0.1,0.1,11,2,13,0.02,0.00,0.0,0.00,0.00,0.00,0.03,0.06,0.03,0.06,0.00,https://fbref.com/en/players/d9565625/matchlogs/2024/summary/Diogo-Dalot-Match-Logs,,,,,,,,,
92,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-008,2000,1,34,0.4,2,0,0,0,0,0,0,0,,,,,,,,0.0,0,0.0,0.0,0.0,0,0.00,,,0,https://fbref.com/en/players/215f3907/matchlogs/2024/summary/Mikkel-Damsgaard-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03
93,Kevin Danso,https://fbref.com/en/players/6e33125f/Kevin-Danso,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,25-296,1998,3,2,212,2.4,0,0,0,0,0,0,0.0,4,1,22,1,0.02,0.02,0.02,0.0,0.0,0.0,0.00,0.00,0.00,0.02,0.00,0.00,0.00,https://fbref.com/en/players/6e33125f/matchlogs/2024/summary/Kevin-Danso-Match-Logs,,,,,,,,,
94,Márton Dárdai,https://fbref.com/en/players/41bff4fa/Marton-Dardai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-150,2002,3,2,175,1.9,0,0,0,0,0,0,0,0.1,0.1,0.1,5,0.04,0.04,0.04,0,0.0,0,0.00,0.00,0.00,0.04,0.00,0.00,0.00,https://fbref.com/en/players/41bff4fa/matchlogs/2024/summary/Marton-Dardai-Match-Logs,,,,,,,,,
95,Matteo Darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,34-222,1989,3,2,161,1.8,0,0,0,0,0,0,0,1,6,5,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/96e0490d/matchlogs/2024/summary/Matteo-Darmian-Match-Logs,,,,,,,,,
96,Zuriko Davitashvili,https://fbref.com/en/players/88b4d2e3/Zuriko-Davitashvili,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-147,2001,4,1,115,1.3,0,0,0,0,0,0,0.0,0.1,1,0.1,0.1,3,3,11,,,,,,,0.00,,,,https://fbref.com/en/players/88b4d2e3/matchlogs/2024/summary/Zuriko-Davitashvili-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07
97,Paweł Dawidowicz,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-052,1995,2,2,180,2.0,0,0,0,0,0,0,0.0,0.1,1,0.1,0.1,0.05,0.05,0.05,0,0,0,0.00,0.00,0.00,0.05,0.00,0.00,0.00,https://fbref.com/en/players/16bb656a/matchlogs/2024/summary/Pawel-Dawidowicz-Match-Logs,,,,,,,,,
98,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,33-013,1991,4,4,360,4.0,0.21,0,0,0,0,0.00,0.61,1,1,1,0.9,0.9,1.6,2.5,0.25,0.21,0.40,0.61,0.25,7,28,21,0.25,0.25,https://fbref.com/en/players/e46012d4/matchlogs/2024/summary/Kevin-De-Bruyne-Match-Logs,,,,,,,,,
99,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,23-123,2001,1,3,,,0,0.0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0,0.0,0.0,0,0.00,0,0,0.0,https://fbref.com/en/players/2ef7c612/matchlogs/2024/summary/Charles-De-Ketelaere-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
100,Zeno Debast,https://fbref.com/en/players/064461b7/Zeno-Debast,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,20-261,2003,2,1,104,1.2,0,0,0,0,0,0,0,,0.1,0.1,3,0.00,,,0.0,0.0,0,,,0,0.00,,,,https://fbref.com/en/players/064461b7/matchlogs/2024/summary/Zeno-Debast-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,
101,Thomas Delaney,https://fbref.com/en/players/fe641c1a/Thomas-Delaney,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-312,1991,3,1,84,0.9,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,4,,,,,0.37,,,,,,https://fbref.com/en/players/fe641c1a/matchlogs/2024/summary/Thomas-Delaney-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.25,0.37,0.12,0.12
102,Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,27-057,1997,5,4,361,4.0,0,0,0,0,0,0,0.00,0.5,1,0.5,1.2,32,1.7,14,0.00,0.00,0.00,0.00,0.47,0.15,46,0.32,0.47,0.15,https://fbref.com/en/players/b19db005/matchlogs/2024/summary/Ousmane-Dembele-Match-Logs,,,,,,,,,
103,Merih Demiral,https://fbref.com/en/players/e3cceee6/Merih-Demiral,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-128,1998,4,2,208,2.3,0,0,0,0,0,0.0,0,2,2,2,0.7,0.7,0.7,4,0.32,0.00,0.32,0.32,0.32,0.87,0.87,0.87,0.87,0.01,https://fbref.com/en/players/e3cceee6/matchlogs/2024/summary/Merih-Demiral-Match-Logs,,,,,,,,,
104,Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,30-342,1993,4,4,360,4.0,0,0,0,0,0,0,0,0.2,0.2,0.2,23,4,9,0.04,0.00,0.0,0.00,0.00,0.00,0.04,0.04,0.04,0.00,0.00,https://fbref.com/en/players/230a2fac/matchlogs/2024/summary/Giovanni-Di-Lorenzo-Match-Logs,,,,,,,,,
105,Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-058,1997,4,4,420,4.7,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,22,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/31c69ef1/matchlogs/2024/summary/Ruben-Dias-Match-Logs,,,,,,,,,
106,Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-244,1997,3,3,228,2.5,0,0,0,0,0,0,0,6,0.3,0.3,5,0.02,13,0.10,0.0,0.0,0.00,0.00,0.00,0.00,0.12,0.02,0.12,0.00,https://fbref.com/en/players/970b8574/matchlogs/2024/summary/Federico-Dimarco-Match-Logs,,,,,,,,,
107,Berat Djimsiti,https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,31-143,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.1,0.1,0.1,6,1,0.04,0.03,0.00,0.0,0,0.00,0.00,0.03,0.04,0.00,0.00,0.00,https://fbref.com/en/players/6eee05f1/matchlogs/2024/summary/Berat-Djimsiti-Match-Logs,,,,,,,,,
108,Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,"FW,MF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,22-045,2002,4,4,320,3.6,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,30,10,31,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.23,0.06,0.23,https://fbref.com/en/players/fffea3e5/matchlogs/2024/summary/Jeremy-Doku-Match-Logs,,,,,,,,,
109,Kasper Dolberg,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-279,1997,2,40,0.4,3,0,0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.00,,,0,https://fbref.com/en/players/cc83b74d/matchlogs/2024/summary/Kasper-Dolberg-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
