right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,left href 3,right 26,right 27,right 28,right 29
410,Dávid Strelec,https://fbref.com/en/players/2cb9486d/David-Strelec,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,23-098,2001,2.0,27,42,64.3,302,61,16,25,64.0,7,11,63.6,1,0.8,0.7,0,+0.2,3,2,1,2,0,0,,https://fbref.com/en/players/2cb9486d/matchlogs/2024/passing/David-Strelec-Match-Logs,,,,
411,Callum Styles,https://fbref.com/en/players/e96d5560/Callum-Styles,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-105,2000,0.7,21,27,379,193,9,9,11,5,9,1,1,2,2,,0,,,,0,0,0.0,0.0,0.0,https://fbref.com/en/players/e96d5560/matchlogs/2024/passing/Callum-Styles-Match-Logs,77.8,100.0,81.8,40.0
412,Luka Sučić,https://fbref.com/en/players/1e1378e1/Luka-Sucic,"FW,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-307,2002,1.6,77,84,1257,238,41,39,35,5,32,0.4,0.2,5,-0.4,3,0,7,3,1,7,,,,,https://fbref.com/en/players/1e1378e1/matchlogs/2024/passing/Luka-Sucic-Match-Logs,91.7,95.1,91.4,100.0
413,Heorhiy Sudakov,https://fbref.com/en/players/a793f5a8/Heorhiy-Sudakov,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,21-314,2002,2.9,100,120,83.3,1833,549,45,50,90.0,43,51,84.3,11,15,73.3,0,0.2,0.2,-0.2,4,12,0,15,3,https://fbref.com/en/players/a793f5a8/matchlogs/2024/passing/Heorhiy-Sudakov-Match-Logs,,,,
414,Pavel Šulc,https://fbref.com/en/players/e9b893af/Pavel-Sulc,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,23-195,2000,0.9,12,16,136,30,6,6,4,1,4,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/e9b893af/matchlogs/2024/passing/Pavel-Sulc-Match-Logs,75.0,100.0,100.0,0
415,Tomáš Suslov,https://fbref.com/en/players/83fe71b8/Tomas-Suslov,"FW,MF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,22-034,2002,1.4,38,54,621,153,26,21,11,9,11,0.1,0.3,4,-0.1,3,0,3,4,3,6,,,,,https://fbref.com/en/players/83fe71b8/matchlogs/2024/passing/Tomas-Suslov-Match-Logs,70.4,80.8,100.0,44.4
416,Josip Šutalo,https://fbref.com/en/players/33a6a650/Josip-Sutalo,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,24-134,2000,3.0,191,199,96.0,3221,938,82,85,96.5,97,101,96.0,11,12,91.7,0,7,10,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/33a6a650/matchlogs/2024/passing/Josip-Sutalo-Match-Logs,,,,
417,Oleksandr Svatok,https://fbref.com/en/players/b70be510/Oleksandr-Svatok,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,29-288,1994,0.9,24,25,356,116,16,15,9,2,9,3,,,,,0,,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/b70be510/matchlogs/2024/passing/Oleksandr-Svatok-Match-Logs,96.0,93.8,100.0,0
418,Karol Świderski,https://fbref.com/en/players/41723204/Karol-Swiderski,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-170,1997,1.0,11,16,172,49,6,4,9,1,6,0.6,0.3,1,-0.6,2,0,1,1,,,,0,0,,https://fbref.com/en/players/41723204/matchlogs/2024/passing/Karol-Swiderski-Match-Logs,68.8,66.7,66.7,100.0
419,Serhiy Sydorchuk,https://fbref.com/en/players/c71e97ba/Serhiy-Sydorchuk,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,33-070,1991,0.1,1,2,18,19,1,1,1,0,0,,,0.0,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/c71e97ba/matchlogs/2024/passing/Serhiy-Sydorchuk-Match-Logs,50.0,100.0,,0
420,Attila Szalai,https://fbref.com/en/players/50ff205b/Attila-Szalai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,26-173,1998,1.1,48,59,883,371,24,23,18,14,14,3,8,9,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/50ff205b/matchlogs/2024/passing/Attila-Szalai-Match-Logs,81.4,95.8,77.8,64.3
421,Wojciech Szczęsny,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,GK,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,34-084,1990,2.0,42,66,63.6,1064,724,7,7,100.0,24,25,96.0,11,34,32.4,0,1,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/01b8a2b2/matchlogs/2024/passing/Wojciech-Szczesny-Match-Logs,,,,
422,Dominik Szoboszlai,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,23-260,2000,3.0,110,149,73.8,2076,574,60,66,90.9,32,40,80.0,16,33,48.5,1,1.2,0.8,-0.2,7,6,8,1,3,https://fbref.com/en/players/934e1968/matchlogs/2024/passing/Dominik-Szoboszlai-Match-Logs,,,,
423,Sebastian Szymański,https://fbref.com/en/players/bb718263/Sebastian-Szymanski,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,25-062,1999,1.2,30,37,414,136,18,16,13,3,10,1,4,2,8,,0,,,,0,0,0.0,0.0,0.0,https://fbref.com/en/players/bb718263/matchlogs/2024/passing/Sebastian-Szymanski-Match-Logs,81.1,88.9,76.9,66.7
424,Dušan Tadić,https://fbref.com/en/players/2475dcc6/Dusan-Tadic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,35-234,1988,1.7,65,87,74.7,943,269,43,48,89.6,11,13,84.6,6,16,37.5,0,0.6,0.7,-0.6,4,4,4,2,4,https://fbref.com/en/players/2475dcc6/matchlogs/2024/passing/Dusan-Tadic-Match-Logs,,,,
425,Jonathan Tah,https://fbref.com/en/players/bd142efb/Jonathan-Tah,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,28-151,1996,3.5,266,282,94.3,4312,1437,121,124,97.6,138,146,94.5,5,9,55.6,0,0.1,0.1,-0.1,2,23,0,0,15,https://fbref.com/en/players/bd142efb/matchlogs/2024/passing/Jonathan-Tah-Match-Logs,,,,
426,Maksym Talovierov,https://fbref.com/en/players/6a54638e/Maksym-Talovierov,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,24-013,2000,1,1,6,1,0,0,1,0,0,0,,,,,,0,0,0.0,0.0,0.0,0,0.0,0,0,https://fbref.com/en/players/6a54638e/matchlogs/2024/passing/Maksym-Talovierov-Match-Logs,100.0,100.0,,0
427,Aurélien Tchouaméni,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,24-166,2000,5.2,355,381,93.2,6679,2154,159,166,95.8,150,157,95.5,44,51,86.3,0,0.2,0.3,-0.2,6,70,56,3,3,https://fbref.com/en/players/4f255115/matchlogs/2024/passing/Aurelien-Tchouameni-Match-Logs,,,,
428,Arthur Theate,https://fbref.com/en/players/df8d6029/Arthur-Theate,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,24-047,2000,2.8,169,197,85.8,2910,925,71,76,93.4,85,94,90.4,11,23,47.8,0,0.1,2,17,9,0,0.0,0.0,0,https://fbref.com/en/players/df8d6029/matchlogs/2024/passing/Arthur-Theate-Match-Logs,,,,
429,Marcus Thuram,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,26-340,1997,2.9,45,53,84.9,514,97,33,39,84.6,10,10,100.0,,0.1,0.4,0,-0.1,1,3,3,6,0,0,,https://fbref.com/en/players/6f8cd6d0/matchlogs/2024/passing/Marcus-Thuram-Match-Logs,,,,0
430,Youri Tielemans,https://fbref.com/en/players/56f7a928/Youri-Tielemans,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,27-065,1997,1.6,96,112,1829,540,43,43,50,14,41,0.1,1,11,10,1,0,15,,,,,0.0,0.0,0,https://fbref.com/en/players/56f7a928/matchlogs/2024/passing/Youri-Tielemans-Match-Logs,85.7,100.0,82.0,78.6
431,Kieran Tierney,https://fbref.com/en/players/fce2302c/Kieran-Tierney,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-036,1997,1.5,69,92,1267,500,29,28,36,18,31,3,3,8,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/fce2302c/matchlogs/2024/passing/Kieran-Tierney-Match-Logs,75.0,96.6,86.1,44.4
432,Ivan Toney,https://fbref.com/en/players/e09f279b/Ivan-Toney,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,28-117,1996,0.5,8,15,105,21,10,5,4,0.2,3,0.1,+0.8,1,1,,0,,,,0,0,0,0,0,https://fbref.com/en/players/e09f279b/matchlogs/2024/passing/Ivan-Toney-Match-Logs,53.3,50.0,75.0,
433,Ferrán Torres,https://fbref.com/en/players/9e1035f8/Ferran-Torres,"FW,MF",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,24-133,2000,1.7,34,46,73.9,559,86,22,23,95.7,6,10,60.0,5,9,55.6,0,0.1,0.8,-0.1,1,3,0,2,1,https://fbref.com/en/players/9e1035f8/matchlogs/2024/passing/Ferran-Torres-Match-Logs,,,,
434,Cenk Tosun,https://fbref.com/en/players/9a104dee/Cenk-Tosun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,33-034,1991,0.3,2,4,17,2,1,1,0,0,0,,,0.0,,,0,0,0,0,0.0,0.0,0,0,0.0,https://fbref.com/en/players/9a104dee/matchlogs/2024/passing/Cenk-Tosun-Match-Logs,50.0,50.0,,0
435,Gernot Trauner,https://fbref.com/en/players/9d21da85/Gernot-Trauner,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,32-108,1992,1.0,74,78,1281,451,34,33,34,6,34,10,8,5,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/9d21da85/matchlogs/2024/passing/Gernot-Trauner-Match-Logs,94.9,97.1,100.0,83.3
436,Kieran Trippier,https://fbref.com/en/players/21512407/Kieran-Trippier,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,33-296,1990,5.0,313,357,87.7,4856,1439,156,166,94.0,124,136,91.2,20,34,58.8,0,0.8,0.5,-0.8,9,22,29,3,8,https://fbref.com/en/players/21512407/matchlogs/2024/passing/Kieran-Trippier-Match-Logs,,,,
437,Leandro Trossard,https://fbref.com/en/players/38ceb24a/Leandro-Trossard,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,29-220,1994,1.9,55,70,78.6,926,181,29,34,85.3,19,22,86.4,5,6,83.3,0,0.1,0.5,-0.1,3,6,5,1,2,https://fbref.com/en/players/38ceb24a/matchlogs/2024/passing/Leandro-Trossard-Match-Logs,,,,
438,Anatolii Trubin,https://fbref.com/en/players/41f0b196/Anatolii-Trubin,GK,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-345,2001,2.0,55,70,78.6,1334,986,6,6,100.0,38,38,100.0,11,25,44.0,0,0,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/41f0b196/matchlogs/2024/passing/Anatolii-Trubin-Match-Logs,,,,
439,Heorhii Tsitaishvili,https://fbref.com/en/players/69986380/Heorhii-Tsitaishvili,"DF,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-236,2000,2.1,47,68,69.1,693,117,22,28,78.6,18,24,75.0,2,10,20.0,0,0.1,0.1,-0.1,1,1,0,0,3,https://fbref.com/en/players/69986380/matchlogs/2024/passing/Heorhii-Tsitaishvili-Match-Logs,,,,
440,Viktor Tsyhankov,https://fbref.com/en/players/f7e87032/Viktor-Tsyhankov,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,26-239,1997,0.7,25,32,341,43,16,15,12,3,9,1,1,1,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/f7e87032/matchlogs/2024/passing/Viktor-Tsyhankov-Match-Logs,78.1,93.8,75.0,33.3
441,Ľubomír Tupta,https://fbref.com/en/players/b02af64f/Lubomir-Tupta,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-106,1998,0.1,4,4,38,3,1,3,0,0,1,,,,,,0,0,0,0,0.0,0.0,0,0,0.0,https://fbref.com/en/players/b02af64f/matchlogs/2024/passing/Lubomir-Tupta-Match-Logs,100.0,100.0,100.0,0
442,Oleksandr Tymchyk,https://fbref.com/en/players/3b996663/Oleksandr-Tymchyk,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-173,1997,2.2,66,83,79.5,1179,302,30,33,90.9,30,37,81.1,5,9,55.6,0,0.1,1,4,1,1,0.0,0.0,7,https://fbref.com/en/players/3b996663/matchlogs/2024/passing/Oleksandr-Tymchyk-Match-Logs,,,,
443,Deniz Undav,https://fbref.com/en/players/dd549382/Deniz-Undav,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-358,1996,0.1,1,2,16,1,1,1,0,0,0,,,0.0,,,0,0,0,0,0.0,0.0,0,0,0.0,https://fbref.com/en/players/dd549382/matchlogs/2024/passing/Deniz-Undav-Match-Logs,50.0,100.0,,0
444,Dayot Upamecano,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-258,1998,6.3,339,371,91.4,6523,2010,113,119,95.0,188,196,95.9,34,48,70.8,0,0.1,0.1,-0.1,3,28,0,0,28,https://fbref.com/en/players/d248cd8f/matchlogs/2024/passing/Dayot-Upamecano-Match-Logs,,,,
445,Kacper Urbanski,https://fbref.com/en/players/2d9d9e42/Kacper-Urbanski,"FW,MF",pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,19-308,2004,1.6,41,49,528,114,30,28,12,2,8,0.1,0.2,2,-0.1,2,0,6,1,3,,,0,,,https://fbref.com/en/players/2d9d9e42/matchlogs/2024/passing/Kacper-Urbanski-Match-Logs,83.7,93.3,66.7,100.0
446,Virgil van Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,33-003,1991,6.0,356,394,90.4,6467,2661,154,162,95.1,162,175,92.6,37,52,71.2,0,0.1,0.1,-0.1,3,19,0,20,2,https://fbref.com/en/players/e06683ca/matchlogs/2024/passing/Virgil-van-Dijk-Match-Logs,,,,
447,Vladyslav Vanat,https://fbref.com/en/players/7287ea6b/Vladyslav-Vanat,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-189,2002,0.2,1,2,11,2,0,1,0,0,0,,,,,,0,0,0,0.0,0.0,0.0,0,0,0,https://fbref.com/en/players/7287ea6b/matchlogs/2024/passing/Vladyslav-Vanat-Match-Logs,50.0,50.0,,0
448,Barnabás Varga,https://fbref.com/en/players/078a52fe/Barnabas-Varga,FW,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,30-168,1994,2.8,27,54,50.0,371,119,19,36,52.8,5,10,50.0,2,3,66.7,0,0.1,-0.1,1,4,1,0.0,0,7,https://fbref.com/en/players/078a52fe/matchlogs/2024/passing/Barnabas-Varga-Match-Logs,,,,
449,Ruben Vargas,https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,25-341,1998,3.4,88,118,74.6,1309,309,51,57,89.5,30,39,76.9,4,12,33.3,1,1.1,0.6,-0.1,7,5,0,12,4,https://fbref.com/en/players/6ecbddf6/matchlogs/2024/passing/Ruben-Vargas-Match-Logs,,,,
450,Denis Vavro,https://fbref.com/en/players/08990838/Denis-Vavro,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-092,1996,4.3,213,264,80.7,4366,1412,70,78,89.7,116,128,90.6,26,53,49.1,0,0.1,11,1,15,0,0.0,0.0,0,https://fbref.com/en/players/08990838/matchlogs/2024/passing/Denis-Vavro-Match-Logs,,,,
451,Joey Veerman,https://fbref.com/en/players/18fae4ac/Joey-Veerman,MF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-235,1998,2.3,131,167,78.4,2327,676,53,63,84.1,62,67,92.5,14,30,46.7,0,0.3,0.4,-0.3,6,17,17,1,3,https://fbref.com/en/players/18fae4ac/matchlogs/2024/passing/Joey-Veerman-Match-Logs,,,,
452,Miloš Veljković,https://fbref.com/en/players/a5ae8f8e/Milos-Veljkovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,28-289,1995,3.0,206,226,91.2,3799,1169,83,85,97.6,103,113,91.2,18,26,69.2,0,0.1,23,2,27,0,0.0,0.0,0,https://fbref.com/en/players/a5ae8f8e/matchlogs/2024/passing/Milos-Veljkovic-Match-Logs,,,,
453,Micky van de Ven,https://fbref.com/en/players/8fe2a392/Micky-van-de-Ven,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-083,2001,0.8,33,43,541,158,19,17,20,1,14,5,2,1,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/8fe2a392/matchlogs/2024/passing/Micky-van-de-Ven-Match-Logs,76.7,89.5,70.0,100.0
454,Benjamin Verbič,https://fbref.com/en/players/2ebc1b44/Benjamin-Verbic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,30-227,1993,0.8,6,14,96,28,8,3,4,1,3,0.1,0.1,0.0,-0.1,1,0,1,1,1,,,0,,,https://fbref.com/en/players/2ebc1b44/matchlogs/2024/passing/Benjamin-Verbic-Match-Logs,42.9,37.5,75.0,0
455,Bart Verbruggen,https://fbref.com/en/players/cf134113/Bart-Verbruggen,GK,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,21-328,2002,6.0,177,209,84.7,4194,2949,51,51,100.0,85,85,100.0,41,73,56.2,0,4,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/cf134113/matchlogs/2024/passing/Bart-Verbruggen-Match-Logs,,,,
456,Jan Vertonghen,https://fbref.com/en/players/ba23a904/Jan-Vertonghen,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,37-078,1987,3.0,196,209,93.8,3823,1341,64,66,97.0,112,116,96.6,19,25,76.0,0,4,3,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/ba23a904/matchlogs/2024/passing/Jan-Vertonghen-Match-Logs,,,,
457,Jannik Vestergaard,https://fbref.com/en/players/1900032e/Jannik-Vestergaard,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,31-343,1992,4.0,250,268,93.3,3838,1512,136,137,99.3,102,109,93.6,9,17,52.9,0,14,15,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/1900032e/matchlogs/2024/passing/Jannik-Vestergaard-Match-Logs,,,,
458,Žan Vipotnik,https://fbref.com/en/players/15aa23ee/Zan-Vipotnik,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,22-115,2002,0.2,0,2,1,1,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0,0,0,https://fbref.com/en/players/15aa23ee/matchlogs/2024/passing/Zan-Vipotnik-Match-Logs,,,,0
459,Vitinha,https://fbref.com/en/players/3b029691/Vitinha,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-149,2000,4.0,294,323,91.0,4987,1098,142,147,96.6,133,139,95.7,17,29,58.6,0,0.1,0.3,-0.1,3,32,28,1,3,https://fbref.com/en/players/3b029691/matchlogs/2024/passing/Vitinha-Match-Logs,,,,
460,Daniel Vivian,https://fbref.com/en/players/ab7bf91d/Daniel-Vivian,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,24-362,1999,1.4,101,109,1955,728,32,32,63,13,60,11,10,9,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/ab7bf91d/matchlogs/2024/passing/Daniel-Vivian-Match-Logs,92.7,100.0,95.2,69.2
461,Dušan Vlahović,https://fbref.com/en/players/79443529/Dusan-Vlahovic,"MF,FW",rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,24-165,2000,2.0,15,27,55.6,257,37,8,14,57.1,4,6,66.7,3,4,75.0,0,2,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/79443529/matchlogs/2024/passing/Dusan-Vlahovic-Match-Logs,,,,
462,Stefan de Vrij,https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,32-157,1992,6.0,381,416,91.6,6948,2287,129,138,93.5,224,239,93.7,24,33,72.7,0,0.2,35,2,26,0,0.0,0.0,0,https://fbref.com/en/players/d0d8dd44/matchlogs/2024/passing/Stefan-de-Vrij-Match-Logs,,,,
463,Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,34-044,1990,6.7,454,512,88.7,7818,2192,204,216,94.4,202,226,89.4,41,50,82.0,0,0.1,0.2,-0.1,1,45,0,0,45,https://fbref.com/en/players/86dd77d1/matchlogs/2024/passing/Kyle-Walker-Match-Logs,,,,
464,Ollie Watkins,https://fbref.com/en/players/aed3a70f/Ollie-Watkins,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,28-194,1995,0.4,2,3,21,3,0,2,0,0,0,,,,,,0,0,0,0.0,0.0,0.0,0,0,0,https://fbref.com/en/players/aed3a70f/matchlogs/2024/passing/Ollie-Watkins-Match-Logs,66.7,66.7,,0
465,Wout Weghorst,https://fbref.com/en/players/c4e87b8b/Wout-Weghorst,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,31-339,1992,1.5,22,31,226,52,18,17,7,1,2,0.3,0.2,1,+0.7,2,1,,,,,0,0,0,0,https://fbref.com/en/players/c4e87b8b/matchlogs/2024/passing/Wout-Weghorst-Match-Logs,71.0,94.4,28.6,100.0
466,Andreas Weimann,https://fbref.com/en/players/5996ffd9/Andreas-Weimann,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,32-341,1991,1,0,1,0,0,0,0,0,0,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0,0.0,0,0,https://fbref.com/en/players/5996ffd9/matchlogs/2024/passing/Andreas-Weimann-Match-Logs,,,,0
467,Silvan Widmer,https://fbref.com/en/players/f68b64fc/Silvan-Widmer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,31-128,1993,3.3,96,127,75.6,1441,345,54,61,88.5,37,48,77.1,3,12,25.0,0,0.1,1,2,3,0,0.0,0.0,0,https://fbref.com/en/players/f68b64fc/matchlogs/2024/passing/Silvan-Widmer-Match-Logs,,,,
468,Georginio Wijnaldum,https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum,MF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,33-243,1990,0.8,10,16,148,32,6,5,6,1,5,2,,,,,0,,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/eb58eef0/matchlogs/2024/passing/Georginio-Wijnaldum-Match-Logs,62.5,83.3,83.3,0
469,Nico Williams,https://fbref.com/en/players/afdc14d7/Nico-Williams,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,21-365,2002,4.5,139,168,82.7,1945,503,94,101,93.1,30,39,76.9,11,22,50.0,1,1.0,1.8,10,3,12,0.0,15,4,https://fbref.com/en/players/afdc14d7/matchlogs/2024/passing/Nico-Williams-Match-Logs,,,,
470,Patrick Wimmer,https://fbref.com/en/players/cb11b429/Patrick-Wimmer,"FW,MF",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,23-042,2001,1.5,32,48,512,180,20,16,12,9,9,0.1,0.1,4,-0.1,1,0,6,1,4,,,0,,,https://fbref.com/en/players/cb11b429/matchlogs/2024/passing/Patrick-Wimmer-Match-Logs,66.7,80.0,75.0,44.4
471,Jonas Wind,https://fbref.com/en/players/2077ae86/Jonas-Wind,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-155,1999,2.1,62,77,80.5,706,91,46,56,82.1,11,12,91.7,1,3,33.3,1,0.8,0.3,+0.2,5,2,2,1,1,https://fbref.com/en/players/2077ae86/matchlogs/2024/passing/Jonas-Wind-Match-Logs,,,,
472,Florian Wirtz,https://fbref.com/en/players/e7fcf289/Florian-Wirtz,"FW,MF",de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-069,2003,3.1,168,190,88.4,2156,466,111,120,92.5,46,54,85.2,3,5,60.0,0,0.8,0.8,-0.8,7,8,0,20,3,https://fbref.com/en/players/e7fcf289/matchlogs/2024/passing/Florian-Wirtz-Match-Logs,,,,
473,Maximilian Wöber,https://fbref.com/en/players/4b803b3c/Maximilian-Wober,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,26-158,1998,1.9,101,118,85.6,1797,582,38,41,92.7,60,67,89.6,3,6,50.0,0,0.1,0.2,-0.1,2,8,7,2,2,https://fbref.com/en/players/4b803b3c/matchlogs/2024/passing/Maximilian-Wober-Match-Logs,,,,
474,Granit Xhaka,https://fbref.com/en/players/e61b8aee/Granit-Xhaka,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,31-288,1992,5.3,369,407,90.7,6085,1674,181,194,93.3,165,172,95.9,19,31,61.3,0,0.4,0.5,-0.4,8,56,0,36,4,https://fbref.com/en/players/e61b8aee/matchlogs/2024/passing/Granit-Xhaka-Match-Logs,,,,
475,Lamine Yamal,https://fbref.com/en/players/82ec26c1/Lamine-Yamal,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,16-364,2007,4.6,134,168,79.8,1874,512,88,97,90.7,33,42,78.6,7,13,53.8,3,2.5,1.8,+0.5,16,4,18,3,10,https://fbref.com/en/players/82ec26c1/matchlogs/2024/passing/Lamine-Yamal-Match-Logs,,,,
476,Roman Yaremchuk,https://fbref.com/en/players/cb641b9d/Roman-Yaremchuk,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,28-227,1995,1.3,23,30,272,44,18,16,5,2,5,0.1,0.1,0.0,-0.1,2,0,2,3,,,,0,0,,https://fbref.com/en/players/cb641b9d/matchlogs/2024/passing/Roman-Yaremchuk-Match-Logs,76.7,88.9,100.0,0
