right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,left href 3,right 26,right 27,right 28,right 29
360,Bukayo Saka,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka,"FW,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,22-310,2001,6.0,201,242,83.1,2860,626,122,130,93.8,64,75,85.3,10,20,50.0,0,0.3,0.6,-0.3,6,10,22,4,12,https://fbref.com/en/players/bc7dc64d/matchlogs/2024/passing/Bukayo-Saka-Match-Logs,,,,
361,Bartosz Salamon,https://fbref.com/en/players/9b30df1e/Bartosz-Salamon,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,33-071,1991,0.9,28,33,430,106,15,14,14,3,13,,,0.0,,,0,0,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/9b30df1e/matchlogs/2024/passing/Bartosz-Salamon-Match-Logs,84.8,93.3,92.9,0
362,William Saliba,https://fbref.com/en/players/972aeb2a/William-Saliba,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,23-109,2001,6.3,346,360,96.1,5962,2052,147,154,95.5,170,174,97.7,24,27,88.9,0,0.1,1,10,15,0,0.0,0.0,0,https://fbref.com/en/players/972aeb2a/matchlogs/2024/passing/William-Saliba-Match-Logs,,,,
363,Roland Sallai,https://fbref.com/en/players/bf075f6b/Roland-Sallai,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,27-050,1997,3.0,61,79,77.2,901,259,32,36,88.9,19,28,67.9,5,7,71.4,1,1.0,0.5,4,5,3,0.0,5,2,https://fbref.com/en/players/bf075f6b/matchlogs/2024/passing/Roland-Sallai-Match-Logs,,,,
364,Lazar Samardzic,https://fbref.com/en/players/217c93a1/Lazar-Samardzic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,22-138,2002,0.6,16,21,320,52,10,10,5,6,2,1,1,4,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/217c93a1/matchlogs/2024/passing/Lazar-Samardzic-Match-Logs,76.2,100.0,40.0,66.7
365,Leroy Sané,https://fbref.com/en/players/2b114be3/Leroy-Sane,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,28-182,1996,2.3,57,68,83.8,674,80,41,47,87.2,11,12,91.7,1,1,100.0,0,0.1,0.2,-0.1,2,5,0,0,7,https://fbref.com/en/players/2b114be3/matchlogs/2024/passing/Leroy-Sane-Match-Logs,,,,
366,Leo Sauer,https://fbref.com/en/players/4c53a688/Leo-Sauer,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,18-208,2005,0.1,0,1,1,0,0,0,0,0,0,0.0,,0.0,,,0,0,0.0,0.0,0.0,0,0,0,0,https://fbref.com/en/players/4c53a688/matchlogs/2024/passing/Leo-Sauer-Match-Logs,,,,0
367,Gianluca Scamacca,https://fbref.com/en/players/8790f988/Gianluca-Scamacca,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-192,1999,2.8,32,51,62.7,449,60,21,27,77.8,8,19,42.1,2,2,100.0,0,0.2,0.1,-0.2,3,1,0,0,3,https://fbref.com/en/players/8790f988/matchlogs/2024/passing/Gianluca-Scamacca-Match-Logs,,,,
368,András Schäfer,https://fbref.com/en/players/049751d7/Andras-Schafer,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,25-089,1999,3.0,117,135,86.7,1732,486,64,70,91.4,47,55,85.5,3,6,50.0,0,7,1,14,0,0,0.0,0.0,0.0,https://fbref.com/en/players/049751d7/matchlogs/2024/passing/Andras-Schafer-Match-Logs,,,,
369,Fabian Schär,https://fbref.com/en/players/c8aa95da/Fabian-Schar,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-204,1991,5.3,211,255,82.7,4460,1828,92,97,94.8,82,91,90.1,37,60,61.7,0,0.1,0.1,-0.1,3,20,12,2,4,https://fbref.com/en/players/c8aa95da/matchlogs/2024/passing/Fabian-Schar-Match-Logs,,,,
