right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
69,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,32-182,1992,4.2,0.5,2,2,100.0,0.47,0.47,0,0,0.50,0,,+0.5,1,0.50,7.4,+0.5,,https://fbref.com/en/players/4958bfb2/matchlogs/2024/summary/Dani-Carvajal-Match-Logs,0.5,0.26,
70,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,28-219,1995,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/197640fd/matchlogs/2024/summary/Timothy-Castagne-Match-Logs,0,,
71,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/db401046/matchlogs/2024/summary/Koen-Casteels-Match-Logs,0,,
72,Žan Celar,https://fbref.com/en/players/868c6958/Zan-Celar,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-119,1999,0.7,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/868c6958/matchlogs/2024/summary/Zan-Celar-Match-Logs,0.0,1.34,28.4
73,Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-145,1997,1.2,0,1,0.2,,0.00,0.00,0,0,,0,0,,0.2,0.0,,-0.2,-0.2,https://fbref.com/en/players/31a62dc7/matchlogs/2024/summary/Zeki-Celik-Match-Logs,,0.86,11.2
74,Václav Černý,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-268,1997,0.6,0,2,1,50.0,14.0,0.5,0.00,0.00,0.24,0,0,0,0.5,,,-0.5,-0.5,https://fbref.com/en/players/bb1cf301/matchlogs/2024/summary/Vaclav-Cerny-Match-Logs,,3.33,1.67
75,Giorgi Chakvetadze,https://fbref.com/en/players/76864df8/Giorgi-Chakvetadze,"MF,FW",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,24-317,1999,2.7,0,2,0.74,20.0,0.1,0.03,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/76864df8/matchlogs/2024/summary/Giorgi-Chakvetadze-Match-Logs,0,,
76,Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-260,1997,2.9,0,8,2.74,19.6,0.2,0.02,0,0.0,,0.00,0.00,0,0.2,,0,-0.2,-0.2,https://fbref.com/en/players/b0f7e36c/matchlogs/2024/summary/Federico-Chiesa-Match-Logs,0,,
77,Tomáš Chorý,https://fbref.com/en/players/163bbd4a/Tomas-Chory,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-167,1995,0.4,0,1,0.4,,0.00,0.00,0,0,,0,0,,0.4,0.0,,-0.4,-0.4,https://fbref.com/en/players/163bbd4a/matchlogs/2024/summary/Tomas-Chory-Match-Logs,,2.50,4.9
78,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-092,1996,3.9,0,4,1.03,17.6,0.5,0.11,0,0.0,,0.00,0.00,0,0.5,,0,-0.5,-0.5,https://fbref.com/en/players/1cb49278/matchlogs/2024/summary/Andreas-Christensen-Match-Logs,0,,
79,Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-140,1995,1.1,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/26ce2263/matchlogs/2024/summary/Ryan-Christie-Match-Logs,0.0,,
80,Mojmir Chytil,https://fbref.com/en/players/01a08323/Mojmir-Chytil,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-073,1999,1.2,0,2,11.1,0.2,0.09,,0,0.0,,0.00,0,0,0.2,0.00,0,-0.2,-0.2,https://fbref.com/en/players/01a08323/matchlogs/2024/summary/Mojmir-Chytil-Match-Logs,,1.68,
81,Alexandru Cicâldău,https://fbref.com/en/players/cdafb19d/Alexandru-Cicaldau,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,27-003,1997,0.2,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/cdafb19d/matchlogs/2024/summary/Alexandru-Cicaldau-Match-Logs,0.0,,
82,Florinel Coman,https://fbref.com/en/players/a9440c25/Florinel-Coman,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-092,1998,1.3,0,2,1,50.0,24.2,0.1,0.00,0.00,0.04,0,0,0,0.1,,,-0.1,-0.1,https://fbref.com/en/players/a9440c25/matchlogs/2024/summary/Florinel-Coman-Match-Logs,,1.53,0.76
83,Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,28-028,1996,0.2,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/042e8a49/matchlogs/2024/summary/Kingsley-Coman-Match-Logs,0.0,,
84,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,21-210,2002,2.0,0.9,5,1,20.0,2.47,0.49,0,0,0.20,0,,+0.1,1,1.00,14.5,+0.1,,https://fbref.com/en/players/5ef3d210/matchlogs/2024/summary/Francisco-Conceicao-Match-Logs,0.9,0.18,
85,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,GK,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5.7,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/93fffbcf/matchlogs/2024/summary/Diogo-Costa-Match-Logs,0,,
86,Vladimír Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,"DF,FW",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-324,1992,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/fdf3cb77/matchlogs/2024/summary/Vladimir-Coufal-Match-Logs,0,,
87,Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-130,1995,1.5,0,2,1,50.0,18.7,0.1,0.00,0.00,0.04,0,0,0,0.1,,,-0.1,-0.1,https://fbref.com/en/players/16657b95/matchlogs/2024/summary/Bryan-Cristante-Match-Logs,,1.35,0.68
88,Kevin Csoboth,https://fbref.com/en/players/cf6fc95d/Kevin-Csoboth,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-021,2000,0.1,0.6,2,1,50.0,0.50,1.00,0,0,11.9,0,,+0.4,1,0.6,0.31,+0.4,,https://fbref.com/en/players/cf6fc95d/matchlogs/2024/summary/Kevin-Csoboth-Match-Logs,,20.00,10.00
89,Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,25-355,1998,5.1,0,1,1,0.20,0.20,,0.00,0,,0,0,0.0,0.0,0.00,0.0,,,https://fbref.com/en/players/1daec722/matchlogs/2024/summary/Marc-Cucurella-Match-Logs,0.0,100.0,24.4
90,Mirlind Daku,https://fbref.com/en/players/a04adf33/Mirlind-Daku,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,26-192,1998,0.1,0,1,0.1,,0.00,0.00,0,0,,0,0,,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/a04adf33/matchlogs/2024/summary/Mirlind-Daku-Match-Logs,,15.00,10.9
91,Diogo Dalot,https://fbref.com/en/players/d9565625/Diogo-Dalot,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-115,1999,1.7,0,3,1,33.3,1.78,0.59,0.00,0.00,21.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,https://fbref.com/en/players/d9565625/matchlogs/2024/summary/Diogo-Dalot-Match-Logs,,,
92,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-008,2000,0.4,0,1,1,,,0.01,0.00,0,,0,0,0.0,0.0,0.00,0.0,,,https://fbref.com/en/players/215f3907/matchlogs/2024/summary/Mikkel-Damsgaard-Match-Logs,0.0,100.0,2.65
93,Kevin Danso,https://fbref.com/en/players/6e33125f/Kevin-Danso,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,25-296,1998,2.4,0,1,0.42,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/6e33125f/matchlogs/2024/summary/Kevin-Danso-Match-Logs,0.0,10.9,0.04
94,Márton Dárdai,https://fbref.com/en/players/41bff4fa/Marton-Dardai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-150,2002,1.9,0,1,0.51,0.1,0.00,,0,0.00,,0,0,0,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/41bff4fa/matchlogs/2024/summary/Marton-Dardai-Match-Logs,,9.6,0.07
95,Matteo Darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,34-222,1989,1.8,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/96e0490d/matchlogs/2024/summary/Matteo-Darmian-Match-Logs,0,,
96,Zuriko Davitashvili,https://fbref.com/en/players/88b4d2e3/Zuriko-Davitashvili,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-147,2001,1.3,0,2,12.6,0.1,0.04,,0,0.0,,0.00,0,0,0.1,0.00,0,-0.1,-0.1,https://fbref.com/en/players/88b4d2e3/matchlogs/2024/summary/Zuriko-Davitashvili-Match-Logs,,1.57,
97,Paweł Dawidowicz,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-052,1995,2.0,0,1,0.50,0.1,0.00,,0,0.00,,0,0,0,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/16bb656a/matchlogs/2024/summary/Pawel-Dawidowicz-Match-Logs,,9.1,0.10
98,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,33-013,1991,4.0,0.9,11,5,45.5,2.75,1.25,0,0,0.09,,0.08,+0.1,1,0.20,20.4,+0.1,,https://fbref.com/en/players/e46012d4/matchlogs/2024/summary/Kevin-De-Bruyne-Match-Logs,1,0.9,
99,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,23-123,2001,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/2ef7c612/matchlogs/2024/summary/Charles-De-Ketelaere-Match-Logs,0.0,,
100,Zeno Debast,https://fbref.com/en/players/064461b7/Zeno-Debast,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,20-261,2003,1.2,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/064461b7/matchlogs/2024/summary/Zeno-Debast-Match-Logs,0.0,,
101,Thomas Delaney,https://fbref.com/en/players/fe641c1a/Thomas-Delaney,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-312,1991,0.9,0,1,0.1,,0.00,0.00,0,0,,0,0,,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/fe641c1a/matchlogs/2024/summary/Thomas-Delaney-Match-Logs,,1.07,3.8
102,Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,27-057,1997,4.0,0,8,1,12.5,1.99,0.25,0.00,0.00,19.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,https://fbref.com/en/players/b19db005/matchlogs/2024/summary/Ousmane-Dembele-Match-Logs,,,
103,Merih Demiral,https://fbref.com/en/players/e3cceee6/Merih-Demiral,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-128,1998,2.3,0.7,3,2,66.7,1.30,0.87,0,0,0.67,0,,+1.3,2,1.00,4.0,+1.3,,https://fbref.com/en/players/e3cceee6/matchlogs/2024/summary/Merih-Demiral-Match-Logs,0.7,0.24,
104,Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,30-342,1993,4.0,0,2,0.50,5.9,0.2,0.08,0,0.0,,0.00,0.00,0,0.2,,0,-0.2,-0.2,https://fbref.com/en/players/230a2fac/matchlogs/2024/summary/Giovanni-Di-Lorenzo-Match-Logs,0,,
105,Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-058,1997,4.7,0,2,0.43,17.5,0.1,0.05,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/31c69ef1/matchlogs/2024/summary/Ruben-Dias-Match-Logs,0,,
106,Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-244,1997,2.5,0,2,1,50.0,0.79,0.39,0.00,0.00,23.5,0,0,0,0.0,0.02,0.0,0.0,,https://fbref.com/en/players/970b8574/matchlogs/2024/summary/Federico-Dimarco-Match-Logs,0.0,,
107,Berat Djimsiti,https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,31-143,1993,3.0,0,2,0.67,14.9,0.1,0.05,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/6eee05f1/matchlogs/2024/summary/Berat-Djimsiti-Match-Logs,0,,
108,Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,"FW,MF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,22-045,2002,3.6,0,5,1,20.0,1.41,0.28,0.00,0.00,16.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,https://fbref.com/en/players/fffea3e5/matchlogs/2024/summary/Jeremy-Doku-Match-Logs,,,
109,Kasper Dolberg,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-279,1997,0.4,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/cc83b74d/matchlogs/2024/summary/Kasper-Dolberg-Match-Logs,0.0,,
110,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,GK,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/08f5afaa/matchlogs/2024/summary/Gianluigi-Donnarumma-Match-Logs,0,,
111,David Doudera,https://fbref.com/en/players/e95b4604/David-Doudera,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-041,1998,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/e95b4604/matchlogs/2024/summary/David-Doudera-Match-Logs,0.0,,
112,Artem Dovbyk,https://fbref.com/en/players/5b847bb0/Artem-Dovbyk,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-020,1997,2.7,0,6,2.20,14.9,0.6,0.11,0,0.0,,0.00,0.00,0,0.6,,0,-0.6,-0.6,https://fbref.com/en/players/5b847bb0/matchlogs/2024/summary/Artem-Dovbyk-Match-Logs,0,,
113,Denis Drăguș,https://fbref.com/en/players/0e490f6e/Denis-Dragus,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-005,1999,3.2,1.1,5,2,40.0,1.55,0.62,0,0,0.20,0,,,1,0.50,15.6,-0.1,-0.1,https://fbref.com/en/players/0e490f6e/matchlogs/2024/summary/Denis-Dragus-Match-Logs,1.1,0.21,
114,Radu Drăgușin,https://fbref.com/en/players/620922ed/Radu-Dragusin,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,22-159,2002,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,17.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,https://fbref.com/en/players/620922ed/matchlogs/2024/summary/Radu-Dragusin-Match-Logs,,,
115,Vanja Drkušič,https://fbref.com/en/players/e2e816b9/Vanja-Drkusic,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-255,1999,4.3,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/e2e816b9/matchlogs/2024/summary/Vanja-Drkusic-Match-Logs,0,,
116,Kwadwo Duah,https://fbref.com/en/players/66089708/Kwadwo-Duah,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-138,1997,1.2,0.7,4,3,75.0,0.25,0.33,0,0,16.0,0,,+0.3,1,0.7,0.18,+0.3,,https://fbref.com/en/players/66089708/matchlogs/2024/summary/Kwadwo-Duah-Match-Logs,,3.36,2.52
117,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,GK,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4.3,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/3a949a25/matchlogs/2024/summary/Martin-Dubravka-Match-Logs,0,,
118,Ondrej Duda,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-219,1994,3.5,0.3,2,1,50.0,0.57,0.28,0,0,0.50,0,,+0.7,1,1.00,15.6,+0.7,,https://fbref.com/en/players/79ca3e23/matchlogs/2024/summary/Ondrej-Duda-Match-Logs,0.3,0.13,
119,Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,28-084,1996,5.0,0,4,0.80,10.8,0.3,0.07,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/481c9ece/matchlogs/2024/summary/Denzel-Dumfries-Match-Logs,0,,
120,Dávid Ďuriš,https://fbref.com/en/players/5e0a43de/David-Duris,"FW,MF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,25-111,1999,0.3,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/5e0a43de/matchlogs/2024/summary/David-Duris-Match-Logs,0.0,,
121,Lasha Dvali,https://fbref.com/en/players/303636d2/Lasha-Dvali,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-058,1995,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/303636d2/matchlogs/2024/summary/Lasha-Dvali-Match-Logs,0,,
122,Timi Elšnik,https://fbref.com/en/players/66f040ff/Timi-Elsnik,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,26-073,1998,4.0,0,3,0.75,19.2,0.3,0.10,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/66f040ff/matchlogs/2024/summary/Timi-Elsnik-Match-Logs,0,,
123,Breel Embolo,https://fbref.com/en/players/0b4f388a/Breel-Embolo,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-148,1997,3.3,2.1,8,4,50.0,2.43,1.22,0,0,0.25,0,,,2,0.50,13.6,-0.1,-0.1,https://fbref.com/en/players/0b4f388a/matchlogs/2024/summary/Breel-Embolo-Match-Logs,2.1,0.27,
124,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-148,1992,3.9,1.3,12,2,16.7,3.10,0.52,0,0,0.08,,0.11,,1,0.50,19.1,-0.3,-0.3,https://fbref.com/en/players/980522ec/matchlogs/2024/summary/Christian-Eriksen-Match-Logs,1,1.3,
125,Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,"DF,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-012,1998,1.1,0,2,21.2,0.1,0.04,,0,0.0,,0.00,0,0,0.1,0.00,0,-0.1,-0.1,https://fbref.com/en/players/ae4fc6a4/matchlogs/2024/summary/Eberechi-Eze-Match-Logs,,1.76,
126,Wout Faes,https://fbref.com/en/players/9c221d14/Wout-Faes,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-099,1998,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/9c221d14/matchlogs/2024/summary/Wout-Faes-Match-Logs,0,,
127,Nicolò Fagioli,https://fbref.com/en/players/366be751/Nicolo-Fagioli,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,23-150,2001,1.1,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/366be751/matchlogs/2024/summary/Nicolo-Fagioli-Match-Logs,0.0,0.95,28.7
128,João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix,"MF,FW",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-244,1999,1.2,0,4,1,25.0,20.0,0.1,0.00,0.00,0.04,0,0,0,0.1,,,-0.1,-0.1,https://fbref.com/en/players/8aafd64f/matchlogs/2024/summary/Joao-Felix-Match-Logs,,3.43,0.86
129,Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-307,1994,4.2,1.2,10,2,20.0,2.41,0.48,0,0,0.10,,0.12,,1,0.50,22.7,-0.2,-0.2,https://fbref.com/en/players/507c7bdf/matchlogs/2024/summary/Bruno-Fernandes-Match-Logs,1,1.2,
130,Attila Fiola,https://fbref.com/en/players/bb17ccd0/Attila-Fiola,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-145,1990,2.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/bb17ccd0/matchlogs/2024/summary/Attila-Fiola-Match-Logs,0,,
131,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,"FW,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-044,2000,5.9,0,12,3,25.0,2.04,0.51,0.00,0.00,24.2,0,0,,0.5,2,0.5,-0.5,-0.5,https://fbref.com/en/players/ed1e53f3/matchlogs/2024/summary/Phil-Foden-Match-Logs,0.04,,
132,Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-183,1999,0.5,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/822d51d7/matchlogs/2024/summary/Youssouf-Fofana-Match-Logs,0.0,2.20,26.2
133,Michael Folorunsho,https://fbref.com/en/players/c391a179/Michael-Folorunsho,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-155,1998,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/c391a179/matchlogs/2024/summary/Michael-Folorunsho-Match-Logs,0.0,,
134,Przemysław Frankowski,https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-090,1995,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/00a8d210/matchlogs/2024/summary/Przemyslaw-Frankowski-Match-Logs,0,,
135,Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-263,1999,2.1,0,2,1,50.0,0.97,0.49,0.00,0.00,11.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3,https://fbref.com/en/players/2a7d27c1/matchlogs/2024/summary/Davide-Frattesi-Match-Logs,,,
136,Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-087,1992,5.1,0.3,3,1,33.3,0.59,0.20,0,0,0.33,0,,+0.7,1,1.00,20.8,+0.7,,https://fbref.com/en/players/98d2c2c4/matchlogs/2024/summary/Remo-Freuler-Match-Logs,0.3,0.09,
137,Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-214,2000,1.0,0,2,1,50.0,15.5,0.1,0.00,0.00,0.03,0,0,0,0.1,,,-0.1,-0.1,https://fbref.com/en/players/74f2e748/matchlogs/2024/summary/Jeremie-Frimpong-Match-Logs,,2.09,1.05
138,Chris Führich,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,26-184,1998,0.2,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/0cf778df/matchlogs/2024/summary/Chris-Fuhrich-Match-Logs,0.0,4.74,13.4
139,Niclas Füllkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,31-153,1993,1.8,1.0,9,3,33.3,4.88,1.63,0,0,0.22,0,,+1.0,2,0.67,11.2,+1.0,,https://fbref.com/en/players/4f16405e/matchlogs/2024/summary/Niclas-Fullkrug-Match-Logs,1.0,0.12,
