right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
16,Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-357,1996,0.4,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/5e66fa06/matchlogs/2024/summary/Waldemar-Anton-Match-Logs,0.0,,
17,Stuart Armstrong,https://fbref.com/en/players/97333cf5/Stuart-Armstrong,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-103,1992,0.2,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/97333cf5/matchlogs/2024/summary/Stuart-Armstrong-Match-Logs,0.0,,
18,Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,35-083,1989,3.1,1.7,3,2,66.7,0.97,0.65,0.00,0.00,19.4,0,,,1,1,1,-0.7,-0.9,https://fbref.com/en/players/00459419/matchlogs/2024/summary/Marko-Arnautovic-Match-Logs,0.9,0.29,
19,Jasir Asani,https://fbref.com/en/players/6354ac8c/Jasir-Asani,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-053,1995,2.3,0,4,1,25.0,1.71,0.43,0.00,0.00,25.7,0,0,0,0.1,0.1,0.01,-0.1,-0.1,https://fbref.com/en/players/6354ac8c/matchlogs/2024/summary/Jasir-Asani-Match-Logs,,,
20,Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-124,2002,3.0,0,8,3,37.5,2.67,1.00,0.00,0.00,23.9,0,0,,0.6,1,0.6,-0.6,-0.6,https://fbref.com/en/players/0fdcef0e/matchlogs/2024/summary/Kristjan-Asllani-Match-Logs,0.07,,
21,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-244,1994,4.0,0,3,0.75,15.6,0.3,0.10,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/2200181e/matchlogs/2024/summary/Kaan-Ayhan-Match-Logs,0,,
22,Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,22-357,2001,0.3,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/518f2234/matchlogs/2024/summary/Alex-Baena-Match-Logs,0.0,,
23,Alexander Bah,https://fbref.com/en/players/78f21137/Alexander-Bah,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-215,1997,3.1,0,2,0.64,14.4,0.4,0.19,0,0.0,,0.00,0.00,0,0.4,,0,-0.4,-0.4,https://fbref.com/en/players/78f21137/matchlogs/2024/summary/Alexander-Bah-Match-Logs,0,,
24,Nedim Bajrami,https://fbref.com/en/players/f42d6c13/Nedim-Bajrami,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-134,1999,2.7,0.1,3,1,33.3,1.10,0.37,0,0,0.33,0,,+0.9,1,1.00,15.5,+0.9,,https://fbref.com/en/players/f42d6c13/matchlogs/2024/summary/Nedim-Bajrami-Match-Logs,0.1,0.05,
25,Johan Bakayoko,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,21-082,2003,0.5,0,3,16.0,0.6,0.22,,0,0.0,,0.00,0,0,0.6,0.00,0,-0.6,-0.6,https://fbref.com/en/players/0caa2fd4/matchlogs/2024/summary/Johan-Bakayoko-Match-Logs,,5.63,
