right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
15,Zeki Amdouni,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,23-220,2000,0,,0,4,57,https://fbref.com/en/players/2ee5b0c9/matchlogs/2024/summary/Zeki-Amdouni-Match-Logs,14,0.6,1,4,1,0,1.4,1,0.9,,,+0.5,,11.9,14,,-0.85,,,+0.58,1.50,+0.85
16,Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-041,1996,0,4.3,0,4,360,https://fbref.com/en/players/e34fc66d/matchlogs/2024/summary/Joachim-Andersen-Match-Logs,90,100.0,4.0,4,90,,0.75,4,2,-2,-0.50,,4,-0.5,-0.12,,4.8,,,,,
17,Robert Andrich,https://fbref.com/en/players/e0b113a7/Robert-Andrich,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,29-293,1994,6.6,2.00,0,5,318,https://fbref.com/en/players/e0b113a7/matchlogs/2024/summary/Robert-Andrich-Match-Logs,64,66.3,3.5,4,61,0,1,75,7,-0.53,-0.06,+4,3,+0.98,+3.1,+1.13,3.5,,,,,
18,Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-357,1996,0,,0,2,33,https://fbref.com/en/players/5e66fa06/matchlogs/2024/summary/Waldemar-Anton-Match-Logs,17,0.4,3,2,1,0,1.0,0.9,,-1,,,,6.9,17,,-2.73,0.0,-4.34,-0.45,1.50,+0.55
19,Alphonse Areola,https://fbref.com/en/players/2f965a72/Alphonse-Areola,GK,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,31-135,1993,0,0,0,0,6,https://fbref.com/en/players/2f965a72/matchlogs/2024/summary/Alphonse-Areola-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
20,Stuart Armstrong,https://fbref.com/en/players/97333cf5/Stuart-Armstrong,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-103,1992,0,,0,1,15,https://fbref.com/en/players/97333cf5/matchlogs/2024/summary/Stuart-Armstrong-Match-Logs,15,0.2,2,1,1,0,0.1,0.8,,-1,-0.7,-2.96,,5.6,15,0.00,-6.00,,-4.59,-3.96,,
21,Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,35-083,1989,5.8,1.50,0,4,279,https://fbref.com/en/players/00459419/matchlogs/2024/summary/Marko-Arnautovic-Match-Logs,70,77.5,3.1,3,82,,1,1,32,+0.38,+0.25,+1,6,+0.8,+0.32,+0.32,5,,5.0,,,
22,Jasir Asani,https://fbref.com/en/players/6354ac8c/Jasir-Asani,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-053,1995,0,1.4,0,3,210,https://fbref.com/en/players/6354ac8c/matchlogs/2024/summary/Jasir-Asani-Match-Logs,70,77.8,2.3,3,70,0,0.33,2,3,-1,-0.43,+1.07,4.3,-2.8,-1.22,-0.64,,,,,,
23,Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-124,2002,0,2.4,0,3,270,https://fbref.com/en/players/0fdcef0e/matchlogs/2024/summary/Kristjan-Asllani-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,,5,-3.2,-1.07,,5.7,,,,,
24,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-244,1994,5.8,1.80,0,5,358,https://fbref.com/en/players/2200181e/matchlogs/2024/summary/Kaan-Ayhan-Match-Logs,72,79.6,4.0,4,78,,1,1,45,-1,-0.25,-0.74,7,-1.23,-1.9,-0.47,8,,7.7,,,
