right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
151,Nico Elvedi,https://fbref.com/en/players/48035304/Nico-Elvedi,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-285,1996,0,0,0,0,5,https://fbref.com/en/players/48035304/matchlogs/2024/summary/Nico-Elvedi-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
152,Breel Embolo,https://fbref.com/en/players/0b4f388a/Breel-Embolo,FW,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-148,1997,3.8,1.80,0,5,296,https://fbref.com/en/players/0b4f388a/matchlogs/2024/summary/Breel-Embolo-Match-Logs,59,61.7,3.3,3,83,0,2,24,5,+0.06,+0.37,+4,1,+1.2,+1.22,+1.22,2.6,,,,,
153,Maximilian Entrup,https://fbref.com/en/players/26319452/Maximilian-Entrup,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,26-352,1997,0,0,0,0,4,https://fbref.com/en/players/26319452/matchlogs/2024/summary/Maximilian-Entrup-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
154,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-148,1992,0,3.8,0,4,348,https://fbref.com/en/players/980522ec/matchlogs/2024/summary/Christian-Eriksen-Match-Logs,87,96.7,3.9,4,87,,0.75,2,2,-2,-0.52,-2.64,4,-0.52,-0.8,-0.21,4.7,,,,,
155,Martin Erlic,https://fbref.com/en/players/0fee6bda/Martin-Erlic,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,26-169,1998,0,0,0,0,3,https://fbref.com/en/players/0fee6bda/matchlogs/2024/summary/Martin-Erlic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
156,Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,"DF,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-012,1998,0,,0,3,102,https://fbref.com/en/players/ae4fc6a4/matchlogs/2024/summary/Eberechi-Eze-Match-Logs,34,1.1,3,3,3,0,1.0,1.9,,-0.9,,+3,,17.0,34,,-1.86,,-2.03,+2.65,1.67,+2.65
157,Wout Faes,https://fbref.com/en/players/9c221d14/Wout-Faes,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-099,1998,0,4.5,0,4,360,https://fbref.com/en/players/9c221d14/matchlogs/2024/summary/Wout-Faes-Match-Logs,90,100.0,4.0,4,90,0,1.00,4,2,,,+1.1,2,,,+0.28,3.4,0.00,,,,
158,Nicolò Fagioli,https://fbref.com/en/players/366be751/Nicolo-Fagioli,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,23-150,2001,10,0.8,0,2,95,https://fbref.com/en/players/366be751/matchlogs/2024/summary/Nicolo-Fagioli-Match-Logs,48,1.1,2,1,1,,1,2,1.2,-1,-0.4,-0.10,,26.4,85,,-0.95,,-0.61,-0.42,0.50,
159,João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix,"MF,FW",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-244,1999,15,2.2,0,2,105,https://fbref.com/en/players/8aafd64f/matchlogs/2024/summary/Joao-Felix-Match-Logs,53,1.2,1,1,3,,1,2,1.9,-2,,+0.3,,20.6,90,,-1.71,,-2.60,-0.70,0.50,+0.30
160,Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-307,1994,0,6.4,,4,374,https://fbref.com/en/players/507c7bdf/matchlogs/2024/summary/Bruno-Fernandes-Match-Logs,94,73.3,4.2,4,94,,2.00,3,1,+0.61,+1.08,+4,5,+4.1,+2.29,+0.96,1,,2.3,,,
161,Attila Fiola,https://fbref.com/en/players/bb17ccd0/Attila-Fiola,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-145,1990,0,0.00,,2,180,https://fbref.com/en/players/bb17ccd0/matchlogs/2024/summary/Attila-Fiola-Match-Logs,90,66.7,2.0,2,90,,2.4,2,1,-4,-2.00,-1.69,1,-3.00,-1.3,-0.63,5,,3.7,,,
162,Mark Flekken,https://fbref.com/en/players/a92ab7be/Mark-Flekken,GK,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,31-028,1993,0,0,0,0,6,https://fbref.com/en/players/a92ab7be/matchlogs/2024/summary/Mark-Flekken-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
163,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,"FW,MF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-044,2000,0,4.6,0,6,529,https://fbref.com/en/players/ed1e53f3/matchlogs/2024/summary/Phil-Foden-Match-Logs,88,88.2,5.9,6,88,0,2.00,1,4,-3.80,,+1.0,4,,+1.08,+0.16,3.6,0.00,,,,
164,Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-183,1999,0,,0,3,41,https://fbref.com/en/players/822d51d7/matchlogs/2024/summary/Youssouf-Fofana-Match-Logs,14,0.5,3,3,1.0,0,0.6,,,-0.4,,,,7.2,14,,-0.17,0,-3.14,-3.81,1.67,
165,Michael Folorunsho,https://fbref.com/en/players/c391a179/Michael-Folorunsho,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-155,1998,0,0.0,0.0,1,1,https://fbref.com/en/players/c391a179/matchlogs/2024/summary/Michael-Folorunsho-Match-Logs,1,3,0.0,1,0.0,0,,0,,,,,,0.3,1,,-3.78,0,-3.44,,3.00,+0.50
166,James Forrest,https://fbref.com/en/players/e73659d3/James-Forrest,"FW,MF",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,33-004,1991,0,0,0,0,3,https://fbref.com/en/players/e73659d3/matchlogs/2024/summary/James-Forrest-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
167,Przemysław Frankowski,https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-090,1995,0,4.1,0,3,270,https://fbref.com/en/players/00a8d210/matchlogs/2024/summary/Przemyslaw-Frankowski-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-3,-1.00,,6,-1.8,-0.60,,5.9,,,,,
168,Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-263,1999,2.1,1.00,0,4,185,https://fbref.com/en/players/2a7d27c1/matchlogs/2024/summary/Davide-Frattesi-Match-Logs,46,51.4,2.1,2,68,,2,1,25,-0.3,-0.14,+1,3,+0.43,+2.03,+0.49,2,,2.3,,,
169,Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-087,1992,0,5.6,0,5,456,https://fbref.com/en/players/98d2c2c4/matchlogs/2024/summary/Remo-Freuler-Match-Logs,91,95.0,5.1,5,91,,1.80,2,7,-3.16,-3.12,+3,4,+0.19,+1.0,+0.59,4.6,,,,,
170,Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-214,2000,7,0.6,0,3,86,https://fbref.com/en/players/74f2e748/matchlogs/2024/summary/Jeremie-Frimpong-Match-Logs,29,1.0,3,1,1,0,2,2.1,,-1.5,,+1,,15.9,72,,-1.52,,-2.12,+0.65,2.33,+1.05
171,Chris Führich,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,26-184,1998,0,,0,1,19,https://fbref.com/en/players/0cf778df/matchlogs/2024/summary/Chris-Fuhrich-Match-Logs,19,0.2,4,1,0.3,0,0.5,,,,,+0.2,,4.0,19,,-1.37,0,-0.09,,3.00,+0.91
172,Niclas Füllkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,31-153,1993,0,4.1,0,5,166,https://fbref.com/en/players/4f16405e/matchlogs/2024/summary/Niclas-Fullkrug-Match-Logs,33,34.6,1.8,5,33,0,2.00,6,2,+0.72,+1.51,+4,1.8,+2.3,+1.31,+2.17,,,,,,
173,Mijat Gaćinović,https://fbref.com/en/players/16daec92/Mijat-Gacinovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-154,1995,0,,0,1,45,https://fbref.com/en/players/16daec92/matchlogs/2024/summary/Mijat-Gacinovic-Match-Logs,45,0.5,2,1,1,0,1.1,1,0.5,,+1.47,+0.5,,16.7,45,,,,,+1.07,1.00,+0.40
174,Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-065,1999,0,7.4,0,6,523,https://fbref.com/en/players/1971591f/matchlogs/2024/summary/Cody-Gakpo-Match-Logs,87,96.9,5.8,6,87,,1.67,4,8,-10.42,-0.67,+1,7,+0.24,+1.4,+0.17,6.0,,,,,
175,Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,24-156,2000,19,1.3,0,5,120,https://fbref.com/en/players/c2731c10/matchlogs/2024/summary/Conor-Gallagher-Match-Logs,24,1.3,1,1,1.0,0,4,,,,,+0.2,,20.0,45,,-0.56,0,,+0.18,2.20,+0.19
176,Federico Gatti,https://fbref.com/en/players/18dd3219/Federico-Gatti,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-017,1998,0,0,0,0,4,https://fbref.com/en/players/18dd3219/matchlogs/2024/summary/Federico-Gatti-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
177,Dániel Gazdag,https://fbref.com/en/players/527d0e31/Daniel-Gazdag,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,28-131,1996,0,,0.0,1,4,https://fbref.com/en/players/527d0e31/matchlogs/2024/summary/Daniel-Gazdag-Match-Logs,4,2,0.1,1,,0,0.3,0,,,+4.01,+0.2,,1.5,4,0.00,,0,,+3.88,,+1.02
178,Lutsharel Geertruida,https://fbref.com/en/players/242e1043/Lutsharel-Geertruida,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-359,2000,18,1.7,,2,108,https://fbref.com/en/players/242e1043/matchlogs/2024/summary/Lutsharel-Geertruida-Match-Logs,54,1.2,1,1,4,,1,2,3,-1,,+0.8,0.9,20.0,90,,-0.83,,-1.67,+0.51,0.50,+0.67
179,Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,23-030,2001,0.6,0.33,0,3,184,https://fbref.com/en/players/df10e27c/matchlogs/2024/summary/Billy-Gilmour-Match-Logs,61,68.1,2.0,2,80,0,1,24,2,-1,-0.49,+3.70,3,-1.1,-0.55,+1.91,1.7,,,,,
180,Olivier Giroud,https://fbref.com/en/players/16ceb862/Olivier-Giroud,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,37-285,1986,0,,0,4,59,https://fbref.com/en/players/16ceb862/matchlogs/2024/summary/Olivier-Giroud-Match-Logs,15,0.7,2,4,1,0,0.4,0.9,,-1,-0.5,-1.45,,10.4,15,,-1.53,,-1.88,-0.70,1.25,
181,Klaus Gjasula,https://fbref.com/en/players/431c837b/Klaus-Gjasula,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,34-210,1989,0,,0,1,19,https://fbref.com/en/players/431c837b/matchlogs/2024/summary/Klaus-Gjasula-Match-Logs,19,0.2,2,1,1,,0.5,2,1.2,-1,-0.7,-2.54,,7.0,19,,-4.74,,-4.38,-3.44,1.00,
182,Adam Gnezda Čerin,https://fbref.com/en/players/fe192f45/Adam-Gnezda-Cerin,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,24-361,1999,0,3.2,0,4,390,https://fbref.com/en/players/fe192f45/matchlogs/2024/summary/Adam-Gnezda-Cerin-Match-Logs,98,100.0,4.3,4,98,0,1.00,4,2,-2.9,-0.71,,2,-0.71,,,6.1,0.00,,,,
183,Giorgi Gocholeishvili,https://fbref.com/en/players/50f9bec6/Giorgi-Gocholeishvili,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-148,2001,0,0,0,0,4,https://fbref.com/en/players/50f9bec6/matchlogs/2024/summary/Giorgi-Gocholeishvili-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
184,Joe Gomez,https://fbref.com/en/players/7a11550b/Joe-Gomez,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-049,1997,0,0,0,0,6,https://fbref.com/en/players/7a11550b/matchlogs/2024/summary/Joe-Gomez-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
185,Anthony Gordon,https://fbref.com/en/players/2bd83368/Anthony-Gordon,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-138,2001,0,,0.0,1,2,https://fbref.com/en/players/2bd83368/matchlogs/2024/summary/Anthony-Gordon-Match-Logs,2,5,,1,0.0,0,0.1,0,,,,+0.1,,0.3,2,,-0.45,0,,+2.91,1.00,+2.94
186,Jon Gorenc Stanković,https://fbref.com/en/players/9c74fa25/Jon-Gorenc-Stankovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,28-179,1996,0,,0,4,94,https://fbref.com/en/players/9c74fa25/matchlogs/2024/summary/Jon-Gorenc-Stankovic-Match-Logs,24,1.0,2,4,1,0,1.3,2.0,,-0.8,,+1,,24.1,24,,-1.07,,-0.49,+1.26,1.00,+0.96
187,Ryan Gravenberch,https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch,MF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-056,2002,0,0,0,0,6,https://fbref.com/en/players/b8e740fb/matchlogs/2024/summary/Ryan-Gravenberch-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
188,Michael Gregoritsch,https://fbref.com/en/players/8e235926/Michael-Gregoritsch,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,30-084,1994,23,3.8,0,4,126,https://fbref.com/en/players/8e235926/matchlogs/2024/summary/Michael-Gregoritsch-Match-Logs,32,1.4,2,1,2,0,3,1.7,,,,+2.2,,35.0,58,,-0.38,0,,+2.11,1.50,+1.54
189,Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann,"MF,FW",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,33-112,1991,5.4,1.50,0,6,394,https://fbref.com/en/players/df69b544/matchlogs/2024/summary/Antoine-Griezmann-Match-Logs,66,69.1,4.4,4,84,,2,2,30,-0.23,+0.52,+1,2,+2.3,+0.23,+0.23,1,,3.1,,,
190,Florian Grillitsch,https://fbref.com/en/players/ffbbc83b/Florian-Grillitsch,MF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,28-339,1995,3.9,1.50,0,4,194,https://fbref.com/en/players/ffbbc83b/matchlogs/2024/summary/Florian-Grillitsch-Match-Logs,49,53.9,2.2,3,56,0,1,27,4,-0.08,+0.13,+1,3,+0.3,+0.46,+0.46,3.6,,,,,
191,Álex Grimaldo,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-295,1995,25,2.9,0,2,115,https://fbref.com/en/players/b1f4086c/matchlogs/2024/summary/Alex-Grimaldo-Match-Logs,58,1.3,1,1,4,,1,3,0.6,+1.29,+1.77,+3,,20.2,90,+2.3,,,,+0.96,3.00,+2.35
192,Pascal Groß,https://fbref.com/en/players/8aec0537/Pascal-Gross,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,33-026,1991,0,,0,1,45,https://fbref.com/en/players/8aec0537/matchlogs/2024/summary/Pascal-Gross-Match-Logs,45,0.5,4,1,2,0.0,0.8,1,,+0.69,+1.63,+1,,9.4,45,+0.8,,,,+0.76,3.00,+2.00
193,Kamil Grosicki,https://fbref.com/en/players/81d8091f/Kamil-Grosicki,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,36-033,1988,0,,0,1,16,https://fbref.com/en/players/81d8091f/matchlogs/2024/summary/Kamil-Grosicki-Match-Logs,16,0.2,2,1,1,0,0.3,1.2,,-1,-0.9,-5.01,,5.9,16,0.00,-5.63,,-4.92,-5.31,,
194,Marco Grüll,https://fbref.com/en/players/8babb812/Marco-Grull,"FW,MF",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,26-005,1998,0,0,0,0,4,https://fbref.com/en/players/8babb812/matchlogs/2024/summary/Marco-Grull-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
195,Nemanja Gudelj,https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,32-238,1991,0,,0,2,90,https://fbref.com/en/players/0076ab7f/matchlogs/2024/summary/Nemanja-Gudelj-Match-Logs,45,1.0,1,2,1,0,0.1,0.8,,-1,-0.7,-0.82,,33.3,45,,-1.00,,-1.00,-0.70,0.50,
196,Marc Guéhi,https://fbref.com/en/players/d0706b27/Marc-Guehi,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,23-364,2000,0,4.9,0,5,480,https://fbref.com/en/players/d0706b27/matchlogs/2024/summary/Marc-Guehi-Match-Logs,96,80.0,5.3,5,96,,2.20,5,6,+0.70,+0.21,+3,3,+1.0,+0.56,+0.56,3.8,,,,,
197,Luka Gugeshashvili,https://fbref.com/en/players/f05b0000/Luka-Gugeshashvili,GK,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,25-073,1999,0,0,0,0,4,https://fbref.com/en/players/f05b0000/matchlogs/2024/summary/Luka-Gugeshashvili-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
198,Péter Gulácsi,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,GK,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-066,1990,0,3.7,0,3,270,https://fbref.com/en/players/bcb2ccd8/matchlogs/2024/summary/Peter-Gulacsi-Match-Logs,90,100.0,3.0,3,90,,1.00,3,2,-3,-1.00,,5,-0.2,-0.07,,3.9,,,,,
199,Arda Güler,https://fbref.com/en/players/3741ca58/Arda-Guler,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,19-137,2005,5.2,1.80,0,5,340,https://fbref.com/en/players/3741ca58/matchlogs/2024/summary/Arda-Guler-Match-Logs,68,75.6,3.8,4,80,,1,1,21,-0.6,-0.16,+1,6,+0.66,+1.08,+0.26,5,,5.8,,,
200,İlkay Gündoğan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,33-261,1990,0,6.9,0,5,383,https://fbref.com/en/players/819b3158/matchlogs/2024/summary/Ilkay-Gundogan-Match-Logs,77,79.8,4.3,5,77,,2.00,2,9,-0.33,+0.93,+6,3,+4.0,+0.48,+1.41,3.0,,,,,
201,Angus Gunn,https://fbref.com/en/players/e082af5b/Angus-Gunn,GK,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-171,1996,0,0.9,0,3,270,https://fbref.com/en/players/e082af5b/matchlogs/2024/summary/Angus-Gunn-Match-Logs,90,100.0,3.0,3,90,,0.33,3,2,-5,-1.67,,7,-3.5,-1.16,,4.4,,,,,
202,Mert Günok,https://fbref.com/en/players/b583aef5/Mert-Gunok,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,35-132,1989,0,6.6,0,4,360,https://fbref.com/en/players/b583aef5/matchlogs/2024/summary/Mert-Gunok-Match-Logs,90,80.0,4.0,4,90,,2.25,4,8,-0.5,-0.12,+3,5,+1.03,+3.75,+0.75,7.1,,,,,
203,Joško Gvardiol,https://fbref.com/en/players/5ad50391/Josko-Gvardiol,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,22-170,2002,0,5.7,0,3,270,https://fbref.com/en/players/5ad50391/matchlogs/2024/summary/Josko-Gvardiol-Match-Logs,90,100.0,3.0,3,90,,0.67,3,3,-3,-1.00,+1.3,6,,,+0.44,4.4,,,,,
204,Giorgi Gwelesiani,https://fbref.com/en/players/48803de8/Giorgi-Gwelesiani,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,33-067,1991,2.0,1.33,0,3,162,https://fbref.com/en/players/48803de8/matchlogs/2024/summary/Giorgi-Gwelesiani-Match-Logs,54,45.0,1.8,2,77,0,1,9,1,-1.2,-0.66,+1.36,3,,,+1.96,3,0.00,3.2,,,
205,Norbert Gyömbér,https://fbref.com/en/players/0be276c6/Norbert-Gyomber,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,32-008,1992,0,,0,2,32,https://fbref.com/en/players/0be276c6/matchlogs/2024/summary/Norbert-Gyomber-Match-Logs,16,0.4,2,2,2,0,0.9,0.5,,-2,,+0.4,,8.2,16,,-5.63,,-5.88,+19.38,0.50,+18.96
206,Ianis Hagi,https://fbref.com/en/players/0127419a/Ianis-Hagi,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-263,1998,2.0,1.00,0,4,188,https://fbref.com/en/players/0127419a/matchlogs/2024/summary/Ianis-Hagi-Match-Logs,47,52.2,2.1,2,68,0,2,26,1,-2,-0.96,-0.21,3,-0.96,-1.6,-0.76,3.6,,,,,
207,Dávid Hancko,https://fbref.com/en/players/4fac8f81/David-Hancko,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-211,1997,0,4.2,0,4,366,https://fbref.com/en/players/4fac8f81/matchlogs/2024/summary/David-Hancko-Match-Logs,92,93.8,4.1,4,92,0,1.00,3,4,-1.2,-0.33,+3.75,4,-0.09,,,5.4,0.00,,,,
208,Grant Hanley,https://fbref.com/en/players/e9254eec/Grant-Hanley,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-234,1991,0.9,0.33,0,3,225,https://fbref.com/en/players/e9254eec/matchlogs/2024/summary/Grant-Hanley-Match-Logs,75,83.3,2.5,2,90,,1,2,45,-2,-0.80,+5.20,2,-2.3,-0.90,+1.55,4,,3.2,,,
209,Lukáš Haraslín,https://fbref.com/en/players/5c397195/Lukas-Haraslin,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-046,1996,0,3.1,0,4,264,https://fbref.com/en/players/5c397195/matchlogs/2024/summary/Lukas-Haraslin-Match-Logs,66,67.7,2.9,4,66,0,1.00,4,2,-1.1,-0.39,+2,4.2,-0.23,+2.82,+0.68,,,,,,
210,Kai Havertz,https://fbref.com/en/players/fed7cb61/Kai-Havertz,"FW,MF",de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,25-030,1999,0,8.0,0,5,389,https://fbref.com/en/players/fed7cb61/matchlogs/2024/summary/Kai-Havertz-Match-Logs,78,81.0,4.3,5,78,,2.00,2,8,+0.85,+1.16,+6,2,+5.0,+0.40,+1.39,2.9,,,,,
211,Niklas Hedl,https://fbref.com/en/players/bdf45350/Niklas-Hedl,GK,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,23-116,2001,0,0,0,0,4,https://fbref.com/en/players/bdf45350/matchlogs/2024/summary/Niklas-Hedl-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
212,Dean Henderson,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,GK,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-121,1997,0,0,0,0,6,https://fbref.com/en/players/e5a76dfe/matchlogs/2024/summary/Dean-Henderson-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
213,Jack Hendry,https://fbref.com/en/players/ffed43e3/Jack-Hendry,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-065,1995,0,0.9,0,3,261,https://fbref.com/en/players/ffed43e3/matchlogs/2024/summary/Jack-Hendry-Match-Logs,87,96.7,2.9,3,87,,0.33,2,2,-5,-1.72,,7,-1.72,-3.5,-1.16,4.4,,,,,
214,Benjamin Henrichs,https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-139,1997,0,,0,1,10,https://fbref.com/en/players/0a89e877/matchlogs/2024/summary/Benjamin-Henrichs-Match-Logs,10,0.1,4,1,0.1,0,0.4,,,,,+0.3,,2.1,10,,-1.34,0,,+1.52,3.00,+2.49
215,Mads Hermansen,https://fbref.com/en/players/c924b17d/Mads-Hermansen,GK,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-000,2000,0,0,0,0,4,https://fbref.com/en/players/c924b17d/matchlogs/2024/summary/Mads-Hermansen-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
216,Theo Hernández,https://fbref.com/en/players/d4c9725f/Theo-Hernandez,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,26-279,1997,0,9.0,0,6,570,https://fbref.com/en/players/d4c9725f/matchlogs/2024/summary/Theo-Hernandez-Match-Logs,95,100.0,6.3,6,95,,1.50,6,4,,+0.63,+1,3,+0.63,+3.8,+0.16,5.2,,,,,
217,Morten Hjulmand,https://fbref.com/en/players/d4456fb3/Morten-Hjulmand,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-016,1999,0,2.7,0,3,245,https://fbref.com/en/players/d4456fb3/matchlogs/2024/summary/Morten-Hjulmand-Match-Logs,82,68.1,2.7,3,82,0,1.00,2,2,,,+1.57,2.0,+1.19,+0.26,+0.7,,0,,,,
218,Adam Hložek,https://fbref.com/en/players/5521f419/Adam-Hlozek,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,21-352,2002,0,,0,2,108,https://fbref.com/en/players/5521f419/matchlogs/2024/summary/Adam-Hlozek-Match-Logs,54,1.2,1,2,2,0,2.3,1.6,,-2,,+0.7,,40.0,54,,-1.67,,-1.67,+0.57,0.50,+0.58
219,Tomáš Holeš,https://fbref.com/en/players/e03c2d97/Tomas-Holes,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-102,1993,0,5.1,0,3,269,https://fbref.com/en/players/e03c2d97/matchlogs/2024/summary/Tomas-Holes-Match-Logs,90,99.6,3.0,3,90,,0.33,2,3,-2,-0.67,+0.7,5,-0.67,+0.24,+0.24,4.3,,,,,
