right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,left href 3
18,Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,35-083,1989,3.1,54,52,2,0,0,1,2,0,0,0,0,0,39,0,4,https://fbref.com/en/players/00459419/matchlogs/2024/passing_types/Marko-Arnautovic-Match-Logs
19,Jasir Asani,https://fbref.com/en/players/6354ac8c/Jasir-Asani,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-053,1995,2.3,38,38,1,0,0,4,0,0,0,0,0,0,31,0,0,https://fbref.com/en/players/6354ac8c/matchlogs/2024/passing_types/Jasir-Asani-Match-Logs
20,Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-124,2002,3.0,189,168,20,0,0,15,2,0,3,155,1,5,5,13,6,https://fbref.com/en/players/0fdcef0e/matchlogs/2024/passing_types/Kristjan-Asllani-Match-Logs
21,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-244,1994,4.0,179,169,9,0,0,8,2,0,2,0,1,1,156,1,4,https://fbref.com/en/players/2200181e/matchlogs/2024/passing_types/Kaan-Ayhan-Match-Logs
22,Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,22-357,2001,0.3,12,11,1,0,0,1,0,0,0,0,0,0,11,0,0,https://fbref.com/en/players/518f2234/matchlogs/2024/passing_types/Alex-Baena-Match-Logs
23,Alexander Bah,https://fbref.com/en/players/78f21137/Alexander-Bah,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,26-215,1997,3.1,164,145,19,0,0,1,6,0,0,0,0,0,127,4,19,https://fbref.com/en/players/78f21137/matchlogs/2024/passing_types/Alexander-Bah-Match-Logs
24,Nedim Bajrami,https://fbref.com/en/players/f42d6c13/Nedim-Bajrami,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-134,1999,2.7,80,75,4,0,0,1,4,0,0,61,0,1,1,1,1,https://fbref.com/en/players/f42d6c13/matchlogs/2024/passing_types/Nedim-Bajrami-Match-Logs
25,Johan Bakayoko,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,21-082,2003,0.5,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0,https://fbref.com/en/players/0caa2fd4/matchlogs/2024/passing_types/Johan-Bakayoko-Match-Logs
26,Jure Balkovec,https://fbref.com/en/players/1a787ee8/Jure-Balkovec,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-306,1994,1.3,37,21,16,0,0,1,16,0,0,0,0,0,24,0,0,https://fbref.com/en/players/1a787ee8/matchlogs/2024/passing_types/Jure-Balkovec-Match-Logs
27,Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,32-192,1992,1.0,43,35,8,0,0,1,7,0,0,0,0,0,33,0,2,https://fbref.com/en/players/cee88597/matchlogs/2024/passing_types/Ivan-Balliu-Match-Logs
28,Nicușor Bancu,https://fbref.com/en/players/99847dc0/Nicusor-Bancu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-297,1992,3.0,139,107,29,0,0,2,5,0,0,0,0,4,103,3,27,https://fbref.com/en/players/99847dc0/matchlogs/2024/passing_types/Nicusor-Bancu-Match-Logs
29,Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-221,1994,0.5,24,22,1,0,0,1,1,0,0,0,0,0,20,0,0,https://fbref.com/en/players/01efac19/matchlogs/2024/passing_types/Antonin-Barak-Match-Logs
30,Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-313,2002,1.1,32,32,1,0,0,1,0,0,0,0,0,0,27,0,0,https://fbref.com/en/players/a0d55a09/matchlogs/2024/passing_types/Bradley-Barcola-Match-Logs
31,Abdülkerim Bardakcı,https://fbref.com/en/players/5d9cff53/Abdulkerim-Bardakci,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-308,1994,4.0,211,200,10,0,0,6,4,0,0,0,0,2,182,1,1,https://fbref.com/en/players/5d9cff53/matchlogs/2024/passing_types/Abdulkerim-Bardakci-Match-Logs
32,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-155,1997,3.7,261,256,3,0,0,2,1,0,0,0,2,2,239,2,1,https://fbref.com/en/players/6928979a/matchlogs/2024/passing_types/Nicolo-Barella-Match-Logs
33,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-089,1999,4.0,333,315,18,0,0,9,1,0,0,0,0,0,306,3,2,https://fbref.com/en/players/75b86fb3/matchlogs/2024/passing_types/Alessandro-Bastoni-Match-Logs
34,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-146,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,https://fbref.com/en/players/d1eda5f0/matchlogs/2024/passing_types/Martin-Baturina-Match-Logs
35,Christoph Baumgartner,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-345,1999,3.2,105,101,3,0,0,3,1,0,0,0,4,1,72,1,6,https://fbref.com/en/players/437f2b00/matchlogs/2024/passing_types/Christoph-Baumgartner-Match-Logs
36,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1.0,35,31,4,0,0,2,0,0,0,0,0,0,29,0,0,https://fbref.com/en/players/072e68ed/matchlogs/2024/passing_types/Altay-Bayindir-Match-Logs
37,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,28-090,1996,3.0,101,86,14,0,0,7,1,0,0,0,0,0,89,1,7,https://fbref.com/en/players/4115ce4e/matchlogs/2024/passing_types/Jan-Bednarek-Match-Logs
38,Maximilian Beier,https://fbref.com/en/players/5db45ee5/Maximilian-Beier,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-268,2002,0.3,7,7,1,0,0,2,0,0,0,0,0,0,3,0,0,https://fbref.com/en/players/5db45ee5/matchlogs/2024/passing_types/Maximilian-Beier-Match-Logs
39,Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,21-012,2003,6.4,332,325,6,0,0,3,2,0,6,0,1,3,290,8,3,https://fbref.com/en/players/57d88cf9/matchlogs/2024/passing_types/Jude-Bellingham-Match-Logs
40,László Bénes,https://fbref.com/en/players/fe888e39/Laszlo-Benes,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-306,1997,0.8,52,47,5,0,0,2,1,0,1,41,1,3,2,6,1,https://fbref.com/en/players/fe888e39/matchlogs/2024/passing_types/Laszlo-Benes-Match-Logs
41,Bartosz Bereszyński,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,31-365,1992,0.1,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,https://fbref.com/en/players/61b3978f/matchlogs/2024/passing_types/Bartosz-Bereszynski-Match-Logs
42,Steven Bergwijn,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,26-277,1997,1.0,49,49,2,0,0,2,0,0,0,0,0,0,40,0,0,https://fbref.com/en/players/a29b1131/matchlogs/2024/passing_types/Steven-Bergwijn-Match-Logs
43,Medon Berisha,https://fbref.com/en/players/9d376bef/Medon-Berisha,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-264,2003,0.2,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,https://fbref.com/en/players/9d376bef/matchlogs/2024/passing_types/Medon-Berisha-Match-Logs
44,Victor Bernth Kristiansen,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-208,2002,1.7,92,83,9,0,0,4,9,0,0,0,0,0,72,0,1,https://fbref.com/en/players/505486d6/matchlogs/2024/passing_types/Victor-Bernth-Kristiansen-Match-Logs
45,Matúš Bero,https://fbref.com/en/players/b5e0af76/Matus-Bero,"MF,DF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-309,1995,0.5,24,21,3,0,0,2,3,0,0,0,0,0,17,0,1,https://fbref.com/en/players/b5e0af76/matchlogs/2024/passing_types/Matus-Bero-Match-Logs
46,Jaka Bijol,https://fbref.com/en/players/6fdac234/Jaka-Bijol,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-157,1999,4.3,130,124,6,0,0,4,2,0,0,0,0,1,107,1,1,https://fbref.com/en/players/6fdac234/matchlogs/2024/passing_types/Jaka-Bijol-Match-Logs
47,Veljko Birmančević,https://fbref.com/en/players/636247ca/Veljko-Birmancevic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-128,1998,0.3,16,12,4,0,0,2,5,0,0,0,0,0,10,1,2,https://fbref.com/en/players/636247ca/matchlogs/2024/passing_types/Veljko-Birmancevic-Match-Logs
48,Daley Blind,https://fbref.com/en/players/691bef82/Daley-Blind,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,34-124,1990,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/691bef82/matchlogs/2024/passing_types/Daley-Blind-Match-Logs
49,Bendegúz Bolla,https://fbref.com/en/players/b6ca3ab3/Bendeguz-Bolla,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-232,1999,2.3,63,56,7,0,0,8,7,0,0,0,0,0,45,0,2,https://fbref.com/en/players/b6ca3ab3/matchlogs/2024/passing_types/Bendeguz-Bolla-Match-Logs
50,Endre Botka,https://fbref.com/en/players/2cb77ec6/Endre-Botka,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-321,1994,1.0,45,33,12,0,0,12,1,0,0,0,0,0,37,0,0,https://fbref.com/en/players/2cb77ec6/matchlogs/2024/passing_types/Endre-Botka-Match-Logs
51,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-204,1996,0.4,14,12,2,0,0,3,2,0,0,10,0,0,2,0,0,https://fbref.com/en/players/79c84d1c/matchlogs/2024/passing_types/Jarrod-Bowen-Match-Logs
52,Róbert Boženík,https://fbref.com/en/players/ba6cf633/Robert-Bozenik,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,24-236,1999,2.3,38,34,4,0,0,2,2,0,0,0,0,0,25,0,0,https://fbref.com/en/players/ba6cf633/matchlogs/2024/passing_types/Robert-Bozenik-Match-Logs
53,Volodymyr Brazhko,https://fbref.com/en/players/696197fb/Volodymyr-Brazhko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-170,2002,2.0,81,81,0,0,0,0,0,0,0,0,0,0,71,0,0,https://fbref.com/en/players/696197fb/matchlogs/2024/passing_types/Volodymyr-Brazhko-Match-Logs
54,David Brekalo,https://fbref.com/en/players/fd594b15/David-Brekalo,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-221,1998,1,,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,https://fbref.com/en/players/fd594b15/matchlogs/2024/passing_types/David-Brekalo-Match-Logs
55,Brian Brobbey,https://fbref.com/en/players/4c184730/Brian-Brobbey,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-161,2002,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4c184730/matchlogs/2024/passing_types/Brian-Brobbey-Match-Logs
56,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-305,2001,1.2,15,15,1,0,0,0,0,0,0,0,0,0,9,0,0,https://fbref.com/en/players/97220da2/matchlogs/2024/passing_types/Armando-Broja-Match-Logs
57,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,31-238,1992,2.5,188,183,5,0,0,4,1,0,0,0,1,1,170,4,1,https://fbref.com/en/players/33b8d077/matchlogs/2024/passing_types/Marcelo-Brozovic-Match-Logs
