Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
149,Anthony Gordon,FW,England,22,2001,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
150,Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,0,1,0,0,0.96,0.00,0.00,,21.2,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
151,Michael Gregoritsch,FW,Austria,29,1994,1.4,1,4,2,50,2.86,1.43,0.25,0.5,8.7,0.00,0.00,0.00,0.9,0.9,0.24,0.1,0.1
152,Antoine Griezmann,"MF,FW",France,32,1991,4.4,0,12,4,33,2.74,0.91,0.00,0.0,18.5,1.00,0.00,0.00,2.0,2.0,0.16,-2.0,-2.0
153,Florian Grillitsch,MF,Austria,28,1995,2.2,0,5,2,40,2.32,0.93,0.00,0.0,21.8,0.00,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
154,Álex Grimaldo,DF,Spain,28,1995,1.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
155,Pascal Groß,MF,Germany,32,1991,0.5,0,1,0,0,2.00,0.00,0.00,,23.5,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
156,Kamil Grosicki,MF,Poland,35,1988,0.2,0,1,0,0,5.63,0.00,0.00,,7.2,0.00,0.00,0.00,0.3,0.3,0.29,-0.3,-0.3
157,Nemanja Gudelj,MF,Serbia,32,1991,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
158,Marc Guéhi,DF,England,23,2000,6.3,0,2,0,0,0.32,0.00,0.00,,7.4,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
159,Péter Gulácsi,GK,Hungary,33,1990,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
160,Arda Güler,"FW,MF",Türkiye,18,2005,3.8,1,9,1,11,2.38,0.26,0.11,1.0,32.5,1.00,0.00,0.00,0.3,0.3,0.03,0.7,0.7
161,İlkay Gündoğan,MF,Germany,33,1990,4.3,1,7,2,29,1.64,0.47,0.14,0.5,14.4,0.00,0.00,0.00,0.8,0.8,0.11,0.2,0.2
162,Angus Gunn,GK,Scotland,28,1996,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
163,Mert Günok,GK,Türkiye,34,1989,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
164,Joško Gvardiol,DF,Croatia,22,2002,3.0,0,2,0,0,0.67,0.00,0.00,,15.4,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
165,Giorgi Gwelesiani,DF,Georgia,32,1991,1.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
166,Norbert Gyömbér,DF,Slovakia,31,1992,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
167,Ianis Hagi,MF,Romania,25,1998,2.1,0,2,0,0,0.96,0.00,0.00,,21.8,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
168,Dávid Hancko,DF,Slovakia,26,1997,4.1,0,4,2,50,0.98,0.49,0.00,0.0,15.4,1.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
169,Grant Hanley,DF,Scotland,32,1991,2.5,0,1,0,0,0.40,0.00,0.00,,5.6,0.00,0.00,0.00,0.2,0.2,0.23,-0.2,-0.2
170,Lukáš Haraslín,FW,Slovakia,27,1996,2.9,0,8,4,50,2.73,1.36,0.00,0.0,17.6,0.00,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5
171,Kai Havertz,"FW,MF",Germany,24,1999,4.3,2,17,9,53,3.93,2.08,0.00,0.0,14.6,1.00,2.00,2.00,4.1,2.5,0.15,-2.1,-2.5
172,Jack Hendry,DF,Scotland,28,1995,2.9,0,1,0,0,0.34,0.00,0.00,,13.1,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
173,Benjamin Henrichs,DF,Germany,26,1997,0.1,0,1,0,0,9.00,0.00,0.00,,25.2,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
174,Theo Hernández,DF,France,26,1997,6.3,0,4,2,50,0.63,0.32,0.00,0.0,16.3,0.00,0.00,0.00,0.4,0.4,0.10,-0.4,-0.4
175,Morten Hjulmand,MF,Denmark,24,1999,2.7,1,5,2,40,1.84,0.73,0.20,0.5,29.3,0.00,0.00,0.00,0.1,0.1,0.03,0.9,0.9
176,Adam Hložek,MF,Czechia,21,2002,1.2,0,4,4,100,3.33,3.33,0.00,0.0,16.0,0.00,0.00,0.00,0.5,0.5,0.14,-0.5,-0.5
177,Tomáš Holeš,DF,Czechia,30,1993,3.0,0,1,0,0,0.33,0.00,0.00,,32.1,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
178,Arbër Hoxha,"FW,MF",Albania,25,1998,0.6,0,2,1,50,3.60,1.80,0.00,0.0,18.5,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
179,Robin Hranáč,DF,Czechia,24,2000,3.0,0,2,0,0,0.67,0.00,0.00,,9.8,0.00,0.00,0.00,0.3,0.3,0.16,-0.3,-0.3
180,Elseid Hysaj,DF,Albania,29,1994,2.0,0,2,0,0,1.00,0.00,0.00,,21.3,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
181,Pierre Højbjerg,MF,Denmark,28,1995,3.9,0,7,4,57,1.78,1.02,0.00,0.0,24.9,0.00,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2
182,Rasmus Højlund,FW,Denmark,20,2003,3.2,0,6,4,67,1.89,1.26,0.00,0.0,13.1,0.00,0.00,0.00,0.7,0.7,0.11,-0.7,-0.7
183,Ivan Ilić,MF,Serbia,22,2001,2.2,0,2,0,0,0.90,0.00,0.00,,26.6,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
184,Josip Iličić,"FW,MF",Slovenia,36,1988,0.3,0,1,0,0,2.90,0.00,0.00,,27.4,1.00,0.00,0.00,0.0,0.0,0.05,0.0,0.0
185,Gonçalo Inácio,DF,Portugal,22,2001,1.3,0,1,0,0,0.76,0.00,0.00,,9.5,0.00,0.00,0.00,0.1,0.1,0.09,-0.1,-0.1
186,Luka Ivanušec,MF,Croatia,25,1998,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
187,Erik Janža,DF,Slovenia,30,1993,3.0,1,3,1,33,1.00,0.33,0.33,1.0,27.2,0.00,0.00,0.00,0.0,0.0,0.01,1.0,1.0
188,Jorginho,MF,Italy,32,1991,2.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
189,Joselu,FW,Spain,33,1990,1.0,0,3,0,0,3.00,0.00,0.00,,12.6,0.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
190,Diogo Jota,"FW,MF",Portugal,27,1996,1.1,0,2,1,50,1.80,0.90,0.00,0.0,8.6,0.00,0.00,0.00,0.7,0.7,0.33,-0.7,-0.7
191,Luka Jović,"MF,FW",Serbia,26,1997,1.1,1,1,1,100,0.88,0.88,1.00,1.0,6.0,0.00,0.00,0.00,0.2,0.2,0.19,0.8,0.8
192,Josip Juranović,DF,Croatia,28,1995,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
193,David Jurásek,DF,Czechia,23,2000,1.8,0,4,2,50,2.25,1.13,0.00,0.0,25.5,0.00,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3
194,Matěj Jurásek,"DF,MF",Czechia,20,2003,0.5,0,4,2,50,7.83,3.91,0.00,0.0,25.7,0.00,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
195,Ferdi Kadioglu,"DF,MF",Türkiye,24,1999,5.0,0,2,0,0,0.40,0.00,0.00,,29.3,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
196,İrfan Kahveci,FW,Türkiye,28,1995,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
197,Otar Kakabadze,"DF,MF",Georgia,28,1995,4.0,0,1,0,0,0.25,0.00,0.00,,22.3,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
198,Harry Kane,FW,England,30,1993,6.7,3,17,5,29,2.55,0.75,0.12,0.4,15.9,0.00,1.00,1.00,2.8,2.1,0.12,0.2,-0.1
199,N'Golo Kanté,MF,France,32,1991,5.7,0,5,2,40,0.88,0.35,0.00,0.0,23.4,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
200,Žan Karničnik,DF,Slovenia,29,1994,4.3,1,3,1,33,0.69,0.23,0.33,1.0,21.3,0.00,0.00,0.00,0.5,0.5,0.18,0.5,0.5
201,Guram Kashia,DF,Georgia,36,1987,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
202,Milos Kerkez,DF,Hungary,20,2003,2.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
203,Semih Kılıçsoy,FW,Türkiye,18,2005,0.0,0,1,1,100,45.00,45.00,0.00,0.0,8.5,0.00,0.00,0.00,0.2,0.2,0.21,-0.2,-0.2
204,Joshua Kimmich,DF,Germany,28,1995,5.3,0,7,2,29,1.31,0.37,0.00,0.0,25.9,0.00,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4
205,Otar Kiteishvili,MF,Georgia,27,1996,1.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
206,Jakub Kiwior,DF,Poland,23,2000,3.0,0,2,2,100,0.67,0.67,0.00,0.0,14.0,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
207,László Kleinheisler,MF,Hungary,29,1994,0.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
208,Giorgi Kochorashvili,MF,Georgia,24,1999,4.0,0,5,0,0,1.25,0.00,0.00,,25.7,0.00,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3
209,Orkun Kökçü,MF,Türkiye,23,2000,2.5,0,6,2,33,2.44,0.81,0.00,0.0,26.2,0.00,0.00,0.00,1.0,1.0,0.16,-1.0,-1.0
210,Randal Kolo Muani,FW,France,25,1998,2.2,1,3,1,33,1.34,0.45,0.33,1.0,10.8,0.00,0.00,0.00,0.8,0.8,0.25,0.2,0.2
211,Yukhym Konoplia,DF,Ukraine,24,1999,0.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
212,Ezri Konsa,DF,England,26,1997,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
213,Filip Kostić,DF,Serbia,31,1992,0.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
214,Jules Koundé,DF,France,25,1998,6.3,0,1,0,0,0.16,0.00,0.00,,14.9,0.00,0.00,0.00,0.2,0.2,0.15,-0.2,-0.2
215,Mateo Kovačić,MF,Croatia,29,1994,2.5,0,6,3,50,2.42,1.21,0.00,0.0,20.2,0.00,0.00,0.00,0.5,0.5,0.08,-0.5,-0.5
216,Matej Kovar,GK,Czechia,23,2000,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
217,Andrej Kramarić,FW,Croatia,32,1991,2.7,1,4,2,50,1.48,0.74,0.25,0.5,16.3,0.00,0.00,0.00,0.7,0.7,0.19,0.3,0.3
218,Ladislav Krejčí,DF,Czechia,24,1999,3.0,0,5,1,20,1.67,0.33,0.00,0.0,15.3,0.00,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3
219,Toni Kroos,MF,Germany,34,1990,5.2,0,3,1,33,0.58,0.19,0.00,0.0,26.0,1.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
220,Jan Kuchta,FW,Czechia,27,1997,1.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
221,Juraj Kucka,MF,Slovakia,36,1987,3.9,0,8,2,25,2.06,0.51,0.00,0.0,17.8,1.00,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4
222,Jasmin Kurtić,FW,Slovenia,35,1989,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
223,Khvicha Kvaratskhelia,FW,Georgia,22,2001,3.8,1,6,2,33,1.58,0.53,0.17,0.5,24.2,0.00,0.00,0.00,1.0,1.0,0.17,0.0,0.0
224,Nika Kvekveskiri,MF,Georgia,31,1992,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
225,Giorgi Kvilitaia,FW,Georgia,30,1993,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
226,Saba Kvirkvelia,DF,Georgia,31,1992,2.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
227,Qazim Laçi,"MF,FW",Albania,28,1996,1.8,1,1,1,100,0.55,0.55,1.00,1.0,8.0,0.00,0.00,0.00,0.3,0.3,0.34,0.7,0.7
228,Konrad Laimer,"MF,FW",Austria,26,1997,3.0,0,2,0,0,0.67,0.00,0.00,,13.4,0.00,0.00,0.00,0.5,0.5,0.26,-0.5,-0.5
229,Ádám Lang,DF,Hungary,31,1993,0.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
230,Aymeric Laporte,DF,Spain,29,1994,5.8,0,5,1,20,0.86,0.17,0.00,0.0,17.3,0.00,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
231,Robin Le Normand,DF,Spain,27,1996,4.9,0,3,0,0,0.61,0.00,0.00,,8.2,0.00,0.00,0.00,0.3,0.3,0.11,-0.3,-0.3
232,Rafael Leão,FW,Portugal,24,1999,3.2,0,3,0,0,0.94,0.00,0.00,,13.5,0.00,0.00,0.00,0.2,0.2,0.07,-0.2,-0.2
233,Robert Lewandowski,FW,Poland,35,1988,1.3,1,4,0,0,2.98,0.00,0.00,,24.4,0.00,1.00,1.00,1.0,0.2,0.04,0.0,-0.2
234,Philipp Lienhart,DF,Austria,27,1996,2.4,0,2,0,0,0.84,0.00,0.00,,11.3,0.00,0.00,0.00,0.3,0.3,0.13,-0.3,-0.3
235,Ondřej Lingr,"MF,FW",Czechia,25,1998,0.9,0,5,1,20,5.42,1.08,0.00,0.0,10.9,0.00,0.00,0.00,0.5,0.5,0.09,-0.5,-0.5
236,Dominik Livaković,GK,Croatia,29,1995,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
237,Stanislav Lobotka,MF,Slovakia,29,1994,4.3,0,1,1,100,0.23,0.23,0.00,0.0,31.1,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
238,Saba Lobzhanidze,FW,Georgia,29,1994,0.1,0,1,0,0,10.00,0.00,0.00,,13.9,0.00,0.00,0.00,0.2,0.2,0.18,-0.2,-0.2
239,Luka Lochoshvili,"DF,MF",Georgia,25,1998,1.9,0,1,0,0,0.53,0.00,0.00,,10.0,0.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
240,Fermin López,MF,Spain,20,2003,0.3,0,2,0,0,6.21,0.00,0.00,,26.8,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
241,Romelu Lukaku,FW,Belgium,30,1993,4.0,0,11,8,73,2.76,2.01,0.00,0.0,11.3,0.00,0.00,0.00,1.7,1.7,0.15,-1.7,-1.7
242,Dodi Lukebakio,"FW,DF",Belgium,26,1997,0.7,0,3,1,33,4.15,1.38,0.00,0.0,15.2,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
243,Saša Lukić,MF,Serbia,27,1996,2.3,0,1,0,0,0.43,0.00,0.00,,17.3,0.00,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1
244,Andriy Lunin,GK,Ukraine,24,1999,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
245,Mike Maignan,GK,France,28,1995,6.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
246,Kobbie Mainoo,MF,England,18,2005,4.1,0,5,0,0,1.22,0.00,0.00,,20.2,0.00,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3
247,Lovro Majer,"FW,MF",Croatia,26,1998,1.6,0,2,0,0,1.23,0.00,0.00,,9.6,0.00,0.00,0.00,0.2,0.2,0.09,-0.2,-0.2
248,Donyell Malen,FW,Netherlands,25,1999,2.1,2,6,2,33,2.84,0.95,0.33,1.0,11.5,0.00,0.00,0.00,1.9,1.9,0.31,0.1,0.1
249,Ruslan Malinovskyi,MF,Ukraine,30,1993,0.4,0,1,0,0,2.57,0.00,0.00,,24.1,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
250,Giorgi Mamardashvili,GK,Georgia,23,2000,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
251,Dennis Man,MF,Romania,25,1998,3.0,0,6,3,50,2.03,1.02,0.00,0.0,20.4,0.00,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3
252,Rey Manaj,FW,Albania,26,1997,1.7,0,3,1,33,1.73,0.58,0.00,0.0,10.4,0.00,0.00,0.00,0.4,0.4,0.12,-0.4,-0.4
253,Gianluca Mancini,DF,Italy,27,1996,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
254,Orel Mangala,MF,Belgium,25,1998,1.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
255,Marius Marin,MF,Romania,25,1998,3.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
256,Răzvan Marin,MF,Romania,27,1996,3.9,2,5,2,40,1.27,0.51,0.20,0.5,31.9,1.00,1.00,1.00,0.9,0.1,0.03,1.1,0.9
257,Ádám Martin,"FW,DF",Hungary,29,1994,0.5,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
258,Mykola Matviyenko,DF,Ukraine,27,1996,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
259,Kylian Mbappé,FW,France,25,1998,5.2,1,23,8,35,4.46,1.55,0.00,0.0,17.4,1.00,1.00,1.00,2.9,2.1,0.09,-1.9,-2.1
260,John McGinn,"MF,FW",Scotland,29,1994,2.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
261,Callum McGregor,MF,Scotland,30,1993,2.7,0,3,0,0,1.10,0.00,0.00,,20.2,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
262,Scott McKenna,DF,Scotland,27,1996,1.5,0,2,0,0,1.34,0.00,0.00,,14.2,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
263,Kenny McLean,MF,Scotland,32,1992,0.5,0,1,1,100,2.05,2.05,0.00,0.0,24.9,0.00,0.00,0.00,0.0,0.0,0.01,0.0,0.0
264,Scott McTominay,MF,Scotland,27,1996,3.0,1,4,1,25,1.33,0.33,0.25,1.0,14.2,0.00,0.00,0.00,0.3,0.3,0.07,0.7,0.7
265,Anzor Mekvabishvili,MF,Georgia,22,2001,2.1,0,2,1,50,0.96,0.48,0.00,0.0,25.6,0.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
266,Memphis,"FW,MF",Netherlands,29,1994,5.1,1,17,3,18,3.35,0.59,0.06,0.3,16.8,2.00,0.00,0.00,2.0,2.0,0.12,-1.0,-1.0
267,Nuno Mendes,DF,Portugal,21,2002,4.7,0,3,2,67,0.64,0.43,0.00,0.0,19.3,0.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
268,Mikel Merino,"MF,FW",Spain,27,1996,2.0,1,3,2,67,1.48,0.99,0.33,0.5,10.7,0.00,0.00,0.00,0.6,0.6,0.20,0.4,0.4
269,Valentin Mihaila,MF,Romania,23,2000,1.3,0,4,0,0,3.13,0.00,0.00,,21.5,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
270,Srđan Mijailović,DF,Serbia,30,1993,0.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
271,Georges Mikautadze,FW,Georgia,23,2000,3.8,3,4,1,25,1.04,0.26,0.25,1.0,19.9,0.00,2.00,2.00,2.3,0.7,0.17,0.7,0.3
272,Nikola Milenković,DF,Serbia,26,1997,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
273,Sergej Milinković-Savić,MF,Serbia,28,1995,1.3,0,3,1,33,2.23,0.74,0.00,0.0,19.1,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
274,Mario Mitaj,DF,Albania,20,2003,3.0,0,1,0,0,0.33,0.00,0.00,,22.2,0.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
275,Aleksandar Mitrović,FW,Serbia,29,1994,2.7,0,10,2,20,3.75,0.75,0.00,0.0,10.9,0.00,0.00,0.00,1.2,1.2,0.12,-1.2,-1.2
276,Maximilian Mittelstädt,DF,Germany,26,1997,3.4,0,5,0,0,1.48,0.00,0.00,,22.2,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
277,Filip Mladenović,DF,Serbia,32,1991,1.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
278,Jan Mlakar,MF,Slovenia,25,1998,3.3,0,2,1,50,0.61,0.31,0.00,0.0,16.4,0.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
279,Jakub Moder,MF,Poland,24,1999,2.0,0,4,1,25,2.00,0.50,0.00,0.0,19.7,0.00,0.00,0.00,0.6,0.6,0.16,-0.6,-0.6
280,Luka Modrić,MF,Croatia,38,1985,2.6,1,4,1,25,1.55,0.39,0.25,1.0,24.1,0.00,0.00,1.00,1.0,0.1,0.02,0.0,0.9
281,Vasile Mogos,DF,Romania,31,1992,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
282,Álvaro Morata,FW,Spain,31,1992,5.0,1,14,4,29,2.81,0.80,0.07,0.3,16.4,0.00,0.00,0.00,1.5,1.5,0.11,-0.5,-0.5
283,Lewis Morgan,DF,Scotland,27,1996,0.0,0,1,0,0,45.00,0.00,0.00,,16.5,0.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
284,Ernest Muçi,FW,Albania,22,2001,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
285,Mykhailo Mudryk,"FW,MF",Ukraine,23,2001,1.9,0,6,2,33,3.10,1.03,0.00,0.0,19.4,0.00,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4
286,Mert Müldür,"DF,MF",Türkiye,24,1999,3.8,1,3,2,67,0.78,0.52,0.33,0.5,17.4,0.00,0.00,0.00,0.6,0.6,0.18,0.4,0.4
287,Thomas Müller,"MF,FW",Germany,34,1989,0.6,0,1,0,0,1.55,0.00,0.00,,7.7,0.00,0.00,0.00,0.4,0.4,0.37,-0.4,-0.4
288,Jamal Musiala,FW,Germany,20,2003,4.7,3,10,4,40,2.15,0.86,0.30,0.8,18.6,0.00,0.00,0.00,1.0,1.0,0.10,2.0,2.0
289,Phillipp Mwene,DF,Austria,30,1994,2.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
290,Vitaliy Mykolenko,DF,Ukraine,24,1999,0.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
291,Joakim Mæhle,"DF,MF",Denmark,26,1997,3.1,0,1,0,0,0.32,0.00,0.00,,11.2,0.00,0.00,0.00,0.1,0.1,0.12,-0.1,-0.1
292,Nacho,DF,Spain,34,1990,2.9,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
293,Ádám Nagy,MF,Hungary,28,1995,1.8,0,1,0,0,0.57,0.00,0.00,,30.2,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
294,Zsolt Nagy,DF,Hungary,30,1993,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
295,Jesús Navas,DF,Spain,38,1985,1.7,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
296,Dan Ndoye,"MF,DF",Switzerland,23,2000,4.5,1,14,2,14,3.10,0.44,0.07,0.5,16.1,0.00,0.00,0.00,1.6,1.6,0.11,-0.6,-0.6
297,Pedro Neto,"DF,FW",Portugal,23,2000,1.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
298,Manuel Neuer,GK,Germany,37,1986,5.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
299,João Neves,MF,Portugal,19,2004,0.9,0,1,0,0,1.17,0.00,0.00,,21.4,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
300,Rúben Neves,MF,Portugal,26,1997,1.4,0,2,0,0,1.44,0.00,0.00,,30.8,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
301,Florin Niță,GK,Romania,36,1987,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
302,Matheus Nunes,MF,Portugal,25,1998,0.2,0,1,0,0,5.00,0.00,0.00,,9.5,0.00,0.00,0.00,0.3,0.3,0.25,-0.3,-0.3
303,Christian Nørgaard,MF,Denmark,29,1994,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
304,Adam Obert,DF,Slovakia,21,2002,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
305,Jan Oblak,GK,Slovenia,31,1993,4.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
306,Darius Olaru,MF,Romania,25,1998,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
307,Dani Olmo,"MF,FW",Spain,25,1998,4.8,3,17,6,35,3.54,1.25,0.18,0.5,21.0,0.00,0.00,0.00,1.7,1.7,0.10,1.3,1.3
308,Amadou Onana,MF,Belgium,22,2001,4.0,0,3,1,33,0.75,0.25,0.00,0.0,16.8,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
309,Loïs Openda,FW,Belgium,23,2000,0.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
310,Willi Orban,DF,Hungary,31,1992,3.0,0,3,1,33,1.00,0.33,0.00,0.0,7.8,0.00,0.00,0.00,0.6,0.6,0.20,-0.6,-0.6
311,Mikel Oyarzabal,FW,Spain,26,1997,2.2,1,6,3,50,2.69,1.34,0.17,0.3,18.3,0.00,0.00,0.00,1.0,1.0,0.17,0.0,0.0
312,Salih Özcan,MF,Türkiye,26,1998,1.7,0,1,0,0,0.58,0.00,0.00,,30.4,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
