Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
14,Joachim Andersen,DF,Denmark,27,1996,4.0,0,3,0,0,0.75,0.00,0.00,,9.0,0.00,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
15,Robert Andrich,MF,Germany,29,1994,3.5,0,7,2,29,1.98,0.57,0.00,0.0,21.3,0.00,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3
16,Waldemar Anton,DF,Germany,27,1996,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
17,Stuart Armstrong,MF,Scotland,31,1992,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
18,Marko Arnautović,FW,Austria,34,1989,3.1,1,3,2,67,0.97,0.65,0.00,0.0,19.4,0.00,1.00,1.00,1.7,0.9,0.29,-0.7,-0.9
19,Jasir Asani,FW,Albania,28,1995,2.3,0,4,1,25,1.71,0.43,0.00,0.0,25.7,0.00,0.00,0.00,0.1,0.1,0.01,-0.1,-0.1
20,Kristjan Asllani,MF,Albania,21,2002,3.0,0,8,3,38,2.67,1.00,0.00,0.0,23.9,1.00,0.00,0.00,0.6,0.6,0.07,-0.6,-0.6
21,Kaan Ayhan,"MF,DF",Türkiye,29,1994,4.0,0,3,0,0,0.75,0.00,0.00,,15.6,0.00,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
22,Alex Baena,"MF,FW",Spain,22,2001,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
23,Alexander Bah,"DF,MF",Denmark,26,1997,3.1,0,2,0,0,0.64,0.00,0.00,,14.4,0.00,0.00,0.00,0.4,0.4,0.19,-0.4,-0.4
24,Nedim Bajrami,"FW,MF",Albania,24,1999,2.7,1,3,1,33,1.10,0.37,0.33,1.0,15.5,0.00,0.00,0.00,0.1,0.1,0.05,0.9,0.9
