Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off1
294,Konrad Laimer,"MF,FW",Austria,26,1997,4,270,68,75.0,3.0,3,81,1,1,28,0,1.50,4,5,-1,-0.33,-2.33,4.20,4.60,-0.40,-0.14,-1.22
295,Ádám Lang,DF,Hungary,31,1993,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,2,-2,-4.00,-3.60,0.30,1.20,-0.80,-1.62,-1.85
296,Aymeric Laporte,DF,Spain,29,1994,6,525,88,79.5,5.8,6,88,5,0,,1,3.00,12,4,8,1.37,-0.63,10.10,4.20,5.90,1.08,0.97
297,Robin Le Normand,DF,Spain,27,1996,6,442,74,67.0,4.9,5,79,3,1,45,0,3.00,9,2,7,1.43,-0.23,9.70,3.50,6.20,1.26,1.29
298,Rafael Leão,FW,Portugal,24,1999,4,287,72,56.3,3.2,4,72,0,0,,0,2.00,2,1,1,0.31,-0.09,4.00,2.00,2.10,0.65,-0.54
299,Robert Lewandowski,FW,Poland,35,1988,2,121,61,44.8,1.3,1,90,1,1,31,1,0.50,1,3,-2,-1.49,-0.88,1.70,3.80,-2.10,-1.55,-1.73
300,Philipp Lienhart,DF,Austria,27,1996,3,214,71,59.4,2.4,3,71,1,0,,1,2.00,5,4,1,0.42,0.42,4.10,3.90,0.20,0.07,-0.24
301,Matthijs de Ligt,DF,Netherlands,24,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
302,Heinz Lindner,GK,Austria,33,1990,0,,,,,0,,0,0,,4,,,,,,,,,,,
303,Ondřej Lingr,"MF,FW",Czechia,25,1998,3,83,28,30.7,0.9,0,,0,3,28,0,0.33,2,3,-1,-1.08,-0.60,1.90,1.60,0.40,0.41,0.25
304,Dominik Livaković,GK,Croatia,29,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,3,6,-3,-1.00,,5.70,4.40,1.30,0.44,
305,Stanislav Lobotka,MF,Slovakia,29,1994,4,390,98,100.0,4.3,4,98,4,0,,0,1.00,4,5,-1,-0.23,,4.40,5.80,-1.40,-0.34,-0.34
306,Saba Lobzhanidze,FW,Georgia,29,1994,1,9,9,2.5,0.1,0,,0,1,9,3,1.00,0,0,0,0.00,0.77,0.20,0.00,0.10,1.41,3.23
307,Luka Lochoshvili,"DF,MF",Georgia,25,1998,4,170,43,47.2,1.9,2,62,0,2,23,0,1.00,3,3,0,0.00,1.42,2.20,3.90,-1.70,-0.92,1.54
308,Fermin López,MF,Spain,20,2003,1,29,29,4.4,0.3,0,,0,1,29,6,3.00,0,0,0,0.00,-1.57,0.20,0.40,-0.20,-0.53,-1.43
309,Giorgi Loria,GK,Georgia,38,1986,0,,,,,0,,0,0,,3,,,,,,,,,,,
310,Sandi Lovrić,MF,Slovenia,25,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
311,Romelu Lukaku,FW,Belgium,30,1993,4,359,90,99.7,4.0,4,90,3,0,,0,1.00,2,2,0,0.00,0.00,4.40,3.20,1.30,0.32,17.13
312,Dodi Lukebakio,"FW,DF",Belgium,26,1997,3,65,22,18.1,0.7,1,55,0,2,5,0,1.00,1,0,1,1.38,1.69,0.90,0.40,0.40,0.60,0.40
313,Saša Lukić,MF,Serbia,27,1996,3,209,70,77.4,2.3,3,70,0,0,,0,0.67,0,1,-1,-0.43,-0.43,1.20,1.80,-0.70,-0.29,-0.62
314,Andriy Lunin,GK,Ukraine,24,1999,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,3,-3,-3.00,-3.50,0.70,1.10,-0.30,-0.34,-0.62
315,Ian Maatsen,"DF,MF",Netherlands,21,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
316,Mike Maignan,GK,France,28,1995,6,570,95,100.0,6.3,6,95,6,0,,0,1.50,4,3,1,0.16,,9.00,5.20,3.80,0.63,0.63
317,Kobbie Mainoo,MF,England,18,2005,6,368,61,53.3,4.1,4,80,0,2,25,1,1.83,2,4,-2,-0.49,-1.61,2.90,4.10,-1.20,-0.30,-0.32
318,Lovro Majer,"FW,MF",Croatia,26,1998,3,146,49,54.1,1.6,2,68,1,1,11,0,0.67,0,5,-5,-3.08,-4.53,2.40,3.00,-0.60,-0.40,-1.81
319,Nemanja Maksimović,MF,Serbia,29,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
320,Donyell Malen,FW,Netherlands,25,1999,4,190,48,35.2,2.1,2,58,0,2,37,2,1.50,5,3,2,0.95,0.69,4.20,2.80,1.30,0.64,0.58
321,Ruslan Malinovskyi,MF,Ukraine,30,1993,3,35,12,13.0,0.4,0,,0,3,12,0,1.33,0,0,0,0.00,0.77,0.80,0.40,0.50,1.18,1.27
322,Giorgi Mamardashvili,GK,Georgia,23,2000,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,8,-3,-0.75,,4.40,11.30,-6.90,-1.74,
323,Dennis Man,MF,Romania,25,1998,4,266,67,73.9,3.0,3,80,2,1,25,0,1.00,3,5,-2,-0.68,-0.68,2.30,4.80,-2.50,-0.85,-0.72
324,Rey Manaj,FW,Albania,26,1997,3,156,52,57.8,1.7,2,71,0,1,14,0,0.33,1,3,-2,-1.15,-1.15,1.30,3.70,-2.40,-1.37,-0.69
325,Gianluca Mancini,DF,Italy,27,1996,1,90,90,25.0,1.0,1,90,1,0,,3,0.00,0,2,-2,-2.00,-2.00,0.70,1.20,-0.50,-0.52,-0.24
326,Orel Mangala,MF,Belgium,25,1998,4,133,33,36.9,1.5,1,56,0,3,26,0,1.00,1,2,-1,-0.68,-1.07,1.70,1.60,0.10,0.05,-0.36
327,Marius Marin,MF,Romania,25,1998,4,302,76,83.9,3.4,4,76,1,0,,0,1.00,4,3,1,0.30,4.95,3.00,4.10,-1.10,-0.32,2.10
328,Răzvan Marin,MF,Romania,27,1996,4,355,89,98.6,3.9,4,89,3,0,,0,1.00,4,6,-2,-0.51,-0.51,3.50,6.10,-2.60,-0.67,-0.67
329,Ádám Martin,"FW,DF",Hungary,29,1994,3,45,15,16.7,0.5,0,,0,3,15,0,1.00,1,1,0,0.00,1.20,1.10,1.20,-0.10,-0.29,-0.26
330,Mykola Matviyenko,DF,Ukraine,27,1996,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,4,-2,-0.67,,3.00,2.80,0.20,0.07,
331,Kylian Mbappé,FW,France,25,1998,5,464,93,81.4,5.2,5,93,3,0,,1,1.60,4,3,1,0.19,0.19,7.30,4.50,2.80,0.54,-0.29
332,Ross McCrorie,"DF,GK",Scotland,25,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
333,John McGinn,"MF,FW",Scotland,29,1994,3,230,77,85.2,2.6,3,77,0,0,,0,0.33,1,4,-3,-1.17,3.33,0.70,3.30,-2.60,-1.01,1.03
334,Callum McGregor,MF,Scotland,30,1993,3,246,82,91.1,2.7,3,82,2,0,,0,0.33,1,5,-4,-1.46,2.29,0.90,4.10,-3.20,-1.17,-0.10
335,Scott McKenna,DF,Scotland,27,1996,3,134,45,49.6,1.5,1,90,1,2,22,0,0.33,1,2,-1,-0.67,1.98,0.70,1.60,-0.90,-0.60,1.12
336,Kenny McLean,MF,Scotland,32,1992,3,44,15,16.3,0.5,0,,0,3,15,0,0.33,1,3,-2,-4.09,-2.90,0.40,1.30,-0.90,-1.80,-0.76
337,Scott McTominay,MF,Scotland,27,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,7,-5,-1.67,,0.90,4.40,-3.50,-1.16,
338,Anzor Mekvabishvili,MF,Georgia,22,2001,3,188,63,52.2,2.1,2,89,1,1,10,0,1.33,2,3,-1,-0.48,0.57,2.30,6.40,-4.10,-1.96,-0.46
339,Memphis,"FW,MF",Netherlands,29,1994,6,457,76,84.6,5.1,6,76,1,0,,0,1.67,8,6,2,0.39,-0.69,7.00,5.40,1.60,0.31,0.35
340,Nuno Mendes,DF,Portugal,21,2002,4,419,105,82.2,4.7,4,105,3,0,,1,2.00,4,1,3,0.64,1.63,6.80,2.80,3.90,0.99,0.35
341,Ferland Mendy,DF,France,28,1995,0,,,,,0,,0,0,,6,,,,,,,,,,,
342,Alex Meret,GK,Italy,26,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
343,Mikel Merino,"MF,FW",Spain,27,1996,7,182,26,27.6,2.0,1,90,1,6,15,0,3.00,3,1,2,0.99,-0.71,3.00,3.00,0.00,0.02,-1.06
344,Valentin Mihaila,MF,Romania,23,2000,3,115,38,31.9,1.3,1,67,0,2,24,1,1.00,0,3,-3,-2.35,-2.72,0.50,2.80,-2.30,-1.83,-1.72
345,Enea Mihaj,DF,Albania,25,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
346,Srđan Mijailović,DF,Serbia,30,1993,1,72,72,26.7,0.8,1,72,0,0,,2,1.00,0,0,0,0.00,0.45,0.10,0.70,-0.60,-0.76,-0.83
347,Georges Mikautadze,FW,Georgia,23,2000,4,345,86,95.8,3.8,4,86,2,0,,0,1.00,5,7,-2,-0.52,5.48,4.20,10.30,-6.10,-1.60,3.28
348,Nikola Milenković,DF,Serbia,26,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,1,2,-1,-0.33,,2.10,2.60,-0.50,-0.15,
349,Sergej Milinković-Savić,MF,Serbia,28,1995,3,121,40,44.8,1.3,1,90,1,2,16,0,0.67,1,2,-1,-0.74,-0.74,1.00,1.00,0.00,-0.02,0.25
350,Vanja Milinković-Savić,GK,Serbia,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
351,Mario Mitaj,DF,Albania,20,2003,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,2.40,5.70,-3.20,-1.07,
352,Aleksandar Mitrović,FW,Serbia,29,1994,3,240,80,88.9,2.7,3,80,2,0,,0,0.67,1,2,-1,-0.37,-0.37,2.00,2.40,-0.40,-0.13,0.17
353,Maximilian Mittelstädt,DF,Germany,26,1997,4,304,76,63.3,3.4,3,80,2,1,64,1,1.75,8,3,5,1.48,0.46,5.90,2.60,3.30,1.08,0.18
354,Filip Mladenović,DF,Serbia,32,1991,3,111,37,41.1,1.2,1,45,0,2,33,0,0.67,0,0,0,0.00,0.57,0.90,1.00,-0.20,-0.13,0.03
355,Jan Mlakar,MF,Slovenia,25,1998,4,295,74,75.6,3.3,4,74,0,0,,0,1.00,0,1,-1,-0.31,-1.25,1.90,4.00,-2.10,-0.64,0.09
356,Jakub Moder,MF,Poland,24,1999,3,180,60,66.7,2.0,1,90,1,2,45,0,0.33,1,4,-3,-1.50,-1.50,2.80,4.30,-1.40,-0.71,-0.35
357,Luka Modrić,MF,Croatia,38,1985,3,233,78,86.3,2.6,3,78,1,0,,0,0.67,3,5,-2,-0.77,1.66,4.80,4.20,0.60,0.24,-1.51
358,Vasile Mogos,DF,Romania,31,1992,1,37,37,10.3,0.4,1,37,0,0,,3,0.00,0,1,-1,-2.43,-2.15,0.20,0.40,-0.20,-0.47,0.22
359,Horaţiu Moldovan,GK,Romania,26,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
360,Álvaro Morata,FW,Spain,31,1992,7,449,64,68.0,5.0,6,72,0,1,19,0,3.00,10,2,8,1.60,0.32,8.20,3.80,4.40,0.89,0.17
361,Lewis Morgan,DF,Scotland,27,1996,1,2,2,0.7,0.0,0,,0,1,2,2,0.00,0,1,-1,-45.00,-43.66,0.10,0.80,-0.70,-29.67,-28.73
362,Ernest Muçi,FW,Albania,22,2001,2,14,7,5.2,0.2,0,,0,2,7,1,0.00,0,0,0,0.00,0.70,0.40,0.00,0.40,2.68,3.96
363,Mykhailo Mudryk,"FW,MF",Ukraine,23,2001,2,174,87,64.4,1.9,2,87,1,0,,0,1.50,2,4,-2,-1.03,-1.03,2.20,1.90,0.30,0.16,0.24
