Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off1
389,Darius Olaru,MF,Romania,25,1998,2,26,13,7.2,0.3,0,,0,2,13,2,0.00,0,2,-2,-6.92,-6.92,0.50,0.90,-0.40,-1.48,-0.88
390,Dani Olmo,"MF,FW",Spain,25,1998,6,432,72,65.5,4.8,3,83,1,3,61,1,3.00,9,3,6,1.25,-0.72,7.30,5.00,2.30,0.50,-0.85
391,Amadou Onana,MF,Belgium,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,2,2,0,0.00,,4.50,3.40,1.10,0.28,
392,Loïs Openda,FW,Belgium,23,2000,3,70,23,19.4,0.8,1,62,0,2,4,1,0.33,0,0,0,0.00,0.00,0.30,1.00,-0.70,-0.90,-1.46
393,Willi Orban,DF,Hungary,31,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,5,-3,-1.00,,3.70,3.90,-0.20,-0.07,
394,Mikel Oyarzabal,FW,Spain,26,1997,7,201,29,30.5,2.2,1,61,0,6,23,0,3.00,5,2,3,1.34,-0.23,4.70,2.80,1.90,0.98,0.19
395,Salih Özcan,MF,Türkiye,26,1998,4,155,39,34.4,1.7,2,61,0,2,17,1,2.25,3,3,0,0.00,0.00,2.00,3.70,-1.70,-0.96,-0.97
396,João Palhinha,MF,Portugal,28,1995,4,299,75,58.6,3.3,4,75,1,0,,1,1.25,2,1,1,0.30,-0.13,4.00,2.20,1.80,0.59,-0.62
397,Cole Palmer,"MF,FW",England,21,2002,5,149,30,21.6,1.7,0,,0,5,30,2,1.60,5,1,4,2.42,2.75,2.00,2.00,0.00,-0.02,0.15
398,Marco Pašalić,MF,Croatia,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
399,Mario Pašalić,"FW,MF",Croatia,28,1995,3,116,39,43.0,1.3,1,45,0,2,36,0,0.67,2,1,1,0.78,3.11,3.30,1.00,2.20,1.72,2.24
400,Rui Patrício,GK,Portugal,35,1988,0,,,,,0,,0,0,,5,,,,,,,,,,,
401,Benjamin Pavard,DF,France,27,1996,0,,,,,0,,0,0,,6,,,,,,,,,,,
402,Strahinja Pavlović,DF,Serbia,22,2001,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,1,2,-1,-0.33,,2.10,2.60,-0.50,-0.15,
403,Pedri,MF,Spain,21,2002,4,186,47,28.2,2.1,4,47,0,0,,1,3.00,6,1,5,2.42,1.28,5.20,1.40,3.80,1.84,1.40
404,Peter Pekarík,DF,Slovakia,37,1986,4,377,94,96.7,4.2,4,94,2,0,,0,1.00,4,5,-1,-0.24,-0.24,4.10,5.70,-1.50,-0.36,-1.37
405,Lorenzo Pellegrini,"FW,MF",Italy,27,1996,4,218,55,60.6,2.4,3,67,0,1,16,0,1.00,2,2,0,0.00,1.27,2.10,2.20,-0.10,-0.04,0.77
406,Patrick Pentz,GK,Austria,27,1997,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,1,0.25,,6.90,6.30,0.70,0.17,
407,Pepe,DF,Portugal,40,1983,4,408,102,80.0,4.5,4,102,2,0,,1,2.00,5,1,4,0.88,2.65,7.30,2.80,4.40,1.05,0.65
408,Danilo Pereira,DF,Portugal,32,1991,1,90,90,17.6,1.0,1,90,1,0,,4,0.00,0,2,-2,-2.00,-2.86,2.00,1.60,0.30,0.35,-0.65
409,Ayoze Pérez,FW,Spain,30,1993,1,13,13,2.0,0.1,0,,0,1,13,4,3.00,0,0,0,0.00,-1.53,0.40,0.10,0.30,2.15,1.35
410,Ivan Perišić,"DF,FW",Croatia,34,1989,3,139,46,51.5,1.5,1,83,0,2,28,0,0.67,2,2,0,0.00,2.06,3.30,1.40,1.90,1.20,1.56
411,Bruno Petković,FW,Croatia,29,1994,2,87,44,32.2,1.0,1,68,0,1,19,1,0.50,0,1,-1,-1.03,-0.05,2.30,1.00,1.30,1.31,1.28
412,Đorđe Petrović,GK,Serbia,24,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
413,Krzysztof Piątek,FW,Poland,28,1995,1,59,59,21.9,0.7,1,59,0,0,,2,0.00,1,1,0,0.00,1.28,1.10,0.70,0.40,0.64,1.58
414,Jordan Pickford,GK,England,29,1994,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,8,6,2,0.26,,6.00,7.20,-1.20,-0.17,-0.17
415,Jakub Piotrowski,MF,Poland,26,1997,2,58,29,21.5,0.6,1,45,0,1,13,1,0.00,1,2,-1,-1.55,-0.70,1.90,0.70,1.20,1.90,3.18
416,Marko Pjaca,"FW,MF",Croatia,28,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
417,Marin Pongračić,DF,Croatia,26,1997,2,180,90,66.7,2.0,2,90,2,0,,1,0.50,1,4,-3,-1.50,-1.50,3.10,2.90,0.20,0.08,-1.08
418,Ryan Porteous,DF,Scotland,24,1999,1,43,43,15.9,0.5,1,43,0,0,,0,0.00,0,2,-2,-4.19,-3.00,0.00,0.50,-0.50,-1.06,0.12
419,Stefan Posch,DF,Austria,26,1997,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,1,0.25,,6.90,6.30,0.70,0.17,
420,Yussuf Poulsen,"FW,MF",Denmark,29,1994,4,57,14,15.8,0.6,0,,0,4,14,0,0.75,0,0,0,0.00,0.59,0.70,0.70,0.00,0.03,0.18
421,Alexander Prass,DF,Austria,22,2001,4,166,42,46.1,1.8,1,90,1,3,25,0,1.50,6,3,3,1.63,2.55,5.00,2.50,2.50,1.38,2.26
422,Lukáš Provod,MF,Czechia,27,1996,3,232,77,85.9,2.6,3,77,0,0,,0,0.33,3,3,0,0.00,4.74,4.50,3.00,1.50,0.58,2.45
423,Tymoteusz Puchacz,"DF,MF",Poland,25,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
424,George Pușcaș,FW,Romania,27,1996,2,40,20,11.1,0.4,0,,0,2,20,2,2.00,0,0,0,0.00,0.56,0.00,0.40,-0.40,-0.89,-0.26
425,Leopold Querfeld,DF,Austria,20,2003,1,27,27,7.5,0.3,0,,0,1,27,3,3.00,1,1,0,0.00,-0.27,0.10,0.20,-0.10,-0.24,-0.44
426,Adrien Rabiot,MF,France,28,1995,5,371,74,65.1,4.1,5,74,2,0,,0,1.60,4,2,2,0.49,0.94,7.00,2.40,4.70,1.13,1.54
427,Bogdan Racovitan,DF,Romania,23,2000,2,57,29,15.8,0.6,0,,0,2,29,2,1.50,0,2,-2,-3.16,-3.16,0.10,2.50,-2.40,-3.77,-3.69
428,Predrag Rajković,GK,Serbia,28,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,1,2,-1,-0.33,,2.10,2.60,-0.50,-0.15,
429,Anthony Ralston,DF,Scotland,25,1998,3,262,87,97.0,2.9,3,87,2,0,,0,0.33,2,6,-4,-1.37,9.88,0.80,3.60,-2.80,-0.97,6.45
430,Ylber Ramadani,MF,Albania,27,1996,3,264,88,97.8,2.9,3,88,2,0,,0,0.33,2,5,-3,-1.02,-16.02,2.00,5.40,-3.50,-1.18,-4.89
431,Gonçalo Ramos,FW,Portugal,22,2001,1,25,25,4.9,0.3,0,,0,1,25,4,0.00,0,0,0,0.00,-0.37,1.20,0.10,1.10,4.04,3.32
432,Aaron Ramsdale,GK,England,25,1998,0,,,,,0,,0,0,,7,,,,,,,,,,,
433,Giacomo Raspadori,FW,Italy,23,2000,2,83,42,23.1,0.9,1,74,0,1,9,2,0.50,0,1,-1,-1.08,-0.76,0.90,1.20,-0.30,-0.31,0.05
434,Andrei Ratiu,DF,Romania,25,1998,4,359,90,99.7,4.0,4,90,3,0,,0,1.00,4,6,-2,-0.50,-0.50,3.50,6.10,-2.70,-0.67,-2.18
435,Petar Ratkov,FW,Serbia,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
436,David Raum,DF,Germany,25,1998,3,166,55,34.6,1.8,2,68,0,1,30,2,1.33,3,1,2,1.08,-0.35,3.40,1.60,1.80,0.96,-0.06
437,Henrich Ravas,GK,Slovakia,26,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
438,David Raya,GK,Spain,28,1995,1,90,90,13.6,1.0,1,90,1,0,,6,3.00,1,0,1,1.00,-0.58,1.50,0.50,1.00,1.02,0.22
439,Tijjani Reijnders,MF,Netherlands,25,1998,6,496,83,91.9,5.5,6,83,4,0,,0,1.67,8,6,2,0.36,-1.68,7.70,5.60,2.10,0.38,1.42
440,Álex Remiro,GK,Spain,28,1995,0,,,,,0,,0,0,,7,,,,,,,,,,,
441,Mateo Retegui,FW,Italy,24,1999,4,152,38,42.2,1.7,1,90,1,3,21,0,1.00,1,1,0,0.00,0.87,1.60,1.80,-0.20,-0.12,0.40
442,Declan Rice,MF,England,25,1999,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,8,6,2,0.26,,6.00,7.20,-1.20,-0.17,-0.17
443,Fabian Rieder,MF,Switzerland,21,2002,5,218,44,45.4,2.4,3,66,0,2,11,0,1.80,4,0,4,1.65,1.65,2.80,1.40,1.40,0.56,0.40
444,Tomas Rigo,MF,Slovakia,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
445,Andrew Robertson,DF,Scotland,29,1994,3,268,89,99.3,3.0,3,89,2,0,,0,0.33,2,6,-4,-1.34,43.66,0.80,3.60,-2.80,-0.95,28.73
446,Marek Rodák,GK,Slovakia,27,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,
447,Rodri,MF,Spain,27,1996,6,520,87,78.8,5.8,6,87,4,0,,0,3.00,12,3,9,1.56,0.27,9.70,5.90,3.80,0.70,-0.54
448,Ricardo Rodríguez,DF,Switzerland,31,1992,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,4,0.75,,6.70,4.90,1.80,0.37,0.37
449,Taras Romanchuk,MF,Poland,32,1991,1,54,54,20.0,0.6,1,54,0,0,,2,0.00,1,1,0,0.00,1.25,0.20,1.20,-1.00,-1.70,-1.38
450,Cristiano Ronaldo,FW,Portugal,38,1985,5,485,97,95.1,5.4,5,97,4,0,,0,1.60,5,3,2,0.37,0.37,8.30,4.40,3.90,0.82,-0.37
451,Antonio Rüdiger,DF,Germany,30,1993,5,480,96,100.0,5.3,5,96,5,0,,0,2.00,11,4,7,1.31,,9.70,4.40,5.30,1.07,1.07
452,Fabián Ruiz Peña,MF,Spain,27,1996,6,540,90,81.8,6.0,6,90,3,0,,1,3.00,12,4,8,1.33,-0.92,10.10,5.70,4.40,0.73,-0.56
453,Adrian Rus,MF,Romania,27,1996,2,21,11,5.8,0.2,0,,0,2,11,2,2.00,0,0,0,0.00,0.53,0.00,0.40,-0.40,-1.64,-1.03
454,Frederik Rønnow,GK,Denmark,31,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
455,José Sá,GK,Portugal,31,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
456,Marcel Sabitzer,"FW,MF",Austria,29,1994,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,1,0.25,,6.90,6.30,0.70,0.17,
457,Bukayo Saka,"FW,DF",England,22,2001,7,632,90,91.6,7.0,7,90,3,0,,0,1.71,8,6,2,0.28,0.28,5.50,6.60,-1.10,-0.18,-0.13
458,Bartosz Salamon,DF,Poland,32,1991,1,85,85,31.5,0.9,1,85,0,0,,2,0.00,1,2,-1,-1.06,-0.09,0.90,1.40,-0.50,-0.53,0.10
459,William Saliba,DF,France,22,2001,6,570,95,100.0,6.3,6,95,6,0,,0,1.50,4,3,1,0.16,,9.00,5.20,3.80,0.63,0.63
460,Roland Sallai,MF,Hungary,26,1997,3,266,89,98.5,3.0,3,89,2,0,,0,1.00,2,5,-3,-1.02,-1.02,3.40,3.80,-0.40,-0.13,-4.01
461,Lazar Samardzic,MF,Serbia,21,2002,2,54,27,20.0,0.6,1,45,0,1,9,1,1.00,1,0,1,1.67,2.50,0.40,0.50,-0.10,-0.24,-0.11
462,Brice Samba,GK,France,29,1994,0,,,,,0,,0,0,,6,,,,,,,,,,,
463,Leroy Sané,FW,Germany,28,1996,5,208,42,43.3,2.3,2,66,0,3,25,0,2.00,6,1,5,2.16,1.50,4.00,2.00,2.00,0.88,-0.22
464,Leo Sauer,FW,Slovakia,18,2005,1,5,5,1.3,0.1,0,,0,1,5,3,0.00,0,0,0,0.00,0.23,0.00,0.00,0.00,0.55,0.88
465,Gianluca Scamacca,FW,Italy,25,1999,4,251,63,69.7,2.8,3,78,1,1,16,0,1.00,3,4,-1,-0.36,0.47,2.30,3.00,-0.70,-0.24,0.36
466,András Schäfer,MF,Hungary,24,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,5,-3,-1.00,,3.70,3.90,-0.20,-0.07,
467,Fabian Schär,DF,Switzerland,32,1991,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,4,0.75,,6.70,4.90,1.80,0.37,0.37
468,Patrik Schick,FW,Czechia,28,1996,2,127,64,47.0,1.4,2,64,0,0,,0,0.33,2,3,-1,-0.71,-0.08,2.80,1.90,0.90,0.64,0.76
469,Nico Schlotterbeck,DF,Germany,24,1999,2,120,60,25.0,1.3,1,90,1,1,30,2,1.33,4,2,2,1.50,0.25,3.40,1.20,2.20,1.66,0.88
470,Kasper Schmeichel,GK,Denmark,37,1986,4,360,90,100.0,4.0,4,90,4,0,,0,0.75,2,4,-2,-0.50,,4.30,4.80,-0.50,-0.12,
471,Romano Schmid,"FW,MF",Austria,24,2000,4,145,36,40.3,1.6,2,67,0,2,6,0,1.50,3,3,0,0.00,-0.42,1.80,2.60,-0.80,-0.47,-1.06
472,Jerdy Schouten,MF,Netherlands,27,1997,6,500,83,92.6,5.6,6,83,4,0,,0,1.67,8,7,1,0.18,-4.32,6.80,6.40,0.40,0.08,-2.42
473,Ivan Schranz,FW,Slovakia,30,1993,4,331,83,84.9,3.7,4,83,0,0,,0,1.00,4,3,1,0.27,3.32,3.50,5.20,-1.70,-0.47,-1.02
474,Taulant Seferi,FW,Albania,27,1996,2,94,47,34.8,1.0,1,67,0,1,27,1,0.50,2,4,-2,-1.91,-1.91,0.70,2.90,-2.10,-2.03,-1.46
475,Matthias Seidl,MF,Austria,23,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
476,Nicolas Seiwald,MF,Austria,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,1,0.25,,6.90,6.30,0.70,0.17,
477,Matz Sels,GK,Belgium,31,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
478,Nélson Semedo,DF,Portugal,30,1993,5,100,20,19.6,1.1,0,,0,5,20,0,1.60,1,0,1,0.90,0.68,3.20,0.60,2.60,3.55,3.07
479,Benjamin Šeško,FW,Slovenia,20,2003,4,358,90,91.8,4.0,4,90,1,0,,0,1.00,2,1,1,0.25,3.06,3.20,5.60,-2.50,-0.67,-0.08
480,Petr Ševčík,MF,Czechia,29,1994,2,22,11,8.1,0.2,0,,0,2,11,1,0.50,0,1,-1,-4.09,-3.73,0.30,0.90,-0.60,-2.60,-3.09
481,Stephan El Shaarawy,FW,Italy,31,1992,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,1,-1,-2.00,-1.71,0.00,1.00,-0.90,-1.85,-1.72
482,Lawrence Shankland,FW,Scotland,28,1995,3,25,8,9.3,0.3,0,,0,3,8,0,0.33,1,2,-1,-3.60,-2.13,0.20,0.90,-0.70,-2.49,-1.47
483,Mykola Shaparenko,MF,Ukraine,25,1998,3,220,73,81.5,2.4,3,73,0,0,,0,1.33,2,4,-2,-0.82,-0.82,2.00,2.40,-0.50,-0.18,-1.38
484,Xherdan Shaqiri,"MF,FW",Switzerland,32,1991,2,71,36,14.8,0.8,1,59,0,1,12,3,1.00,1,1,0,0.00,-0.88,1.20,0.20,0.90,1.42,1.22
485,Luke Shaw,DF,England,28,1995,3,178,59,25.8,2.0,1,90,1,2,44,3,1.33,3,2,1,0.51,0.33,1.00,2.80,-1.70,-1.05,-1.14
486,Levan Shengelia,"FW,MF",Georgia,28,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
487,Vincent Sierro,MF,Switzerland,28,1995,4,38,10,7.9,0.4,0,,0,4,10,1,2.00,1,0,1,2.37,1.76,1.20,0.30,1.00,2.44,2.26
488,Gabriel Sigua,MF,Georgia,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
489,António Silva,DF,Portugal,20,2003,2,73,37,14.3,0.8,1,65,0,1,8,3,1.50,0,2,-2,-2.47,-3.29,1.00,1.60,-0.60,-0.69,-1.84
490,Bernardo Silva,"FW,MF",Portugal,29,1994,4,420,105,82.4,4.7,4,105,4,0,,1,2.00,5,1,4,0.86,2.86,7.50,2.80,4.70,1.17,0.96
491,Unai Simón,GK,Spain,26,1997,6,570,95,86.4,6.3,6,95,6,0,,1,3.00,14,4,10,1.58,0.58,11.40,6.30,5.10,0.85,0.08
492,Xavi Simons,"MF,FW",Netherlands,20,2003,6,454,76,84.1,5.0,5,80,1,1,56,0,1.67,9,6,3,0.59,0.59,6.80,5.00,1.90,0.37,0.69
493,Michał Skóraś,DF,Poland,23,2000,1,23,23,8.5,0.3,0,,0,1,23,2,1.00,1,0,1,3.91,5.37,0.80,0.20,0.60,2.45,3.33
494,Łukasz Skorupski,GK,Poland,32,1991,1,90,90,33.3,1.0,1,90,1,0,,2,1.00,1,1,0,0.00,1.50,1.20,2.30,-1.10,-1.13,-0.80
495,Andreas Skov Olsen,"MF,FW",Denmark,24,1999,3,122,41,33.9,1.4,1,68,0,2,27,1,0.67,0,2,-2,-1.48,-1.48,1.50,2.40,-0.80,-0.62,-0.76
496,Milan Škriniar,DF,Slovakia,28,1995,4,390,98,100.0,4.3,4,98,4,0,,0,1.00,4,5,-1,-0.23,,4.40,5.80,-1.40,-0.34,-0.34
497,Bartosz Slisz,MF,Poland,24,1999,2,110,55,40.7,1.2,1,74,0,1,36,1,0.00,1,3,-2,-1.64,-1.07,2.40,1.10,1.30,1.06,2.80
498,Yann Sommer,GK,Switzerland,35,1988,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,4,0.75,,6.70,4.90,1.80,0.37,0.37
499,Deian Sorescu,"MF,DF",Romania,26,1997,2,34,17,9.4,0.4,0,,0,2,17,2,0.50,0,0,0,0.00,0.55,0.10,0.10,0.00,-0.07,0.65
500,Borna Sosa,DF,Croatia,26,1998,1,7,7,2.6,0.1,0,,0,1,7,2,1.00,0,1,-1,-12.86,-12.17,0.20,0.50,-0.20,-3.18,-3.72
501,Tomáš Souček,MF,Czechia,28,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,5.10,4.30,0.70,0.24,
502,Uroš Spajić,DF,Serbia,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
503,Andraž Šporar,FW,Slovenia,29,1994,4,338,85,86.7,3.8,4,85,1,0,,0,1.00,2,2,0,0.00,0.00,2.90,4.80,-1.90,-0.51,1.14
504,Nicolae Stanciu,"MF,FW",Romania,30,1993,4,353,88,98.1,3.9,4,88,2,0,,0,1.00,4,5,-1,-0.25,12.60,3.50,5.70,-2.20,-0.57,4.89
505,Jindřich Staněk,GK,Czechia,27,1996,3,234,78,86.7,2.6,3,78,2,0,,0,0.33,2,4,-2,-0.77,-0.77,4.10,3.80,0.30,0.12,-0.90
506,Josip Stanišić,DF,Croatia,23,2000,2,180,90,66.7,2.0,2,90,2,0,,1,0.50,1,4,-3,-1.50,-1.50,3.10,2.90,0.20,0.08,-1.08
507,Renato Steffen,DF,Switzerland,32,1991,1,1,1,0.2,0.0,0,,0,1,1,4,3.00,0,0,0,0.00,-0.75,0.00,0.00,0.00,0.00,-0.34
508,Taras Stepanenko,MF,Ukraine,34,1989,2,82,41,30.4,0.9,1,61,0,1,21,1,0.50,0,3,-3,-3.29,-3.77,0.80,1.40,-0.60,-0.68,-1.08
509,Leonidas Stergiou,DF,Switzerland,21,2002,3,48,16,10.0,0.5,0,,0,3,16,2,2.33,1,0,1,1.87,1.25,1.20,0.70,0.50,0.90,0.62
510,Petar Stojanović,MF,Slovenia,28,1995,4,316,79,81.0,3.5,4,79,1,0,,0,1.00,1,1,0,0.00,0.00,2.00,4.30,-2.30,-0.65,0.06
511,Nemanja Stojić,MF,Serbia,26,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
512,John Stones,DF,England,29,1994,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,8,6,2,0.26,,6.00,7.20,-1.20,-0.17,-0.17
513,Thomas Strakosha,GK,Albania,28,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,2.40,5.70,-3.20,-1.07,
514,Dávid Strelec,FW,Slovakia,22,2001,4,182,46,46.7,2.0,2,65,0,2,26,0,1.00,2,2,0,0.00,0.43,2.40,2.20,0.20,0.08,0.74
515,Callum Styles,MF,Hungary,23,2000,1,60,60,22.2,0.7,1,60,0,0,,2,3.00,0,0,0,0.00,1.29,0.40,0.00,0.30,0.49,0.72
516,Luka Sučić,"FW,MF",Croatia,21,2002,3,140,47,51.9,1.6,1,69,0,2,36,0,0.67,3,1,2,1.29,4.75,4.20,1.20,2.90,1.89,3.02
517,Heorhiy Sudakov,MF,Ukraine,21,2002,3,262,87,97.0,2.9,3,87,2,0,,0,1.33,2,4,-2,-0.69,-0.69,2.70,2.80,-0.10,-0.03,-3.26
518,Pavel Šulc,MF,Czechia,23,2000,1,78,78,28.9,0.9,1,78,0,0,,2,0.00,1,1,0,0.00,0.94,0.20,1.10,-0.90,-1.09,-1.87
519,Tomáš Suslov,"FW,MF",Slovakia,21,2002,4,126,32,32.3,1.4,0,,0,4,32,0,1.00,0,3,-3,-2.14,-2.82,1.30,1.50,-0.20,-0.21,0.14
520,Adrian Șut,MF,Romania,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
521,Josip Šutalo,DF,Croatia,23,2000,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,3,6,-3,-1.00,,5.70,4.40,1.30,0.44,
522,Oleksandr Svatok,DF,Ukraine,29,1994,1,80,80,29.6,0.9,1,80,0,0,,2,1.00,0,0,0,0.00,0.95,0.50,0.70,-0.20,-0.26,-0.48
523,Karol Świderski,FW,Poland,27,1997,3,90,30,33.3,1.0,0,,0,3,30,0,0.33,1,3,-2,-2.00,-1.50,2.50,1.90,0.60,0.56,1.74
524,Serhiy Sydorchuk,MF,Ukraine,32,1991,1,6,6,2.2,0.1,0,,0,1,6,2,3.00,0,0,0,0.00,0.68,0.00,0.00,0.00,-0.46,-0.55
525,Attila Szalai,DF,Hungary,26,1998,2,95,48,35.2,1.1,1,78,0,1,17,1,1.50,2,2,0,0.00,1.54,2.10,1.70,0.30,0.31,0.59
526,Péter Szappanos,GK,Hungary,33,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
527,Wojciech Szczęsny,GK,Poland,33,1990,2,180,90,66.7,2.0,2,90,2,0,,1,0.00,2,5,-3,-1.50,-1.50,2.90,3.60,-0.70,-0.33,0.80
528,Dominik Szoboszlai,MF,Hungary,23,2000,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,5,-3,-1.00,,3.70,3.90,-0.20,-0.07,
529,Damian Szymański,MF,Poland,28,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
530,Sebastian Szymański,MF,Poland,24,1999,2,112,56,41.5,1.2,2,56,0,0,,1,0.50,1,2,-1,-0.80,0.34,0.50,3.10,-2.60,-2.11,-2.59
531,Jemal Tabidze,DF,Georgia,27,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,
532,Dušan Tadić,MF,Serbia,35,1988,3,156,52,57.8,1.7,1,81,0,2,38,0,0.67,0,1,-1,-0.58,-0.58,1.60,1.70,-0.10,-0.04,0.26
533,Jonathan Tah,DF,Germany,27,1996,4,319,80,66.5,3.5,4,80,2,0,,0,1.75,7,3,4,1.13,-0.55,5.10,2.30,2.80,0.79,-0.63
534,Maksym Talovierov,MF,Ukraine,23,2000,1,1,1,0.4,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,0.67,0.00,0.00,0.00,-1.36,-1.44
535,Stefan Târnovanu,GK,Romania,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
536,Greg Taylor,"DF,MF",Scotland,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
537,Aurélien Tchouaméni,MF,France,24,2000,5,470,94,82.5,5.2,5,94,4,0,,1,1.20,3,3,0,0.00,-0.90,6.80,4.40,2.30,0.48,-0.51
538,Marc-André ter Stegen,GK,Germany,31,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,
539,Arthur Theate,DF,Belgium,23,2000,3,256,85,71.1,2.8,3,85,2,0,,1,1.33,1,1,0,0.00,0.00,2.30,2.40,-0.10,-0.05,-1.12
540,Marcus Thuram,FW,France,26,1997,4,260,65,45.6,2.9,3,75,1,1,35,2,2.00,1,0,1,0.35,0.35,4.70,2.40,2.30,0.90,0.51
541,Youri Tielemans,MF,Belgium,26,1997,3,148,49,41.1,1.6,2,66,0,1,17,1,1.33,1,0,1,0.61,1.03,1.90,1.00,0.90,0.55,0.47
542,Kieran Tierney,DF,Scotland,26,1997,2,136,68,50.4,1.5,2,68,0,0,,0,0.50,1,5,-4,-2.65,-1.98,0.20,2.80,-2.60,-1.72,-1.12
543,Ivan Toney,FW,England,27,1996,3,45,15,6.5,0.5,0,,0,3,15,4,1.33,2,0,2,4.00,4.00,0.80,1.20,-0.40,-12.95,-12.85
544,Ferrán Torres,"FW,MF",Spain,23,2000,5,155,31,23.5,1.7,1,71,0,4,21,2,3.00,2,1,1,0.58,-1.20,2.60,2.20,0.40,0.31,-0.64
545,Cenk Tosun,FW,Türkiye,32,1991,2,25,13,5.6,0.3,0,,0,2,13,3,1.50,1,0,1,3.60,3.81,1.10,0.30,0.80,2.74,3.24
546,Gernot Trauner,DF,Austria,31,1992,2,90,45,25.0,1.0,1,58,0,1,32,1,1.50,1,1,0,0.00,-0.33,0.80,2.20,-1.40,-1.37,-2.05
547,Kieran Trippier,DF,England,33,1990,6,450,75,65.2,5.0,6,75,2,0,,1,2.00,3,4,-1,-0.20,-1.32,3.90,3.50,0.40,0.08,0.69
548,Leandro Trossard,FW,Belgium,29,1994,3,169,56,46.9,1.9,2,67,0,1,35,1,1.33,1,1,0,0.00,0.00,3.00,1.20,1.70,0.91,1.20
549,Anatolii Trubin,GK,Ukraine,22,2001,2,180,90,66.7,2.0,2,90,2,0,,1,2.00,2,1,1,0.50,3.50,2.30,1.70,0.60,0.28,0.62
550,Heorhii Tsitaishvili,"DF,MF",Georgia,23,2000,4,190,48,52.8,2.1,2,67,0,2,28,0,1.00,2,5,-3,-1.42,-1.42,2.20,7.40,-5.20,-2.46,-1.54
551,Viktor Tsyhankov,FW,Ukraine,26,1997,1,62,62,23.0,0.7,1,62,0,0,,1,0.00,0,3,-3,-4.35,-4.79,0.20,1.10,-0.80,-1.19,-1.64
552,Ľubomír Tupta,MF,Slovakia,25,1998,1,12,12,3.1,0.1,0,,0,1,12,3,0.00,0,0,0,0.00,0.24,0.30,0.10,0.20,,
553,Oleksandr Tymchyk,DF,Ukraine,27,1997,3,199,66,73.7,2.2,2,90,2,1,19,0,1.33,2,1,1,0.45,4.26,2.70,1.70,0.90,0.42,1.34
554,Deniz Undav,MF,Germany,27,1996,1,7,7,1.5,0.1,0,,0,1,7,3,1.50,1,2,-1,-12.86,-14.38,0.20,0.30,0.00,-0.44,-1.46
555,Dayot Upamecano,DF,France,25,1998,6,570,95,100.0,6.3,6,95,6,0,,0,1.50,4,3,1,0.16,,9.00,5.20,3.80,0.63,0.63
